date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-870300000.0,530100000.0,617000000.0,354900000.0,469700000.0,788700000.0,358800000.0,-621400000.0,34800000.0,192400000.0,218900000.0,191700000.0,265400000.0,296900000.0
,depreciationAndAmortization,277600000.0,251700000.0,231000000.0,214300000.0,208800000.0,181100000.0,176000000.0,161300000.0,156200000.0,134100000.0,120000000.0,133800000.0,131800000.0,105000000.0
,deferredIncomeTax,95500000.0,86100000.0,-38000000.0,52400000.0,900000.0,-162200000.0,-9600000.0,200300000.0,-116500000.0,21600000.0,48500000.0,28700000.0,-2800000.0,9100000.0
,stockBasedCompensation,24200000.0,36100000.0,27400000.0,22100000.0,42500000.0,26000000.0,16400000.0,19600000.0,15300000.0,11200000.0,28800000.0,10100000.0,15700000.0,0.0
,changeInWorkingCapital,-106700000.0,1615100000.0,237100000.0,-336100000.0,-473900000.0,46800000.0,184700000.0,-679800000.0,46100000.0,112400000.0,259200000.0,180700000.0,522200000.0,-187100000.0
,accountsReceivables,168300000.0,12800000.0,-47900000.0,-48500000.0,-139100000.0,62200000.0,-64700000.0,-128500000.0,-151100000.0,-66300000.0,-41600000.0,-8200000.0,15300000.0,0.0
,inventory,-39500000.0,-95400000.0,-61300000.0,319600000.0,207800000.0,-44200000.0,-332200000.0,666000000.0,228300000.0,-121600000.0,-300300000.0,-320700000.0,-570000000.0,-458900000.0
,accountsPayables,-592000000.0,0.0,0.0,0.0,0.0,0.0,0.0,104200000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2775600000.0,2882300000.0,1267200000.0,1030100000.0,1366200000.0,1840100000.0,1793300000.0,1608600000.0,2288400000.0,2242300000.0,2129900000.0,1870700000.0,1690000000.0,1167800000.0
,otherNonCashItems,18900000.0,-34000000.0,-41300000.0,-59400000.0,35300000.0,44300000.0,86500000.0,21600000.0,37200000.0,-4700000.0,-9700000.0,-6500000.0,-16200000.0,-42700000.0
,netCashProvidedByOperatingActivites,-744900000.0,922700000.0,769900000.0,573700000.0,716900000.0,1289700000.0,361600000.0,260600000.0,544400000.0,-47300000.0,125100000.0,-13900000.0,210700000.0,180100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-118900000.0,-232200000.0,-271200000.0,-273100000.0,-254000000.0,-360100000.0,-220200000.0,-272600000.0,-249000000.0,-249700000.0,-288100000.0,-228200000.0,-235800000.0,-288200000.0
,acquisitionsNet,-389000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3600000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115400000.0,116100000.0,0.0
,otherInvestingActivites,5400000.0,200000.0,3400000.0,300000.0,600000.0,2700000.0,-19400000.0,4400000.0,200000.0,500000.0,-800000.0,400000.0,3500000.0,48800000.0
,netCashUsedForInvestingActivites,-502000000.0,-239900000.0,-267800000.0,-272800000.0,-253400000.0,-357400000.0,-239600000.0,-268200000.0,-248800000.0,-249200000.0,-288400000.0,-112400000.0,-119800000.0,-239100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1271300000.0,-130000000.0,-563000000.0,-27800000.0,-336400000.0,-571400000.0,-316800000.0,-10400000.0,-741000000.0,-38000000.0,-177600000.0,-324900000.0,-190900000.0,0.0
,commonStockIssued,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-75800000.0,-805800000.0,-496300000.0,-649600000.0,-300000000.0,-129200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-15400000.0,-50400000.0,-48000000.0,-47100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-46500000.0,-12000000.0,-38800000.0,-9700000.0,-32500000.0,-14700000.0,-18200000.0,-3500000.0,-11200000.0,1300000.0,5000000.0,294100000.0,-6800000.0,33000000.0
,netCashUsedProvidedByFinancingActivities,769500000.0,884400000.0,-153500000.0,-580900000.0,-718700000.0,-351100000.0,-164200000.0,-13900000.0,-34600000.0,-6700000.0,277400000.0,276100000.0,3500000.0,8300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,3300000.0,5900000.0,0.0,5600000.0,-4400000.0,-1800000.0,-600000.0,1500000.0,1900000.0,-600000.0,-1500000.0,2700000.0,-11300000.0,-200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-474100000.0,1573100000.0,348600000.0,-274400000.0,-259600000.0,579400000.0,-42800000.0,-20000000.0,262900000.0,-303800000.0,112600000.0,152500000.0,83100000.0,-50900000.0
,cashAtEndOfPeriod,1893100000.0,2367200000.0,794100000.0,423300000.0,697700000.0,957300000.0,377900000.0,420700000.0,440700000.0,177800000.0,481600000.0,369000000.0,216500000.0,133400000.0
