date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,10866000000.0,12080000000.0,10301000000.0,6699000000.0,5991000000.0,6328000000.0,5438000000.0,4980000000.0,2144000000.0,3650000000.0,2966000000.0,2353000000.0,804000000.0,-1076095000.0
,depreciationAndAmortization,767000000.0,656000000.0,613000000.0,556000000.0,502000000.0,494000000.0,435000000.0,397000000.0,333000000.0,288000000.0,265000000.0,226000000.0,237000000.0,625693000.0
,deferredIncomeTax,307000000.0,214000000.0,-1277000000.0,1700000000.0,-764000000.0,195000000.0,-580000000.0,1527000000.0,-1690000000.0,164000000.0,249000000.0,297000000.0,-27000000.0,-873695000.0
,stockBasedCompensation,416000000.0,407000000.0,327000000.0,235000000.0,221000000.0,187000000.0,172000000.0,179000000.0,147000000.0,154000000.0,131000000.0,115000000.0,74000000.0,0.0
,changeInWorkingCapital,-8398000000.0,644000000.0,-2118000000.0,2762000000.0,749000000.0,1962000000.0,69000000.0,-345000000.0,-1907000000.0,503000000.0,437000000.0,790000000.0,4784150000.0,-1045951000.0
,accountsReceivables,-43000000.0,-333000000.0,-70000000.0,-54000000.0,-65000000.0,-19000000.0,-53000000.0,-38000000.0,-161000000.0,-79000000.0,-7000000.0,-102000000.0,-24000000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,21000000.0,-24000000.0,3000000.0,-30000000.0,43000000.0,-13000000.0,-56000000.0,40000000.0,-17000000.0,29000000.0,-21000000.0,-3000000.0,-10000000.0,0.0
,otherWorkingCapital,-8081000000.0,7555000000.0,6911000000.0,9029000000.0,6267000000.0,5518000000.0,3556000000.0,3487000000.0,3832000000.0,5739000000.0,5236000000.0,4799000000.0,4009000000.0,-775150000.0
,otherNonCashItems,6482000000.0,5730000000.0,5406000000.0,4598000000.0,3464000000.0,2885000000.0,2629000000.0,2371000000.0,2147000000.0,-131000000.0,-94000000.0,57000000.0,1553000000.0,2875195000.0
,netCashProvidedByOperatingActivites,10440000000.0,12784000000.0,12713000000.0,9208000000.0,5574000000.0,6584000000.0,7205000000.0,3022000000.0,5009000000.0,3872000000.0,2691000000.0,558000000.0,531000000.0,505147000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-736000000.0,-756000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-376000000.0,-353000000.0,-241000000.0,-306000000.0,-415000000.0,-159960000.0
,acquisitionsNet,-77000000.0,-699000000.0,-196000000.0,-302000000.0,-9082000000.0,-93000000.0,-149000000.0,0.0,-3000000.0,-268000000.0,-1805000000.0,0.0,1002000000.0,0.0
,purchasesOfInvestments,-2342000000.0,-3154000000.0,-5822000000.0,-3284000000.0,-28014000000.0,-2875000000.0,-2581000000.0,-3167000000.0,-4152000000.0,-1923000000.0,-28000000.0,-48000000.0,-2517000000.0,-3070490000.0
,salesMaturitiesOfInvestments,4510000000.0,4008000000.0,3638000000.0,5016000000.0,26703000000.0,1937000000.0,2342000000.0,2474000000.0,2115000000.0,245000000.0,76000000.0,1298000000.0,2458000000.0,2769231000.0
,otherInvestingActivites,72000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1714000000.0,2000000.0,1002000000.0,-161982000.0
,netCashUsedForInvestingActivites,1427000000.0,-591000000.0,-3084000000.0,735000000.0,-10916000000.0,-1435000000.0,-941000000.0,-1164000000.0,-2414000000.0,-2299000000.0,-1904000000.0,1830000000.0,554000000.0,-463241000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-1750000000.0,0.0,0.0,0.0,0.0,-6000000.0,-6000000.0,-54000000.0,-24000000.0,-54000000.0,-24000000.0,-36651000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19100000000.0,0.0
,commonStockRepurchased,-8114000000.0,-8607000000.0,-7192000000.0,-6891000000.0,-7157000000.0,-2910000000.0,-4118000000.0,-5365000000.0,-710000000.0,-2024000000.0,-1000000000.0,-2646000000.0,-13446000000.0,0.0
,dividendsPaid,-2664000000.0,-2269000000.0,-1918000000.0,-1579000000.0,-1350000000.0,-1177000000.0,-1006000000.0,-864000000.0,-595000000.0,-423000000.0,-368000000.0,-318000000.0,-93000000.0,0.0
,otherFinancingActivites,-592000000.0,-1347000000.0,-544000000.0,-91000000.0,-82000000.0,402000000.0,-1445000000.0,4381000000.0,-1518000000.0,-902000000.0,-206000000.0,235000000.0,-1915000000.0,0.0
,netCashUsedProvidedByFinancingActivities,-3968000000.0,-12061000000.0,-11240000000.0,-5924000000.0,7477000000.0,-3603000000.0,-6478000000.0,-1746000000.0,-2655000000.0,-3304000000.0,-1542000000.0,-2751000000.0,3624000000.0,-36651000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
