date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,31000000.0,306600000.0,276600000.0,284000000.0,249800000.0,237200000.0,209400000.0,187900000.0,164300000.0,135500000.0,77400000.0,56300000.0,111200000.0,61300000.0,65900000.0,141300000.0,28800000.0,-11100000.0,-13600000.0,-433700000.0,54200000.0,-23300000.0,50400000.0,73600000.0,-19200000.0,2700000.0,-30000000.0
,depreciationAndAmortization,140000000.0,141700000.0,123100000.0,104500000.0,93300000.0,76400000.0,71200000.0,59300000.0,57200000.0,55300000.0,53200000.0,46600000.0,45600000.0,41500000.0,45000000.0,49300000.0,55300000.0,55700000.0,47200000.0,63200000.0,58700000.0,61300000.0,47500000.0,35800000.0,26700000.0,11600000.0,14200000.0
,deferredIncomeTax,-51000000.0,16300000.0,29300000.0,3800000.0,62800000.0,53200000.0,39700000.0,16400000.0,30900000.0,23400000.0,16100000.0,19600000.0,-6500000.0,10000000.0,17000000.0,-118400000.0,-1100000.0,4800000.0,1700000.0,27600000.0,8600000.0,-15800000.0,6900000.0,-33200000.0,-500000.0,-300000.0,3600000.0
,stockBasedCompensation,15000000.0,18300000.0,16200000.0,17600000.0,16100000.0,17900000.0,17200000.0,18900000.0,15800000.0,13900000.0,12400000.0,8300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-30300000.0,33200000.0,-45500000.0,59500000.0,-6100000.0,-29900000.0,-16600000.0,47300000.0,63600000.0,-15000000.0,32400000.0,2900000.0,65800000.0,-15800000.0,32000000.0,17200000.0,16600000.0,671500000.0,-611300000.0,-47600000.0,10800000.0,-102300000.0,18900000.0,72600000.0,66500000.0,38400000.0,19200000.0
,accountsReceivables,110000000.0,36500000.0,-20700000.0,20200000.0,-17400000.0,-18400000.0,-15400000.0,6400000.0,-28100000.0,-28200000.0,-22500000.0,31800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,129000000.0,-30400000.0,-25200000.0,2300000.0,10800000.0,-25000000.0,-38800000.0,-28400000.0,-15200000.0,-48800000.0,-16700000.0,38400000.0,-20100000.0,-19100000.0,-16100000.0,-16800000.0,-17500000.0,2700000.0,25800000.0,20600000.0,-17000000.0,49000000.0,-9300000.0,-23800000.0,-5100000.0,-8100000.0,-6200000.0
,accountsPayables,-134000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,352000000.0,382300000.0,349100000.0,394600000.0,335100000.0,341200000.0,371100000.0,387700000.0,340400000.0,276800000.0,291800000.0,259400000.0,256500000.0,190700000.0,206500000.0,174500000.0,157300000.0,140700000.0,-530800000.0,80500000.0,128100000.0,117300000.0,219600000.0,200700000.0,128100000.0,61600000.0,23200000.0
,otherNonCashItems,0.0,-1600000.0,9300000.0,700000.0,1700000.0,1100000.0,1600000.0,2100000.0,3100000.0,135500000.0,-800000.0,-1700000.0,11400000.0,11700000.0,9200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,600000.0,0.0
,netCashProvidedByOperatingActivites,264000000.0,491100000.0,421400000.0,428700000.0,401400000.0,301000000.0,318000000.0,272900000.0,232400000.0,170500000.0,126500000.0,172800000.0,98900000.0,113500000.0,103100000.0,72500000.0,85900000.0,46900000.0,65900000.0,35000000.0,33000000.0,133700000.0,93800000.0,26000000.0,26500000.0,-2500000.0,-1100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,42000000.0,-204100000.0,-184100000.0,-278100000.0,-327900000.0,-305300000.0,-260100000.0,-194900000.0,-263700000.0,-158000000.0,-48800000.0,-98400000.0,-177300000.0,-120600000.0,-120200000.0,-62700000.0,-38100000.0,-21600000.0,-14900000.0,-38800000.0,-39600000.0,-35600000.0,-539300000.0,-94400000.0,-43600000.0,-12100000.0,-8400000.0
,acquisitionsNet,0.0,-163000000.0,-3000000.0,-76000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000000.0,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300000.0,0.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5200000.0,-48800000.0,-98400000.0,0.0,1200000.0,0.0,-8600000.0,3000000.0,25000000.0,11100000.0,500000.0,-8300000.0,-4700000.0,100000.0,-2000000.0,-164400000.0,-4200000.0,100000.0
,netCashUsedForInvestingActivites,-50600000.0,-367300000.0,-187500000.0,-354100000.0,-366500000.0,-305300000.0,-270400000.0,-194900000.0,-258400000.0,-163200000.0,-48800000.0,-104400000.0,-155000000.0,-121400000.0,-98200000.0,-69900000.0,-28600000.0,9100000.0,-2300000.0,-38300000.0,68800000.0,-40300000.0,-539200000.0,-82900000.0,-206400000.0,15700000.0,300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
