date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1986-12-31_FY,1985-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-541000000.0,116000000.0,-16000000.0,95000000.0,15000000.0,-80000000.0,-123000000.0,-56000000.0,-1379000000.0,-764000000.0,-687000000.0,-821000000.0,-179000000.0,-205000000.0,-456000000.0,-1288000000.0,88000000.0,265000000.0,770000000.0,76000000.0,1407000000.0,1392000000.0,1390000000.0,5000000.0,1288000000.0,1252000000.0,557000000.0,-1515000000.0,1146000000.0,17000000.0,703000000.0,529000000.0,1397000000.0,374000000.0,332000000.0
,depreciationAndAmortization,37000000.0,55000000.0,73000000.0,80000000.0,105000000.0,145000000.0,199000000.0,193000000.0,245000000.0,294000000.0,345000000.0,427000000.0,500000000.0,785000000.0,1195000000.0,1291000000.0,1030000000.0,864000000.0,834000000.0,917000000.0,889000000.0,918000000.0,853000000.0,828000000.0,903000000.0,916000000.0,903000000.0,1111000000.0,1539000000.0,1477000000.0,1309000000.0,1326000000.0,1183000000.0,975000000.0,838000000.0
,deferredIncomeTax,160000000.0,21000000.0,18000000.0,-129000000.0,15000000.0,6000000.0,5000000.0,446000000.0,-20000000.0,14000000.0,-95000000.0,-99000000.0,16000000.0,54000000.0,-137000000.0,237000000.0,-44000000.0,-49000000.0,-224000000.0,-41000000.0,234000000.0,247000000.0,202000000.0,-502000000.0,-17000000.0,283000000.0,-126000000.0,-130000000.0,1000000.0,-147000000.0,-165000000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,15000000.0,7000000.0,6000000.0,9000000.0,8000000.0,18000000.0,8000000.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-17000000.0,47000000.0,-59000000.0,-44000000.0,-8000000.0,-82000000.0,-160000000.0,1892000000.0,86000000.0,-502000000.0,-490000000.0,-160000000.0,-719000000.0,-194000000.0,253000000.0,598000000.0,-41000000.0,343000000.0,665000000.0,-13000000.0,-399000000.0,254000000.0,-877000000.0,-1250000000.0,-1118000000.0,718000000.0,-748000000.0,392000000.0,337000000.0,854000000.0,408000000.0,442000000.0,0.0,0.0,0.0
,accountsReceivables,33000000.0,21000000.0,12000000.0,11000000.0,37000000.0,15000000.0,143000000.0,-72000000.0,-118000000.0,96000000.0,118000000.0,363000000.0,148000000.0,161000000.0,157000000.0,228000000.0,-43000000.0,-106000000.0,70000000.0,279000000.0,-105000000.0,27000000.0,-237000000.0,410000000.0,382000000.0,342000000.0,-247000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,12000000.0,11000000.0,-9000000.0,-4000000.0,16000000.0,12000000.0,4000000.0,147000000.0,27000000.0,131000000.0,-28000000.0,276000000.0,-20000000.0,108000000.0,271000000.0,274000000.0,83000000.0,-16000000.0,9000000.0,647000000.0,-199000000.0,-95000000.0,-172000000.0,323000000.0,85000000.0,-180000000.0,52000000.0,269000000.0,-150000000.0,114000000.0,82000000.0,518000000.0,0.0,0.0,0.0
,accountsPayables,-36000000.0,25000000.0,-31000000.0,-14000000.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112000000.0,-46000000.0,143000000.0,123000000.0,7000000.0,-4000000.0,23000000.0,-167000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,331000000.0,338000000.0,132000000.0,539000000.0,622000000.0,819000000.0,951000000.0,1086000000.0,-806000000.0,577000000.0,966000000.0,1407000000.0,1566000000.0,1607000000.0,1003000000.0,607000000.0,658000000.0,197000000.0,-968000000.0,-737000000.0,-724000000.0,-325000000.0,-579000000.0,298000000.0,1548000000.0,2666000000.0,1948000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-237000000.0,-100000000.0,-64000000.0,-124000000.0,-115000000.0,-58000000.0,-2553000000.0,716000000.0,-63000000.0,943000000.0,-95000000.0,798000000.0,-742000000.0,141000000.0,248000000.0,-340000000.0,87000000.0,107000000.0,82000000.0,-6000000.0,-162000000.0,-124000000.0,211000000.0,452000000.0,82000000.0,145000000.0,567000000.0,347000000.0,26000000.0,-65000000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-35000000.0,12000000.0,-62000000.0,-67000000.0,-15000000.0,-95000000.0,-128000000.0,-663000000.0,-289000000.0,-1025000000.0,-219000000.0,-136000000.0,168000000.0,328000000.0,956000000.0,1208000000.0,1168000000.0,1645000000.0,2204000000.0,2206000000.0,1105000000.0,1933000000.0,1483000000.0,2080000000.0,2484000000.0,2630000000.0,1642000000.0,2614000000.0,3366000000.0,2557000000.0,2510000000.0,2619000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-17000000.0,-15000000.0,-33000000.0,-38000000.0,-41000000.0,-43000000.0,-43000000.0,-39000000.0,-69000000.0,-128000000.0,-149000000.0,-152000000.0,-254000000.0,-259000000.0,-379000000.0,-472000000.0,-460000000.0,-506000000.0,-577000000.0,-743000000.0,-945000000.0,-1127000000.0,-1108000000.0,-1485000000.0,-1341000000.0,-1034000000.0,-1153000000.0,-1082000000.0,-2092000000.0,-2135000000.0,-2037000000.0,-2118000000.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-3000000.0,0.0,18000000.0,0.0,0.0,-27000000.0,0.0,-17000000.0,-38000000.0,-2000000.0,-3000000.0,-984000000.0,-369000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
