date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1071000000.0,1184000000.0,-183000000.0,350000000.0,888000000.0,783000000.0,650000000.0,827000000.0,401000000.0,390000000.0,619000000.0,328000000.0,418000000.0,640000000.0,433000000.0,422000000.0,406000000.0,414000000.0,-394000000.0,21000000.0,367000000.0,347000000.0,325000000.0,-15000000.0,156000000.0,209000000.0
,depreciationAndAmortization,568000000.0,587000000.0,645000000.0,654000000.0,655000000.0,668000000.0,560000000.0,540000000.0,551000000.0,558000000.0,555000000.0,525000000.0,597000000.0,593000000.0,550000000.0,442000000.0,445000000.0,427000000.0,405000000.0,396000000.0,400000000.0,417000000.0,438000000.0,356000000.0,353000000.0,312000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,157000000.0,-129000000.0,74000000.0,29000000.0,26000000.0,-208000000.0,-32000000.0,44000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1656000000.0,809000000.0,-1205000000.0,-252000000.0,96000000.0,-114000000.0,-533000000.0,-89000000.0,192000000.0,-1041000000.0,82000000.0,603000000.0,-181000000.0,188000000.0,65000000.0,-120000000.0,253000000.0,454000000.0,-407000000.0,295000000.0,-351000000.0,-330000000.0,10000000.0,815000000.0,78000000.0,-18000000.0
,accountsReceivables,461000000.0,-87000000.0,79000000.0,160000000.0,-291000000.0,-89000000.0,-90000000.0,-65000000.0,47000000.0,-15000000.0,187000000.0,-286000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,461000000.0,-39000000.0,73000000.0,-229000000.0,-18000000.0,-141000000.0,40000000.0,-86000000.0,-7000000.0,283000000.0,-595000000.0,578000000.0,-174000000.0,-194000000.0,-118000000.0,37000000.0,-266000000.0,-127000000.0,101000000.0,-26000000.0,-80000000.0,-52000000.0,73000000.0,177000000.0,-7000000.0,-111000000.0
,accountsPayables,461000000.0,140000000.0,210000000.0,180000000.0,37000000.0,14000000.0,359000000.0,275000000.0,240000000.0,25000000.0,341000000.0,326000000.0,-250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,685000000.0,-971000000.0,-1780000000.0,-575000000.0,-323000000.0,-419000000.0,-305000000.0,228000000.0,317000000.0,125000000.0,1166000000.0,1084000000.0,481000000.0,662000000.0,474000000.0,409000000.0,529000000.0,276000000.0,-178000000.0,229000000.0,-66000000.0,285000000.0,615000000.0,605000000.0,-210000000.0,-288000000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-275000000.0,163000000.0,4000000.0,-41000000.0,42000000.0,0.0,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,61000000.0,0.0,222000000.0,-14000000.0,-155000000.0
,netCashProvidedByOperatingActivites,0.0,1230000000.0,1229000000.0,1264000000.0,1203000000.0,1225000000.0,1479000000.0,1262000000.0,696000000.0,530000000.0,1078000000.0,1550000000.0,327000000.0,933000000.0,888000000.0,881000000.0,794000000.0,744000000.0,812000000.0,1024000000.0,445000000.0,801000000.0,763000000.0,593000000.0,545000000.0,377000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-536000000.0,-576000000.0,-494000000.0,-511000000.0,-423000000.0,-430000000.0,-378000000.0,-375000000.0,-437000000.0,-644000000.0,-378000000.0,-336000000.0,-483000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-1809000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,-651000000.0,-29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-25000000.0,-208000000.0,-12000000.0,-70000000.0,-16000000.0,-6000000.0,-28000000.0,-7000000.0,0.0,-35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,60000000.0,113000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0
,otherInvestingActivites,0.0,1168000000.0,156000000.0,124000000.0,84000000.0,78000000.0,89000000.0,2000000.0,10000000.0,19000000.0,17000000.0,77000000.0,114000000.0,-25000000.0,-53000000.0,0.0,0.0,0.0,0.0,209000000.0,0.0,0.0,0.0,328000000.0,-324000000.0,-478000000.0
,netCashUsedForInvestingActivites,-237000000.0,636000000.0,-399000000.0,-655000000.0,-588000000.0,-681000000.0,-2456000000.0,-582000000.0,-494000000.0,-596000000.0,-606000000.0,-499000000.0,-433000000.0,-331000000.0,-1194000000.0,-430000000.0,-439000000.0,-352000000.0,-609000000.0,-169000000.0,-658000000.0,-437000000.0,-57000000.0,988000000.0,-645000000.0,-935000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
