Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0
Stock-based compensation,,,,,
Operating Cash Flow,-2000000.0,-1000000.0,6000000.0,3000000.0,-1000000.0
Capital Expenditure,-11000000.0,-26000000.0,-24000000.0,-22000000.0,-8000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,-17000000,-78000000,-69000000,-45000000,-20000000
Investing Cash flow,31000000.0,41000000.0,-9000000.0,-39000000.0,1000000.0
Issuance (repayment) of debt,-37000000.0,-132000000.0,-80000000.0,-49000000.0,-0000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-28000000.0,-41000000.0,3000000.0,29000000.0,-14000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,2000000.0,-1000000.0,-0000000.0,-7000000.0,-13000000.0
Free Cash Flow,-13000000.0,-27000000.0,-18000000.0,-19000000.0,-9000000.0
Net Cash/Marketcap,,,,,
