Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12
Cash and cash equivalents,53911000.0,54000000.0,69354000.0,69000000.0,73411000.0,73000000.0,85040000.0,85000000.0,77000000.0
Short-term investments,,,,,,,,,
Cash and short-term investments,53911000.0,,69354000.0,,73411000.0,,85040000.0,,
Receivables,107738000.0,92000000.0,78808000.0,79000000.0,74416000.0,74000000.0,86268000.0,86000000.0,100000000.0
Inventories,120068000.0,120000000.0,107719000.0,108000000.0,98871000.0,99000000.0,98510000.0,99000000.0,114000000.0
Total current assets,290509000.0,153000000.0,266099000.0,165000000.0,255442000.0,171000000.0,280471000.0,302000000.0,325000000.0
Property, Plant & Equipment Net,43932000.0,44000000.0,43495000.0,43000000.0,48755000.0,49000000.0,57611000.0,58000000.0,71000000.0
Goodwill and Intangible Assets,,83000000,,89000000,,93000000,,210000000,214000000
Long-term investments,,,,,,,,,
Tax assets,,0000000.0,,4000000.0,,3000000.0,,3000000.0,8000000.0
Total non-current assets,,161000000.0,,186000000.0,,176000000.0,,232000000.0,289000000.0
Total assets,443028000.0,444000000.0,427110000.0,431000000.0,423330000.0,427000000.0,575067000.0,587000000.0,636000000.0
Payables,56171000.0,56000000.0,47947000.0,48000000.0,47235000.0,47000000.0,49798000.0,50000000.0,62000000.0
Short-term debt,,3000000.0,,3000000.0,,11000000.0,,25000000.0,13000000.0
Total current liabilities,106030000.0,106000000.0,87300000.0,87000000.0,92327000.0,92000000.0,121852000.0,122000000.0,122000000.0
Long-term debt,111705000.0,112000000.0,120053000.0,120000000.0,129850000.0,130000000.0,158776000.0,162000000.0,219000000.0
Total debt,,112000000.0,,120000000.0,,130000000.0,,162000000.0,219000000.0
Deferred revenue,,,,,,,,,
Tax Liabilities,,29000000.0,,30000000.0,,29000000.0,,53000000.0,56000000.0
Deposit Liabilities,,,,,,,,,
Total non-current liabilities,,161000000.0,,186000000.0,,176000000.0,,232000000.0,289000000.0
Total liabilities,266558000.0,267000000.0,269150000.0,273000000.0,264896000.0,268000000.0,341945000.0,354000000.0,411000000.0
Other comprehensive income,,-25000000.0,,-20000000.0,,-31000000.0,,-22000000.0,-12000000.0
Retained earnings (deficit),168695000.0,169000000.0,147807000.0,148000000.0,161287000.0,161000000.0,229371000.0,229000000.0,214000000.0
Total shareholders equity,176470000.0,176000000.0,157960000.0,158000000.0,158434000.0,158000000.0,233122000.0,233000000.0,225000000.0
Investments,,,,,,,,,
Net Debt,,61000000,,54000000,,68000000,,102000000,155000000
Other Assets,8792000.0,51000000,,38000000,,35000000,,47000000,54000000
Other Liabilities,,17000000,,23000000,,2000000,,10000000,4000000
