date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,373173000.0,351515000.0,347002000.0,175906000.0,105747000.0,608280000.0,637463000.0,417203000.0,294656000.0,-10525000.0,-308461000.0,-2463000.0,-178151000.0,-73479000.0
,depreciationAndAmortization,651205000.0,564076000.0,540575000.0,552272000.0,470634000.0,368394000.0,382806000.0,378597000.0,350862000.0,313065000.0,217496000.0,126885000.0,114937000.0,36512000.0
,deferredIncomeTax,3733000.0,4095000.0,2813000.0,5459000.0,30254000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2755000.0,-1814000.0
,stockBasedCompensation,31797000.0,25143000.0,17305000.0,18487000.0,20827000.0,20401000.0,14987000.0,8973000.0,8624000.0,6043000.0,11385000.0,6855000.0,0.0,0.0
,changeInWorkingCapital,-365869000.0,79608000.0,174906000.0,369227000.0,-36652000.0,-84621000.0,31242000.0,113231000.0,16477000.0,43303000.0,-59185000.0,-148267000.0,203352000.0,14501000.0
,accountsReceivables,-77627000.0,-60475000.0,54903000.0,-18339000.0,-56172000.0,-7732000.0,-15261000.0,-42367000.0,-69741000.0,-45795000.0,-243702000.0,-28743000.0,0.0,0.0
,inventory,-593000.0,-27847000.0,-2076000.0,-5878000.0,-9963000.0,-4942000.0,-1593000.0,-1318000.0,-268000.0,-3694000.0,-4364000.0,-686000.0,-1288000.0,-109000.0
,accountsPayables,0.0,161542000.0,181661000.0,448339000.0,1160000.0,4603000.0,-3920000.0,1722000.0,3143000.0,64000.0,6225000.0,-3670000.0,0.0,0.0
,otherWorkingCapital,54107000.0,6388000.0,-59582000.0,-54895000.0,19597000.0,-26615000.0,-2719000.0,-5629000.0,-2190000.0,565000.0,-2772000.0,-120000.0,-6949000.0,0.0
,otherNonCashItems,22845000.0,27472000.0,35693000.0,57655000.0,49872000.0,38761000.0,35049000.0,21958000.0,0.0,35174000.0,16757000.0,5378000.0,8410000.0,7918000.0
,netCashProvidedByOperatingActivites,836162000.0,1056698000.0,1162500000.0,1158128000.0,522026000.0,894614000.0,1151934000.0,950233000.0,744660000.0,401955000.0,-112257000.0,-11158000.0,151138000.0,-20237000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-337560000.0,-353526000.0,-173480000.0,-135804000.0,-276878000.0,-337158000.0,-95448000.0,-228188000.0,-94230000.0,-202609000.0,-939786000.0,-1053992000.0,-673637000.0,-35114000.0
,acquisitionsNet,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-305000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-678000000.0,-69871000.0,-153615000.0,-260197000.0,-1034173000.0,-110616000.0,-626940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,109821000.0,74688000.0,263547000.0,774093000.0,420053000.0,626940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,-18335000.0,246043000.0,1496059000.0,-757829000.0,73987000.0,-1048807000.0,-186062000.0,42021000.0,-177024000.0,180180000.0,-298983000.0,-3555000.0
,netCashUsedForInvestingActivites,-1031849000.0,-609696000.0,-410226000.0,280604000.0,-469656000.0,-1605269000.0,-1209270000.0,-1335718000.0,-585388000.0,-190310000.0,-1143639000.0,-913602000.0,-972620000.0,-38645000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2592631000.0,-592680000.0,-896396000.0,-124333000.0,-70351000.0,-262791000.0,-1668007000.0,-2755000.0,-117076000.0,-551402000.0,0.0,-181000.0,0.0,0.0
,commonStockIssued,83233000.0,213527000.0,0.0,0.0,0.0,122167000.0,338461000.0,0.0,0.0,0.0,383529000.0,0.0,722796000.0,1067474000.0
,commonStockRepurchased,0.0,-854919000.0,0.0,-805785000.0,0.0,-302216000.0,-8770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-300995000.0,-271531000.0,-821328000.0,-385569000.0,-62850000.0,-342718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-28825000.0,0.0,-34552000.0,-27284000.0,-49877000.0,79258000.0,69332000.0,65891000.0,-36135000.0,-22944000.0,-870000.0,-7641000.0,-146318000.0,55640000.0
,netCashUsedProvidedByFinancingActivities,97114000.0,-404871000.0,-1046041000.0,-1339717000.0,-29688000.0,926950000.0,-264967000.0,934735000.0,557910000.0,17680000.0,653350000.0,904485000.0,1072905000.0,623109000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,10486000.0,-11160000.0,-332000.0,-7731000.0,-9311000.0,-397000.0,-5149000.0,1935000.0,-1081000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-88087000.0,30971000.0,-294099000.0,91284000.0,13371000.0,215898000.0,-327452000.0,551185000.0,716101000.0,229325000.0,-602546000.0,-20275000.0,251423000.0,564227000.0
