date,,2020-05-31_FY,2019-05-26_FY,2018-05-27_FY,2017-05-28_FY,2016-05-29_FY,2015-05-31_FY,2014-05-25_FY,2013-05-26_FY,2012-05-27_FY,2011-05-29_FY,2010-05-30_FY,2009-05-31_FY,2008-05-25_FY,2007-05-27_FY,2006-05-28_FY,2005-05-29_FY,2004-05-30_FY,2003-05-25_FY,2002-05-26_FY,2001-05-27_FY,2000-05-28_FY,1999-05-30_FY,1998-05-31_FY,1997-05-25_FY,1996-05-26_FY,1995-05-28_FY,1994-05-29_FY,1993-05-30_FY,1992-05-31_FY,1991-05-26_FY,1990-05-27_FY,1989-05-28_FY,1988-05-29_FY,1987-05-31_FY,1986-05-25_FY,1985-05-26_FY,1984-05-27_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2181200000.0,1752700000.0,2131000000.0,1657500000.0,1697400000.0,1221300000.0,1824000000.0,1855000000.0,1567000000.0,1798000000.0,1531000000.0,1304400000.0,1295000000.0,1144000000.0,1090000000.0,1240000000.0,1055000000.0,917000000.0,458000000.0,665000000.0,614000000.0,535000000.0,421800000.0,445000000.0,476000000.0,367000000.0,470000000.0,506000000.0,495600000.0,473000000.0,381000000.0,262000000.0,283000000.0,222000000.0,184000000.0,-73000000.0,233000000.0
,depreciationAndAmortization,594700000.0,620100000.0,618800000.0,603600000.0,608100000.0,588300000.0,585400000.0,588000000.0,541500000.0,472600000.0,457100000.0,453600000.0,459200000.0,418000000.0,424000000.0,443000000.0,399000000.0,365000000.0,296000000.0,223100000.0,208800000.0,194200000.0,194900000.0,182800000.0,186700000.0,191400000.0,303800000.0,274200000.0,247400000.0,218400000.0,180100000.0,152300000.0,131100000.0,122800000.0,104500000.0,109000000.0,99000000.0
,deferredIncomeTax,-29600000.0,93500000.0,-504300000.0,183900000.0,120600000.0,-49300000.0,172500000.0,81800000.0,149400000.0,205300000.0,22300000.0,126700000.0,98100000.0,26000000.0,26000000.0,9000000.0,109000000.0,27000000.0,93000000.0,48400000.0,43500000.0,42000000.0,-29300000.0,20900000.0,42400000.0,59000000.0,-27800000.0,40800000.0,13500000.0,900000.0,12500000.0,24100000.0,28200000.0,9400000.0,22800000.0,-19500000.0,-17200000.0
,stockBasedCompensation,94900000.0,84900000.0,77000000.0,95700000.0,89800000.0,106400000.0,108500000.0,100400000.0,108300000.0,105300000.0,107000000.0,117700000.0,133000000.0,128000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,530400000.0,317600000.0,-1948800000.0,-191900000.0,26900000.0,-74400000.0,-35000000.0,-843000000.0,-395000000.0,532000000.0,-217900000.0,1164900000.0,1555000000.0,171000000.0,-1833000000.0,-1587000000.0,723000000.0,2045000000.0,-1509000000.0,538000000.0,-742000000.0,-188600000.0,-126400000.0,-85000000.0,127000000.0,379000000.0,-221000000.0,-144900000.0,-147100000.0,73000000.0,-66000000.0,8000000.0,-147900000.0,-96100000.0,-191000000.0,-15000000.0,-32500000.0
,accountsReceivables,0.0,-42700000.0,-122700000.0,-69200000.0,-6900000.0,0.0,-41000000.0,-44600000.0,-24200000.0,-69800000.0,-121100000.0,0.0,-94000000.0,-24000000.0,-18000000.0,-9000000.0,-22000000.0,31000000.0,-346000000.0,-163000000.0,-10000000.0,-96000000.0,0.0,-81000000.0,-61000000.0,33000000.0,-23000000.0,5000000.0,0.0,-47000000.0,-4000000.0,-25000000.0,7000000.0,-17000000.0,65000000.0,266000000.0,0.0
,inventory,103100000.0,53700000.0,15600000.0,-61500000.0,-146100000.0,-24200000.0,-88300000.0,18700000.0,144500000.0,-240000000.0,-16700000.0,-28100000.0,-165000000.0,-116000000.0,-6000000.0,30000000.0,24000000.0,-20000000.0,-536000000.0,-8000000.0,-84000000.0,-37000000.0,0.0,32000000.0,-24000000.0,116000000.0,-49000000.0,48000000.0,600000.0,-100000000.0,-24000000.0,54000000.0,-35000000.0,-38000000.0,27000000.0,284000000.0,0.0
,accountsPayables,392500000.0,162400000.0,575300000.0,99500000.0,318700000.0,145800000.0,191500000.0,263600000.0,12100000.0,109000000.0,69600000.0,-116400000.0,125000000.0,88000000.0,14000000.0,-19000000.0,-167000000.0,67000000.0,-598000000.0,23000000.0,5000000.0,-54000000.0,0.0,-9000000.0,-97000000.0,156000000.0,-33000000.0,16000000.0,0.0,-61000000.0,-81000000.0,24000000.0,-27000000.0,-52000000.0,-21000000.0,117000000.0,0.0
,otherWorkingCapital,-2370200000.0,-2900600000.0,-3218200000.0,-1269400000.0,-1077500000.0,-1104400000.0,-1030000000.0,-995000000.0,-152000000.0,243000000.0,-289000000.0,-71100000.0,-1236000000.0,-2791000000.0,-2962000000.0,-1129000000.0,458000000.0,-265000000.0,-2310000000.0,-801000000.0,-1339000000.0,-597000000.0,-408400000.0,-282000000.0,-197000000.0,-324000000.0,-703000000.0,-482000000.0,-337100000.0,-190000000.0,-263000000.0,-197000000.0,-205000000.0,-57100000.0,39000000.0,230000000.0,245000000.0
,otherNonCashItems,89500000.0,255900000.0,91100000.0,131500000.0,30700000.0,393200000.0,-60300000.0,-253600000.0,-89600000.0,-263200000.0,-140100000.0,-26300000.0,-59800000.0,40000000.0,-3000000.0,-286000000.0,68000000.0,27000000.0,75000000.0,-5100000.0,-2800000.0,47700000.0,133400000.0,41600000.0,-16600000.0,393300000.0,141600000.0,-6000000.0,13900000.0,-4200000.0,-29300000.0,-171400000.0,14100000.0,-15400000.0,-78100000.0,-88900000.0,-15900000.0
,netCashProvidedByOperatingActivites,3676200000.0,2807000000.0,2841000000.0,2415200000.0,2764200000.0,2542800000.0,2541000000.0,2926000000.0,2402000000.0,1526800000.0,2181200000.0,1828200000.0,1729900000.0,1765000000.0,1771000000.0,1711000000.0,1461000000.0,1631000000.0,913000000.0,736900000.0,687700000.0,686200000.0,769500000.0,587300000.0,659800000.0,667500000.0,830700000.0,859900000.0,771600000.0,544400000.0,627800000.0,355900000.0,340700000.0,414200000.0,351300000.0,64300000.0,236100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
