Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Cash and cash equivalents,6000000.0,140000000.0,83000000.0,119000000.0,259000000.0,105000000.0,129000000.0,179000000.0,245000000.0
Short-term investments,146000000.0,99000000.0,2909000000.0,25000000.0,1995000000.0,27000000.0,1560000000.0,254000000.0,216000000.0
Cash and short-term investments,152000000.0,239000000.0,2909000000.0,144000000.0,1995000000.0,132000000.0,1560000000.0,254000000.0,216000000.0
Receivables,250000000.0,463000000.0,5839000000.0,255000000.0,4059000000.0,155000000.0,2018000000.0,1130000000.0,1320000000.0
Inventories,41000000.0,35000000.0,392000000.0,18000000.0,288000000.0,10000000.0,135000000.0,74000000.0,84000000.0
Total current assets,446000000.0,739000000.0,16042000000.0,417000000.0,12311000000.0,299000000.0,9114000000.0,6989000000.0,5389000000.0
Property, Plant & Equipment Net,2032000000.0,3065000000.0,14812000000.0,706000000.0,11197000000.0,687000000.0,8886000000.0,6652000000.0,5189000000.0
Goodwill and Intangible Assets,,,0,,0,,0,0,0
Long-term investments,0.0,0.0,0000000.0,3000000.0,45000000.0,2000000.0,24000000.0,0000000.0,0000000.0
Tax assets,,,1187000000.0,,1019000000.0,,50000000.0,87000000.0,000000.0
Total non-current assets,,,11703000000.0,,9008000000.0,,5778000000.0,3912000000.0,2799000000.0
Total assets,2504000000.0,3808000000.0,25305000000.0,1129000000.0,18934000000.0,999000000.0,12981000000.0,8630000000.0,7258000000.0
Payables,475000000.0,729000000.0,9195000000.0,430000000.0,6821000000.0,346000000.0,4475000000.0,3300000000.0,2481000000.0
Short-term debt,,,71000000.0,,54000000.0,,2000000.0,000000.0,41000000.0
Total current liabilities,682000000.0,995000000.0,12541000000.0,603000000.0,9563000000.0,439000000.0,5678000000.0,4333000000.0,3283000000.0
Long-term debt,234000000.0,332000000.0,4192000000.0,175000000.0,2770000000.0,190000000.0,2461000000.0,1598000000.0,1310000000.0
Total debt,,,4192000000.0,,2770000000.0,,2461000000.0,1598000000.0,1310000000.0
Deferred revenue,,,195000000.0,,200000000.0,,154000000.0,170000000.0,88000000.0
Tax Liabilities,,,000000.0,,000000.0,,000000.0,000000.0,73000000.0
Deposit Liabilities,,,,,,,,,
Total non-current liabilities,,,11703000000.0,,9008000000.0,,5778000000.0,3912000000.0,2799000000.0
Total liabilities,1497000000.0,2315000000.0,24244000000.0,1106000000.0,18572000000.0,881000000.0,11456000000.0,8245000000.0,6082000000.0
Other comprehensive income,,,408000000.0,,630000000.0,,366000000.0,-1797000000.0,-18000000.0
Retained earnings (deficit),447000000.0,510000000.0,-506000000.0,-58000000.0,-1189000000.0,19000000.0,249000000.0,893000000.0,-113000000.0
Total shareholders equity,1007000000.0,1493000000.0,1061000000.0,23000000.0,362000000.0,118000000.0,1525000000.0,385000000.0,1176000000.0
Investments,,,0000000.0,,45000000.0,,24000000.0,0000000.0,0000000.0
Net Debt,,,4180000000,,2565000000,,2334000000,1419000000,1106000000
Other Assets,-79000000.0,,68000000,,64000000,,154000000,249000000,199000000
Other Liabilities,,,9054000000,,3476000000,,3942000000,2758000000,1382000000
