date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,4754000000.0,2242000000.0,880000000.0,2493000000.0,2435000000.0,2031000000.0,1710000000.0,2415000000.0,2268000000.0,2040000000.0,1708000000.0,1742000000.0,1734000000.0,1573000000.0,1591000000.0,1532000000.0,1474000000.0,1318000000.0,1262000000.0,1313000000.0,1276000000.0,977000000.0,972000000.0,1127000000.0,1103000000.0,989000000.0
,depreciationAndAmortization,3331000000.0,3549000000.0,3457000000.0,2923000000.0,2395000000.0,2293000000.0,2298000000.0,2145000000.0,2048000000.0,1831000000.0,1788000000.0,1704000000.0,1486000000.0,1421000000.0,1398000000.0,1178000000.0,1163000000.0,1158000000.0,1358000000.0,1337000000.0,1522000000.0,1773000000.0,1471000000.0,1201000000.0,0.0,0.0
,deferredIncomeTax,1368000000.0,94000000.0,166000000.0,-127000000.0,1356000000.0,744000000.0,798000000.0,1096000000.0,1155000000.0,1038000000.0,25000000.0,0.0,0.0,0.0,0.0,590000000.0,451000000.0,172000000.0,-22000000.0,97000000.0,137000000.0,-22000000.0,-5000000.0,57000000.0,117000000.0,-4000000.0
,stockBasedCompensation,107000000.0,125000000.0,109000000.0,121000000.0,99000000.0,63000000.0,59000000.0,55000000.0,42000000.0,33000000.0,23000000.0,20000000.0,28000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,162000000.0,276000000.0,-996000000.0,858000000.0,-187000000.0,614000000.0,29000000.0,-328000000.0,573000000.0,-59000000.0,-45000000.0,-263000000.0,125000000.0,-483000000.0,-1003000000.0,-538000000.0,-1000000.0,224000000.0,120000000.0,-70000000.0,-44000000.0,-62000000.0,158000000.0,-137000000.0,-73000000.0,19000000.0
,accountsReceivables,630000000.0,-426000000.0,-199000000.0,-544000000.0,243000000.0,-352000000.0,-153000000.0,234000000.0,0.0,0.0,585000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-76000000.0,172000000.0,72000000.0,-79000000.0,17000000.0,341000000.0,517000000.0,-549000000.0,-122000000.0,105000000.0,-471000000.0,-326000000.0,-110000000.0,-239000000.0,-188000000.0,-39000000.0,-29000000.0,113000000.0,-242000000.0,63000000.0,-76000000.0,-45000000.0,77000000.0,104000000.0,39000000.0,-128000000.0
,accountsPayables,-693000000.0,291000000.0,-280000000.0,301000000.0,-353000000.0,267000000.0,72000000.0,-89000000.0,-5000000.0,4000000.0,-125000000.0,-74000000.0,105000000.0,-173000000.0,71000000.0,29000000.0,-68000000.0,118000000.0,-51000000.0,180000000.0,-147000000.0,-17000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,53000000.0,36000000.0,-212000000.0,-195000000.0,248000000.0,255000000.0,-327000000.0,224000000.0,0.0,0.0,0.0,0.0,14000000.0,120000000.0,0.0,0.0,0.0,0.0,69000000.0,66000000.0,392000000.0,-151000000.0,56000000.0,-99000000.0,135000000.0,-48000000.0
,otherNonCashItems,-354000000.0,-404000000.0,-446000000.0,-409000000.0,-265000000.0,-283000000.0,-108000000.0,-87000000.0,-138000000.0,-209000000.0,-224000000.0,174000000.0,1823000000.0,1858000000.0,2135000000.0,-165000000.0,-96000000.0,-54000000.0,-334000000.0,136000000.0,172000000.0,-199000000.0,-92000000.0,16000000.0,1258000000.0,1050000000.0
,netCashProvidedByOperatingActivites,5781000000.0,6945000000.0,6395000000.0,4894000000.0,6274000000.0,5815000000.0,6097000000.0,4898000000.0,5903000000.0,3991000000.0,3263000000.0,3398000000.0,3395000000.0,2820000000.0,2530000000.0,2692000000.0,3066000000.0,2831000000.0,2384000000.0,2818000000.0,2723000000.0,2748000000.0,2625000000.0,2401000000.0,2315000000.0,2111000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7555000000.0,-8001000000.0,-7423000000.0,-7310000000.0,-7393000000.0,-5977000000.0,-5463000000.0,-4809000000.0,-4525000000.0,-4086000000.0,-4670000000.0,-3961000000.0,-3545000000.0,-2994000000.0,-2370000000.0,-2110000000.0,-2002000000.0,-2717000000.0,-2617000000.0,-2225000000.0,-2560000000.0,-2005000000.0,-1859000000.0,-1229000000.0,-1401000000.0,-1536000000.0
,acquisitionsNet,-50000000.0,-65000000.0,-1054000000.0,-10680000000.0,-1719000000.0,-731000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-888000000.0,-1117000000.0,-811000000.0,-1160000000.0,-1424000000.0,-916000000.0,-986000000.0,-1046000000.0,-2195000000.0,-2059000000.0,-55000000.0,0.0,0.0,0.0,0.0,-97000000.0,-72000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-405000000.0
,salesMaturitiesOfInvestments,882000000.0,1111000000.0,805000000.0,1154000000.0,1418000000.0,914000000.0,984000000.0,1043000000.0,2190000000.0,2029000000.0,1228000000.0,712000000.0,775000000.0,743000000.0,596000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-755000000.0,-530000000.0,1460000000.0,-599000000.0,119000000.0,-429000000.0,-277000000.0,-356000000.0,322000000.0,-158000000.0,-1162000000.0,-911000000.0,-972000000.0,-733000000.0,-855000000.0,-45000000.0,-120000000.0,-244000000.0,-119000000.0,-81000000.0,-139000000.0,86000000.0,-13000000.0,-275000000.0,153000000.0,-87000000.0
