date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-226000000.0,137600000.0,159300000.0,702500000.0,343600000.0,796500000.0,678200000.0,375500000.0,255200000.0,142200000.0,67400000.0,-137700000.0,285800000.0,293100000.0,230100000.0,86300000.0,-9300000.0,-10000000.0,-19600000.0,-34700000.0,-74400000.0,165500000.0,185300000.0,103700000.0,137500000.0,113800000.0,89100000.0,76200000.0
,depreciationAndAmortization,266000000.0,283600000.0,251900000.0,295400000.0,283000000.0,266400000.0,244600000.0,211500000.0,193700000.0,192900000.0,189600000.0,160800000.0,140300000.0,118900000.0,87600000.0,88900000.0,87200000.0,85600000.0,90700000.0,66200000.0,89100000.0,80300000.0,72000000.0,78100000.0,87800000.0,75900000.0,58600000.0,56800000.0
,deferredIncomeTax,226000000.0,54800000.0,57900000.0,-337400000.0,321400000.0,116600000.0,-5800000.0,45800000.0,126300000.0,60900000.0,0.0,0.0,251300000.0,59300000.0,75500000.0,18900000.0,-4900000.0,10100000.0,56100000.0,-9100000.0,-45500000.0,13000000.0,4200000.0,8900000.0,-3600000.0,-20200000.0,-29200000.0,-1300000.0
,stockBasedCompensation,26000000.0,29200000.0,29200000.0,31100000.0,41300000.0,61100000.0,53300000.0,44500000.0,27700000.0,23500000.0,15100000.0,13500000.0,18700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1510800000.0,-172300000.0,-1105100000.0,176500000.0,-187500000.0,3300000.0,482300000.0,132100000.0,452300000.0,83900000.0,-58700000.0,208800000.0,-64300000.0,51400000.0,221800000.0,-71800000.0,245200000.0,-12700000.0,520900000.0,-220000000.0,-442600000.0,-24000000.0,-28300000.0,10200000.0,-16100000.0,51400000.0,-33100000.0,-171400000.0
,accountsReceivables,59000000.0,17700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,105000000.0,91300000.0,-122000000.0,32600000.0,273300000.0,128500000.0,-186300000.0,-95600000.0,-117200000.0,-212200000.0,-88700000.0,380100000.0,-25800000.0,-50900000.0,-124000000.0,-45700000.0,-143300000.0,-44700000.0,61900000.0,77300000.0,-24300000.0,43000000.0,-47900000.0,-3200000.0,17900000.0,0.0,-56100000.0,-110900000.0
,accountsPayables,-47000000.0,-10000000.0,92700000.0,19300000.0,-60700000.0,-78600000.0,60700000.0,29000000.0,-16700000.0,73100000.0,53400000.0,-140800000.0,-128300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1071000000.0,439800000.0,612100000.0,1717200000.0,1540700000.0,1728200000.0,1724900000.0,1242600000.0,1110500000.0,658200000.0,574300000.0,633000000.0,424200000.0,488500000.0,437100000.0,215300000.0,287100000.0,41900000.0,54600000.0,-466300000.0,-246300000.0,196300000.0,220300000.0,248600000.0,238400000.0,254500000.0,203100000.0,236200000.0
,otherNonCashItems,0.0,23300000.0,10100000.0,30600000.0,25100000.0,27600000.0,26200000.0,24400000.0,18800000.0,19300000.0,4700000.0,-35600000.0,-26500000.0,14600000.0,7200000.0,0.0,0.0,2600000.0,5200000.0,67800000.0,0.0,0.0,0.0,-6200000.0,-28300000.0,-6700000.0,-6600000.0,2200000.0
,netCashProvidedByOperatingActivites,651000000.0,393600000.0,379100000.0,761600000.0,1090200000.0,939700000.0,819200000.0,662200000.0,527400000.0,104300000.0,163600000.0,659700000.0,419200000.0,344500000.0,130800000.0,170400000.0,-82600000.0,114900000.0,120700000.0,200100000.0,90900000.0,275000000.0,176400000.0,120900000.0,325100000.0,125900000.0,114400000.0,-45600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-894100000.0,-661100000.0,0.0,-198200000.0,-284900000.0,0.0,-133300000.0,-350200000.0,-174000000.0,-208300000.0,-129400000.0,-173500000.0,-133000000.0,-93400000.0,-82800000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,5000000.0,-714000000.0,-73000000.0,-45000000.0,-43000000.0,-48000000.0,0.0,0.0,-51000000.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,6200000.0,300000.0,6800000.0,500000.0,800000.0,0.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,-435700000.0,0.0,-7600000.0,0.0,0.0,0.0,0.0,-82800000.0,-60200000.0,-5600000.0,-27400000.0,-61300000.0,-35700000.0
,netCashUsedForInvestingActivites,-532900000.0,-993300000.0,-412300000.0,-472700000.0,-1022700000.0,-511300000.0,-814700000.0,-818600000.0,-312300000.0,-85000000.0,-307900000.0,-185300000.0,-1000200000.0,-534800000.0,-555800000.0,-388300000.0,62700000.0,-40900000.0,-151100000.0,-110100000.0,-300900000.0,-121900000.0,-112400000.0,-108200000.0,-119900000.0,-60200000.0,-71400000.0,-89200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
