date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-805641000.0,-702885000.0,-640948000.0,-546811000.0,-1029742000.0,-372675000.0,-668675000.0,142982000.0,167034000.0,243679000.0,94695000.0,-85546000.0,551173000.0,930691000.0,1020736000.0,648695000.0,302457000.0,192228000.0,121489000.0,357450000.0,137356000.0,27700000.0,125000000.0,114800000.0,70500000.0,51100000.0,700000.0,34300000.0,33800000.0,27100000.0,14600000.0
,depreciationAndAmortization,853697000.0,876103000.0,868509000.0,845439000.0,874296000.0,970442000.0,1145328000.0,1099741000.0,1055757000.0,927460000.0,767183000.0,669259000.0,668238000.0,555397000.0,420785000.0,369579000.0,326708000.0,266264000.0,226205000.0,221548000.0,152413000.0,99800000.0,84900000.0,66400000.0,46100000.0,31000000.0,19900000.0,18700000.0,14400000.0,8500000.0,4500000.0
,deferredIncomeTax,64717000.0,35894000.0,71579000.0,9096000.0,-206670000.0,-203145000.0,-240195000.0,-103277000.0,-145147000.0,-34739000.0,55964000.0,-218760000.0,61619000.0,-24725000.0,218323000.0,194738000.0,12514000.0,-26099000.0,9100000.0,110772000.0,71639000.0,20400000.0,34700000.0,56100000.0,2600000.0,2600000.0,800000.0,-700000.0,0.0,-200000.0,-1300000.0
,stockBasedCompensation,24638000.0,24660000.0,26396000.0,31896000.0,32000000.0,47313000.0,37190000.0,53255000.0,18312000.0,21244000.0,13746000.0,106725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-8404000.0,-169368000.0,233626000.0,193955000.0,-135493000.0,-705001000.0,-268007000.0,-558069000.0,714723000.0,827202000.0,-1109492000.0,530308000.0,326754000.0,-939516000.0,385644000.0,883194000.0,-535616000.0,298820000.0,21177000.0,44574000.0,-105325000.0,-9600000.0,67100000.0,-27600000.0,-22800000.0,-5900000.0,-13400000.0,-15600000.0,-29500000.0,2000000.0,-8200000.0
,accountsReceivables,67502000.0,276685000.0,-66486000.0,-165353000.0,250400000.0,529151000.0,-126883000.0,-44561000.0,200537000.0,-459455000.0,-249725000.0,450530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,6188000.0,-18695000.0,-13981000.0,-17444000.0,40647000.0,23852000.0,-65398000.0,39412000.0,14447000.0,-114896000.0,-15201000.0,52995000.0,-26774000.0,-28668000.0,-48631000.0,-21704000.0,-4905000.0,-5695000.0,1712000.0,-791000.0,7729000.0,10000000.0,-4700000.0,-3400000.0,-4100000.0,1000000.0,-600000.0,900000.0,-7200000.0,-5300000.0,-800000.0
,accountsPayables,-142826000.0,-142857000.0,-76561000.0,79204000.0,-180200000.0,-566042000.0,267907000.0,113550000.0,-223199000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,22993000.0,592118000.0,761486000.0,527860000.0,333905000.0,469398000.0,1174399000.0,1442406000.0,2000475000.0,1285752000.0,458550000.0,1568042000.0,1037734000.0,710980000.0,1650496000.0,1264852000.0,381658000.0,917274000.0,618454000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-12327000.0,9223000.0,4711000.0,22041000.0,7788000.0,-41496000.0,6600000.0,3842000.0,6202000.0,0.0,0.0,0.0,282164000.0,30176000.0,79888000.0,0.0,0.0,-20346000.0,0.0,0.0,0.0,100000.0,-100000.0,0.0,200000.0,-8400000.0,-2300000.0,-8300000.0,1400000.0,0.0,-1200000.0
,netCashProvidedByOperatingActivites,349761000.0,684558000.0,325773000.0,62756000.0,531905000.0,856556000.0,1781911000.0,1418223000.0,1562705000.0,1456487000.0,1106984000.0,1616972000.0,1446007000.0,1370198000.0,1486258000.0,1029500000.0,563198000.0,395831000.0,372445000.0,694905000.0,220949000.0,128300000.0,281700000.0,165000000.0,84100000.0,73800000.0,36900000.0,28400000.0,10000000.0,30500000.0,6900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1490162000.0,-2014469000.0,-1927407000.0,-907316000.0,-544429000.0,-353406000.0,-316763000.0,-701156000.0,-300637000.0,-82100000.0,-304700000.0,-267900000.0,-146400000.0,-109300000.0,-37400000.0,-29200000.0,-49800000.0,-70800000.0,-23900000.0
,acquisitionsNet,0.0,-3000000.0,-21000000.0,12000000.0,-22000000.0,-80000000.0,-73000000.0,-117000000.0,0.0,-55000000.0,-734000000.0,0.0,0.0,186000000.0,-82000000.0,-46000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-91000.0,-4323000.0,-676000.0,-6722000.0,-24000.0,-9000.0,-319000.0,0.0,-949000.0,-11746000.0,-34147000.0,-32674000.0,-541292000.0,-656418000.0,-1137958000.0,-745743000.0,-746403000.0,-1459041000.0,-745383000.0,-535499000.0,-325286000.0,-25400000.0,-18500000.0,-4800000.0,-11300000.0,-7400000.0,-52400000.0,0.0,0.0,0.0,-5400000.0
,salesMaturitiesOfInvestments,2760000.0,18849000.0,4287000.0,13069000.0,739000.0,961000.0,23992000.0,164510000.0,31944000.0,39063000.0,34613000.0,57033000.0,521613000.0,860385000.0,1325903000.0,749562000.0,838816000.0,1393638000.0,542133000.0,163110000.0,42851000.0,6600000.0,0.0,3700000.0,12500000.0,38900000.0,12600000.0,0.0,4200000.0,5400000.0,5400000.0
