date,,2020-09-27_FY,2019-09-29_FY,2018-09-30_FY,2017-09-24_FY,2016-09-25_FY,2015-09-27_FY,2014-09-28_FY,2013-09-29_FY,2012-09-30_FY,2011-09-25_FY,2010-09-26_FY,2009-09-27_FY,2008-09-28_FY,2007-09-30_FY,2006-09-24_FY,2005-09-25_FY,2004-09-30_FY,2004-09-26_FY,2003-09-30_FY,2003-09-28_FY,2002-09-30_FY,2002-09-29_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5198000000.0,4386000000.0,-4864000000.0,2445000000.0,5705000000.0,5271000000.0,7967000000.0,6853000000.0,6109000000.0,4260000000.0,3247000000.0,1592000000.0,3160000000.0,3303000000.0,2470000000.0,2143000000.0,1720000000.0,1720000000.0,827441000.0,827441000.0,359677000.0,359677000.0,-548743000.0,670211000.0,200879000.0,108532000.0,91934000.0,21000000.0,30200000.0
,depreciationAndAmortization,1393000000.0,1401000000.0,1561000000.0,1461000000.0,1428000000.0,1214000000.0,1150000000.0,1017000000.0,897000000.0,1061000000.0,666000000.0,635000000.0,456000000.0,383000000.0,272000000.0,200000000.0,163000000.0,163000000.0,179694000.0,179694000.0,394257000.0,394257000.0,319811000.0,243842000.0,158429000.0,141892000.0,93598000.0,56800000.0,30900000.0
,deferredIncomeTax,-309000000.0,0.0,4502000000.0,0.0,0.0,0.0,0.0,0.0,395000000.0,0.0,0.0,0.0,0.0,0.0,514000000.0,498000000.0,0.0,0.0,332964000.0,0.0,12394000.0,0.0,29948000.0,481621000.0,-96595000.0,18237000.0,-21531000.0,0.0,-3000000.0
,stockBasedCompensation,1212000000.0,1037000000.0,883000000.0,914000000.0,943000000.0,1026000000.0,1059000000.0,1105000000.0,1035000000.0,824000000.0,612000000.0,584000000.0,541000000.0,0.0,495000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1607000000.0,1682000000.0,-26538000000.0,17016000000.0,-329000000.0,-401000000.0,2058000000.0,3999000000.0,1339000000.0,2339000000.0,-3092000000.0,325000000.0,2869000000.0,936000000.0,-1094000000.0,388000000.0,0.0,1192438000.0,0.0,1874782000.0,0.0,732011000.0,276082000.0,155826000.0,1446250000.0,-326506000.0,556917000.0,-174400000.0,-8300000.0
,accountsReceivables,-1529000000.0,1373000000.0,734000000.0,-1104000000.0,-232000000.0,550000000.0,-281000000.0,-680000000.0,-456000000.0,-140000000.0,-18000000.0,3083000000.0,-653000000.0,0.0,-133000000.0,35000000.0,0.0,-93000000.0,0.0,60318000.0,0.0,-4544000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-1157000000.0,-273000000.0,337000000.0,-200000000.0,-49000000.0,93000000.0,-155000000.0,-300000000.0,-252000000.0,62000000.0,80000000.0,69000000.0,-47000000.0,-234000000.0,-71000000.0,-23000000.0,-50000000.0,-50000000.0,-21303000.0,-21303000.0,11187000.0,11187000.0,-40735000.0,-68776000.0,40102000.0,-161380000.0,-53645000.0,-127500000.0,-28400000.0
,accountsPayables,907000000.0,-443000000.0,-94000000.0,-45000000.0,541000000.0,-908000000.0,619000000.0,307000000.0,371000000.0,-26000000.0,148000000.0,57000000.0,-63000000.0,0.0,51000000.0,57000000.0,0.0,151000000.0,0.0,-12811000.0,0.0,411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-246000000.0,7830000000.0,6148000000.0,32686000000.0,15670000000.0,15999000000.0,16400000000.0,14342000000.0,10343000000.0,9004000000.0,6665000000.0,9757000000.0,9432000000.0,6563000000.0,5627000000.0,6721000000.0,6333000000.0,6333000000.0,5140562000.0,5140562000.0,3265780000.0,3265780000.0,2533769000.0,2257687000.0,2101861000.0,655611000.0,982117000.0,425200000.0,599600000.0
,otherNonCashItems,-142000000.0,2723000000.0,129000000.0,199000000.0,431000000.0,971000000.0,391000000.0,1016000000.0,93000000.0,-845000000.0,209000000.0,952000000.0,650000000.0,366000000.0,10000000.0,-170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,5000000.0,0.0,100000.0,-100000.0
,netCashProvidedByOperatingActivites,5814000000.0,7286000000.0,3895000000.0,5001000000.0,7632000000.0,5506000000.0,8887000000.0,8763000000.0,5998000000.0,4900000000.0,4076000000.0,7172000000.0,3558000000.0,3811000000.0,3253000000.0,2686000000.0,2468000000.0,2481000000.0,1781884000.0,1781884000.0,967967000.0,967967000.0,691491000.0,812112000.0,182233000.0,-24667000.0,-28623000.0,-69800000.0,37700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1407000000.0,-887000000.0,0.0,-690000000.0,-539000000.0,-994000000.0,-1185000000.0,-1048000000.0,0.0,-593000000.0,-426000000.0,-761000000.0,-1397000000.0,-818000000.0,-685000000.0,-576000000.0,-332000000.0,0.0,-238869000.0,0.0,-141578000.0,0.0,-114191000.0,-163182000.0,-180237000.0,-321566000.0,-163115000.0,-216600000.0,-99500000.0
,acquisitionsNet,-185000000.0,-252000000.0,-326000000.0,-1544000000.0,-812000000.0,-2997000000.0,-883000000.0,-192000000.0,-833000000.0,-3130000000.0,-94000000.0,-54000000.0,-298000000.0,0.0,-407000000.0,-249000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-6213000000.0,-1793000000.0,-5985000000.0,-2052000000.0,-3923000000.0,-11246000000.0,-4549000000.0,-4610000000.0,-19520000000.0,-142000000.0,-3016000000.0,-10443000000.0,-7680000000.0,-8492000000.0,-12517000000.0,-8055000000.0,-8593000000.0,-8372000000.0,-4839839000.0,2085000.0,-1942901000.0,-2036000.0,-1484568000.0,-2385822000.0,-858108000.0,-269833000.0,-978745000.0,-587900000.0,-84300000.0
,salesMaturitiesOfInvestments,2499000000.0,139000000.0,9460000000.0,706000000.0,450000000.0,15080000000.0,13587000000.0,13494000000.0,12918000000.0,0.0,0.0,0.0,0.0,7998000000.0,0.0,0.0,5465000000.0,0.0,3440470000.0,0.0,1306775000.0,0.0,1977894000.0,1789681000.0,158036000.0,702376000.0,662862000.0,422100000.0,98400000.0
