Date,2019-06-30,2018-06-30,2017-06-30
Cash and cash equivalents,0.0,0.0,0.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,0.0,0.0,0.0
Receivables,2098663.3803,4027671.8519,1592718.4615
Inventories,744904.2254,856167.4074,798069.2308
Total current assets,24351325.3521,16499578.5185,5600416.1538
Property Plant & Equipment Net,1294728.8732,550061.4815,297984.6154
Goodwill and Intangible Assets,225828.169,0.0,0.0
Long-term investments,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,1520557.0423,550061.4815,297984.6154
Total assets,25871882.3944,17049640.0,5898400.7692
Payables,3967297.1831,2583394.0741,1818256.9231
Short-term debt,0.0,0.0,0.0
Total current liabilities,4425296.4789,2876382.963,1958530.0
Long-term debt,38068.3099,99509.6296,0.0
Total debt,38068.3099,99509.6296,0.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,468120.4225,99509.6296,0.0
Total liabilities,4893416.9014,2975892.5926,1958530.0
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-129403595.7746,-110068799.2593,-101706424.6154
Total shareholders equity,20978465.493,14073747.4074,3939870.7692
Investments,0.0,0.0,0.0
Net Debt,,,
Other Assets,,,
Other Liabilities,457999.2958,292988.8889,140273.0769
