Date,2019-03-30,2018-03-31,2017-05-31,2017-04-01,2016-05-31,2016-04-02,2015-05-31,2015-03-28,2014-05-31,2013-05-31,2012-05-31,2011-05-31,2010-05-31,2009-05-31
Cash and cash equivalents,126634000.0,136616000.0,11384000.0,29009000.0,7659000.0,44721000.0,4995000.0,77257000.0,6031000.0,11838000.0,0.0,6031000.0,16438000.0,94786000.0
Short-term investments,0.0,0.0,371000.0,0.0,1294000.0,0.0,1872000.0,0.0,2738000.0,4000000.0,0.0,50000.0,47000.0,0.0
Cash and short-term investments,126634000.0,136616000.0,11384000.0,29009000.0,7659000.0,44721000.0,4995000.0,77257000.0,6031000.0,15838000.0,0.0,6081000.0,16485000.0,94786000.0
Receivables,57649000.0,41984000.0,12751000.0,11199000.0,15153000.0,11477000.0,15259000.0,9778000.0,21029000.0,13472000.0,0.0,16259000.0,13472000.0,6443000.0
Inventories,122638000.0,98022000.0,12233000.0,8359000.0,11381000.0,8720000.0,9008000.0,6756000.0,11330000.0,8732000.0,0.0,8627000.0,8732000.0,6502000.0
Total current assets,318290000.0,263104000.0,37302000.0,51470000.0,35818000.0,68381000.0,31581000.0,98331000.0,41670000.0,41637000.0,0.0,41670000.0,41637000.0,
Property Plant & Equipment Net,108587000.0,67960000.0,10976000.0,21196000.0,11645000.0,24802000.0,11569000.0,26722000.0,15953000.0,18342000.0,0.0,14042000.0,18342000.0,30598000.0
Goodwill and Intangible Assets,222342000.0,4721000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,7093000.0,0.0,6885000.0,0.0,6677000.0,0.0,1581000.0,1631000.0,0.0,1581000.0,1631000.0,0.0
Tax assets,34058000.0,30290000.0,52000.0,,0.0,,0.0,,0.0,39021000.0,0.0,0.0,0.0,
Total non-current assets,381664000.0,132294000.0,18342000.0,,19160000.0,,18858000.0,,24084000.0,26290000.0,0.0,30718000.0,32382000.0,
Total assets,699954000.0,395398000.0,55644000.0,78856000.0,54978000.0,99099000.0,50439000.0,130713000.0,65754000.0,67927000.0,0.0,65754000.0,67927000.0,168119000.0
Payables,43421000.0,36773000.0,3861000.0,3296000.0,3921000.0,3392000.0,3025000.0,3136000.0,5139000.0,3675000.0,0.0,3050000.0,3675000.0,1853000.0
Short-term debt,129561000.0,30229000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,206303000.0,167114000.0,18385000.0,14681000.0,18031000.0,14716000.0,15117000.0,13688000.0,18247000.0,14207000.0,0.0,18247000.0,14207000.0,15385000.0
Long-term debt,54330000.0,58927000.0,4312000.0,0.0,4312000.0,0.0,4312000.0,0.0,6334000.0,0.0,0.0,6334000.0,0.0,0.0
Total debt,183891000.0,89156000.0,4312000.0,,4312000.0,,4312000.0,,6334000.0,0.0,0.0,0.0,0.0,
Deferred revenue,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Tax Liabilities,643000.0,3294000.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Deposit Liabilities,0.0,0.0,1880000.0,,1521000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Total non-current liabilities,81679000.0,74987000.0,11960000.0,,11814000.0,,11949000.0,,13720000.0,8069000.0,0.0,7344000.0,7318000.0,
Total liabilities,287982000.0,242101000.0,30345000.0,22692000.0,29845000.0,22060000.0,27066000.0,21006000.0,31967000.0,22276000.0,0.0,31967000.0,22276000.0,23377000.0
Other comprehensive income,479226000,-9293000.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
Retained earnings (deficit),-58208000.0,22514000.0,85560000.0,116668000.0,85555000.0,137543000.0,83877000.0,170211000.0,94291000.0,106155000.0,0.0,94291000.0,106155000.0,205246000.0
Total shareholders equity,411972000.0,153297000.0,25299000.0,56164000.0,25133000.0,77039000.0,23373000.0,109707000.0,33787000.0,45651000.0,0.0,33787000.0,45651000.0,144742000.0
Investments,0.0,0.0,7464000.0,0.0,8179000.0,0.0,8549000.0,0.0,4319000.0,5631000.0,0.0,1631000.0,1678000.0,0.0
Net Debt,57257000.0,-47460000.0,-7072000.0,,-3347000.0,,-683000.0,,303000.0,-11838000.0,0.0,-44721000.0,-77257000.0,
Other Assets,0.0,-13518000.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,3463000.0,4540000.0,
Other Liabilities,0.0,100112000.0,0.0,11385000.0,0.0,11324000.0,0.0,10552000.0,0.0,0.0,0.0,15197000.0,10532000.0,13532000.0
