date,,2021-01-31_FY,2020-02-02_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY
,revenue,1684179000.0,1643440000.0,1643440000.0,1359824000.0,1023019000.0,727977000.0,440333000.0,174451000.0,42733000.0
,costOfRevenue,535255000.0,509886000.0,509886000.0,457528000.0,353781000.0,252279000.0,167893000.0,77552000.0,24129000.0
,grossProfit,1148924000.0,1133554000.0,1133554000.0,902296000.0,669238000.0,475698000.0,272440000.0,96899000.0,18604000.0
,grossProfitRatio,0.682186394676575,0.689744681886774,0.689744681886774,0.663538810904941,0.654179443392547,0.653451963454889,0.618713564506862,0.555451100882196,0.435354409940795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,480467000.0,433662000.0,433662000.0,349936000.0,279196000.0,245817000.0,166645000.0,92707000.0,36081000.0
,GeneralAndAdministrativeExpenses,182477000.0,163153000.0,163153000.0,137506000.0,95170000.0,84652000.0,75402000.0,32354000.0,5902000.0
,SellingAndMarketingExpenses,716014000.0,728022000.0,728022000.0,584111000.0,480030000.0,360035000.0,240574000.0,152320000.0,54750000.0
,otherExpenses,2327000.0,-3383000.0,669000.0,-8016000.0,11445000.0,1627000.0,-2002000.0,-1412000.0,-141000.0
,operatingExpenses,1378958000.0,1324837000.0,1324837000.0,1071553000.0,854396000.0,690504000.0,482621000.0,0.0,0.0
,costAndExpenses,1914213000.0,1834723000.0,1834723000.0,1529081000.0,1208177000.0,942783000.0,650514000.0,354933000.0,120862000.0
,interestExpense,31403000.0,27897000.0,26062000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,70042000.0,89710000.0,89710000.0,70878000.0,61744000.0,50203000.0,32254000.0,15392000.0,4431000.0
,EBITDA,-159992000.0,-101573000.0,-101573000.0,-98379000.0,-123414000.0,-164603000.0,-177927000.0,-165090000.0,-73698000.0
,EBITDARatio,-0.0949970282256221,-0.0618051160979409,-0.0618051160979409,-0.0723468625351516,-0.120637055616758,-0.226110165568418,-0.404073735105023,-0.946340233074044,-1.72461563662743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-230034000.0,-191283000.0,-191283000.0,-169257000.0,-185158000.0,-214806000.0,-210181000.0,-180482000.0,-78129000.0
,operatingIncomeRatio,-0.13658524420504,-0.11639183663535,-0.11639183663535,-0.12446978432503,-0.180991750886347,-0.295072509158943,-0.477322844301926,-1.03457131228826,-1.82830599302647
,totalOtherIncomeExpensesNet,-26166000.0,669000.0,-2727000.0,-8016000.0,11445000.0,-28373000.0,-2002000.0,-1412000.0,-141000.0
,incomeBeforeTax,-270160000.0,-194666000.0,-194666000.0,-177273000.0,-173713000.0,-243179000.0,-212183000.0,-181894000.0,-78270000.0
,incomeBeforeTaxRatio,-0.160410502684097,-0.11845032371124,-0.11845032371124,-0.130364664838979,-0.169804275384915,-0.334047641615051,-0.481869403383348,-1.04266527563614,-1.83160555074533
,incomeTaxExpense,11916000.0,6321000.0,6321000.0,1089000.0,3889000.0,1887000.0,1569000.0,1337000.0,291000.0
,netIncome,-282076000.0,-200987000.0,-200987000.0,-178362000.0,-177602000.0,-245066000.0,-213752000.0,-183231000.0,-78561000.0
,netIncomeRatio,-0.167485760124072,-0.12229652436353,-0.12229652436353,-0.131165503771076,-0.173605768807813,-0.336639756475823,-0.485432615770337,-1.05032931883452,-1.8384152762502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.05,-0.79498,-0.79,-0.77,-0.84,-1.26,-2.59,-1.26,-0.505427
,EPSDiluted,-1.05,-0.79498,-0.79,-0.77,-0.84,-1.26,-2.59,-1.26,-0.505427
,weightedAverageShsOut,267824000.0,252820000.0,252820000.0,232042000.0,211609000.0,194714000.0,82460000.0,145719000.0,155435000.0
,weightedAverageShsOutDil,267824000.0,252820000.0,252820000.0,232042000.0,211609000.0,194714000.0,82460000.0,145719000.0,155435000.0
