Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,496000000.0,897000000.0,1185000000.0,1410000000.0,1298000000.0
Stock-based compensation,1000000.0,1000000.0,12000000.0,35000000.0,16000000.0
Operating Cash Flow,101000000.0,-415000000.0,985000000.0,434000000.0,353000000.0
Capital Expenditure,-264000000.0,-213000000.0,-236000000.0,-305000000.0,-1210000000.0
Acquisitions and disposals,000000.0,000000.0,-5000000.0,000000.0,-19000000.0
Investment purchases and sales,-3000000,45000000,25000000,-208000000,-51000000
Investing Cash flow,-233000000.0,-398000000.0,1413000000.0,-316000000.0,-671000000.0
Issuance (repayment) of debt,-1533000000.0,-2912000000.0,-10484000000.0,-9581000000.0,-8649000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,30000000.0,29000000.0,-2250000000.0,-183000000.0,-629000000.0
Effect of forex changes on cash,-26000000.0,50000000.0,23000000.0,28000000.0,-32000000.0
Net cash flow / Change in cash,-129000000.0,-734000000.0,172000000.0,-36000000.0,-979000000.0
Free Cash Flow,-164000000.0,-629000000.0,749000000.0,129000000.0,-857000000.0
Net Cash/Marketcap,,,,,
