Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,18000000.0,12000000.0,7000000.0,135000000.0,148000000.0
Stock-based compensation,,,,,
Operating Cash Flow,226000000.0,138000000.0,254000000.0,154000000.0,144000000.0
Capital Expenditure,-14000000.0,-14000000.0,-13000000.0,-8000000.0,-10000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,-230000000,-77000000,-68000000,-114000000,-207000000
Investing Cash flow,-31000000.0,-284000000.0,-156000000.0,-13000000.0,-98000000.0
Issuance (repayment) of debt,-42000000.0,-148000000.0,-124000000.0,-5000000.0,-135000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-96000000.0,113000000.0,-231000000.0,-152000000.0,-32000000.0
Effect of forex changes on cash,000000.0,000000.0,000000.0,-2000000.0,-2000000.0
Net cash flow / Change in cash,98000000.0,-34000000.0,-133000000.0,-14000000.0,14000000.0
Free Cash Flow,212000000.0,124000000.0,241000000.0,146000000.0,135000000.0
Net Cash/Marketcap,,,,,
