date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1998-07-31_FY,1997-07-31_FY,1996-07-31_FY,1995-07-31_FY,1994-07-31_FY,1993-07-31_FY,1992-07-31_FY,1991-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,106579000.0,164618000.0,153206000.0,143892000.0,60127000.0,60710000.0,85166000.0,83846000.0,80359000.0,77782000.0,57658000.0,49764000.0,-21536000.0,35288000.0,31744000.0,25383000.0,20706000.0,14975000.0,10940000.0,7870000.0,2615000.0,6478000.0,2600000.0,3800000.0,2300000.0,1400000.0,1100000.0,1100000.0,1000000.0,700000.0,0.0
,depreciationAndAmortization,42105000.0,41904000.0,42961000.0,55233000.0,31865000.0,17939000.0,17476000.0,15361000.0,12975000.0,11026000.0,10513000.0,11112000.0,12122000.0,11074000.0,8041000.0,5804000.0,4173000.0,3019000.0,2548000.0,3813000.0,4483000.0,3090000.0,1000000.0,1700000.0,1400000.0,1100000.0,1000000.0,700000.0,600000.0,200000.0,100000.0
,deferredIncomeTax,14476000.0,7008000.0,7427000.0,-14497000.0,11912000.0,-430000.0,1128000.0,-7928000.0,3242000.0,1200000.0,1845000.0,16076000.0,9825000.0,4115000.0,-1868000.0,695000.0,2142000.0,-472000.0,1579000.0,-107000.0,0.0,0.0,0.0,1200000.0,100000.0,500000.0,700000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2914000.0,8680000.0,5786000.0,3069000.0,4174000.0,429000.0,1979000.0,553000.0,1300000.0,742000.0,1006000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-119928000.0,-118760000.0,-64779000.0,-26881000.0,469248000.0,13943000.0,23855000.0,31181000.0,35207000.0,4697000.0,69081000.0,3256000.0,-23711000.0,28097000.0,147000.0,13521000.0,19145000.0,13653000.0,38647000.0,-33295000.0,-15090000.0,17525000.0,7400000.0,8400000.0,2500000.0,4000000.0,2900000.0,10400000.0,8700000.0,-8700000.0,-500000.0
,accountsReceivables,5474000.0,110000.0,-432000.0,-1411000.0,1776000.0,-100000.0,-116000.0,-1371000.0,-3245000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,29174000.0,5842000.0,3321000.0,16193000.0,-4619000.0,-1404000.0,-1364000.0,-1200000.0,-2777000.0,445000.0,-3875000.0,-7144000.0,4603000.0,-2736000.0,-1936000.0,-1563000.0,-720000.0,-1940000.0,-967000.0,4687000.0,1568000.0,-3354000.0,-4100000.0,-1600000.0,-1200000.0,-900000.0,-1300000.0,-1600000.0,-1400000.0,-1000000.0,-300000.0
,accountsPayables,8621000.0,-3383000.0,3077000.0,-35135000.0,-16335000.0,4350000.0,1272000.0,5586000.0,-1135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,418159000.0,538087000.0,656847000.0,721626000.0,748507000.0,279259000.0,265316000.0,241461000.0,210280000.0,175073000.0,170376000.0,101295000.0,98039000.0,121750000.0,93653000.0,93506000.0,79985000.0,60840000.0,47187000.0,8540000.0,41835000.0,56925000.0,39400000.0,32000000.0,23600000.0,21100000.0,17100000.0,14200000.0,3800000.0,-4900000.0,3800000.0
,otherNonCashItems,1649000.0,1430000.0,1661000.0,862000.0,-104000.0,943000.0,902000.0,0.0,0.0,156000.0,1914000.0,-106000.0,40533000.0,43852000.0,10503000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,200000.0
,netCashProvidedByOperatingActivites,222264000.0,231596000.0,243429000.0,220357000.0,96854000.0,92749000.0,97679000.0,106718000.0,88792000.0,80375000.0,73645000.0,79986000.0,57549000.0,15723000.0,36553000.0,42095000.0,44128000.0,16098000.0,13797000.0,19771000.0,14628000.0,4314000.0,1500000.0,2500000.0,2800000.0,2000000.0,2400000.0,-3000000.0,600000.0,500000.0,-200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-83045000.0,-118972000.0,-55673000.0,-37135000.0,-33863000.0,-21073000.0,-23954000.0,-26672000.0,-21841000.0,-28974000.0,-18385000.0,-15376000.0,-20200000.0,-23989000.0,-14716000.0,-11993000.0,-7131000.0,-5202000.0,-4264000.0,-1891000.0,-2055000.0,-3282000.0,-1000000.0,-13000000.0,-1200000.0,-1300000.0,-1100000.0,-2900000.0,-700000.0,-900000.0,-1000000.0
,acquisitionsNet,-44000000.0,-52000000.0,-114000000.0,-2000000.0,-38000000.0,-47000000.0,-59000000.0,-114000000.0,-121000000.0,-8000000.0,-6000000.0,-1000000.0,-4000000.0,0.0,-24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1100000.0,0.0,-200000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,62084000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,107008000.0,34406000.0,10125000.0,40735000.0,-16072000.0,-3716000.0,-2470000.0,-411000.0,-17325000.0,14649000.0,-23648000.0,4277000.0,-10414000.0,-13999000.0,-11900000.0,-4806000.0,-17993000.0,-4746000.0,-4036000.0,-3985000.0,-1743000.0,-3587000.0,0.0,-1000000.0,-3200000.0,-6000000.0,-2900000.0,-1200000.0,-800000.0,-4900000.0,0.0
