Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,39802000.0,70014000.0,91076000.0,32507000.0,77625000.0,25105000.0,21189000.0,7635000.0
Short-term investments,0.0,0.0,0.0,0.0,5802000.0,79958000.0,0.0,0.0
Cash and short-term investments,39802000.0,70014000.0,91076000.0,32507000.0,83427000.0,105063000.0,21189000.0,7635000.0
Receivables,1463000.0,3433000.0,2401000.0,920000.0,695000.0,259000.0,249000.0,72000.0
Inventories,8481000.0,11841000.0,10587000.0,11261000.0,9845000.0,7081000.0,5753000.0,4965000.0
Total current assets,55557000.0,100984000.0,113738000.0,49741000.0,99156000.0,121293000.0,37753000.0,17671000.0
Property, Plant & Equipment Net,3652000.0,920000.0,1071000.0,2209000.0,3664000.0,3002000.0,1792000.0,1902000.0
Goodwill and Intangible Assets,38059000.0,900000.0,905000.0,922000.0,939000.0,956000.0,0.0,0.0
Long-term investments,5188000.0,5262000.0,1849000.0,1963000.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,48030000.0,7753000.0,4463000.0,5752000.0,5311000.0,4598000.0,2085000.0,1969000.0
Total assets,103587000.0,108737000.0,118201000.0,55493000.0,104467000.0,125891000.0,39838000.0,19640000.0
Payables,19050000.0,22430000.0,22523000.0,29351000.0,25236000.0,18677000.0,9150000.0,5130000.0
Short-term debt,51922000.0,0.0,0.0,0.0,0.0,0.0,7788000.0,0.0
Total current liabilities,110236000.0,53267000.0,52365000.0,57616000.0,61284000.0,44500000.0,36847000.0,17202000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,51922000.0,0.0,0.0,0.0,0.0,0.0,7788000.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total liabilities,111392000.0,53267000.0,52365000.0,57616000.0,61284000.0,44500000.0,36847000.0,17202000.0
Other comprehensive income,-932000.0,-199000.0,-579000.0,-309000.0,-131000.0,-119000.0,-30000.0,-22000.0
Retained earnings (deficit),-218887000.0,-159286000.0,-149738000.0,-141015000.0,-101608000.0,-71621000.0,-65181000.0,-57980000.0
Total shareholders equity,-7800000.0,55470000.0,65836000.0,-2123000.0,43183000.0,81391000.0,-38480000.0,-36062000.0
Investments,5188000.0,5262000.0,1849000.0,1963000.0,5802000.0,79958000.0,0.0,0.0
Net Debt,12120000.0,,,,,,,
Other Assets,5811000.0,,,,,,,
Other Liabilities,39264000.0,30837000.0,29842000.0,28265000.0,36048000.0,25823000.0,19909000.0,12072000.0
