date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,228753000.0,575196000.0,340046000.0,167682000.0,23946000.0,-37853000.0
,depreciationAndAmortization,27129000.0,17215000.0,6216000.0,3717000.0,2399000.0,285000.0
,deferredIncomeTax,-10442000.0,-27800000.0,-32895000.0,-18962000.0,-18468000.0,-3208000.0
,stockBasedCompensation,65154000.0,55128000.0,134709000.0,62787000.0,57735000.0,55991000.0
,changeInWorkingCapital,-209967000.0,-249694000.0,259708000.0,26237000.0,-51212000.0,-21982000.0
,accountsReceivables,-131215000.0,-130015000.0,-26058000.0,-13158000.0,2218000.0,-17770000.0
,inventory,-410691000.0,-432983000.0,-234887000.0,-57609000.0,-103464000.0,-52822000.0
,accountsPayables,-9761000.0,935845000.0,356324000.0,181628000.0,271999000.0,164044000.0
,otherWorkingCapital,33501000.0,93519000.0,43419000.0,9273000.0,5885000.0,-3208000.0
,otherNonCashItems,48191000.0,27683000.0,295000.0,0.0,57735000.0,55991000.0
,netCashProvidedByOperatingActivites,157302000.0,427999000.0,707605000.0,238336000.0,17266000.0,-6767000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-83554000.0,-34276000.0,-17136000.0,-21454000.0,-10274000.0,-2915000.0
,acquisitionsNet,-34414000.0,0.0,0.0,2323000.0,0.0,0.0
,purchasesOfInvestments,-294286000.0,-180927000.0,-536182000.0,-30116000.0,-71819000.0,-2000000.0
,salesMaturitiesOfInvestments,207065000.0,107430000.0,288771000.0,25147000.0,0.0,0.0
,otherInvestingActivites,-1691000.0,-4930000.0,-60294000.0,-14781000.0,-17294000.0,4000.0
,netCashUsedForInvestingActivites,-206880000.0,-112703000.0,-324841000.0,-38881000.0,-99387000.0,-4911000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-643122000.0,-20000000.0,-33221000.0,-10000000.0,0.0,0.0
,commonStockIssued,0.0,49214000.0,657062000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-8157000.0,0.0,0.0,-19467000.0
,dividendsPaid,0.0,-4538000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,1207793000.0,933000.0,23486000.0,30089000.0,10024000.0,233530000.0
,netCashUsedProvidedByFinancingActivities,564671000.0,25609000.0,639170000.0,20089000.0,10024000.0,214063000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-43334000.0,11274000.0,60357000.0,-3175000.0,5262000.0,10226000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,471759000.0,352179000.0,1082291000.0,216369000.0,-66835000.0,212611000.0
,cashAtEndOfPeriod,2275750000.0,1803991000.0,1451812000.0,369521000.0,153152000.0,219987000.0
,cashAtBeginningOfPeriod,1803991000.0,1451812000.0,369521000.0,153152000.0,219987000.0,7376000.0
,operatingCashFlow,157302000.0,427999000.0,707605000.0,238336000.0,17266000.0,-6767000.0
,capitalExpenditure,-84774000.0,-46121000.0,-69153000.0,-21542000.0,-11497000.0,-2915000.0
,freeCashFlow,72528000.0,381878000.0,638452000.0,216794000.0,5769000.0,-9682000.0
