Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,461774095.5137,1136118500.6046,83699928.0058
Short-term investments,745977279.3054,0.0,0.0
Cash and short-term investments,1207751374.8191,1136118500.6046,83699928.0058
Receivables,123378292.33,12024788.3918,241900.6479
Inventories,212046164.9783,13522370.0121,0.0
Total current assets,1761162373.3719,1256046704.9577,125993808.4953
Property Plant & Equipment Net,702338205.4993,288847188.6336,119942980.5616
Goodwill and Intangible Assets,31422865.4124,673669.8912,913606.9114
Long-term investments,26314182.3444,9283252.7207,2208063.3549
Tax assets,0.0,0.0,0.0
Total non-current assets,965690303.9074,326183343.4099,128934629.2297
Total assets,2726852677.2793,1582230048.3676,254928437.725
Payables,447110853.835,41426844.0145,3000287.977
Short-term debt,299399710.5644,4351118.5006,0.0
Total current liabilities,1243615918.958,244636336.1548,104616990.6407
Long-term debt,169032127.3517,97098095.526,5399568.0346
Total debt,468431837.9161,101449214.0266,5399568.0346
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,7426483.3575,4542775.0907,2938084.9532
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,303737192.4747,118427146.312,14211519.0785
Total liabilities,1547353111.4327,363063482.4667,118828509.7192
Other comprehensive income,-5022865.4124,-2104292.6239,15903815.6947
Retained earnings (deficit),-5070884225.7598,-1770246070.133,-587033117.3506
Total shareholders equity,989441534.0087,-1753792170.4958,-562242908.5673
Investments,772291461.6498,9283252.7207,2208063.3549
Net Debt,,,
Other Assets,225824167.8726,,
Other Liabilities,497105354.5586,198858373.6397,101616702.6637
