date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3343000000.0,2909000000.0,2024000000.0,2244000000.0,2110000000.0,2244000000.0,1996000000.0,1888000000.0,1866000000.0,1840000000.0,1935000000.0,1672000000.0,2578000000.0,1283000000.0,871000000.0,417000000.0,365000000.0,-641000000.0,-763000000.0,141000000.0,404000000.0,864000000.0
,depreciationAndAmortization,605000000.0,568000000.0,550000000.0,515000000.0,489000000.0,439000000.0,445000000.0,455000000.0,447000000.0,420000000.0,402000000.0,390000000.0,372000000.0,373000000.0,444000000.0,434000000.0,393000000.0,364000000.0,729000000.0,694000000.0,724000000.0,761000000.0
,deferredIncomeTax,-28000000.0,-24000000.0,252000000.0,133000000.0,-42000000.0,-60000000.0,68000000.0,94000000.0,376000000.0,345000000.0,269000000.0,574000000.0,182000000.0,184000000.0,28000000.0,-5000000.0,94000000.0,43000000.0,-216000000.0,14000000.0,350000000.0,0.0
,stockBasedCompensation,184000000.0,165000000.0,173000000.0,151000000.0,140000000.0,148000000.0,129000000.0,122000000.0,102000000.0,128000000.0,127000000.0,-9000000.0,-34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,393000000.0,-164000000.0,-266000000.0,-1000000.0,-288000000.0,-578000000.0,-153000000.0,-643000000.0,-761000000.0,-820000000.0,-63000000.0,-617000000.0,-1031000000.0,700000000.0,766000000.0,728000000.0,972000000.0,1077000000.0,324000000.0,-111000000.0,-1772000000.0,-664000000.0
,accountsReceivables,296000000.0,-327000000.0,-157000000.0,-185000000.0,-181000000.0,-33000000.0,197000000.0,-219000000.0,70000000.0,36000000.0,46000000.0,68000000.0,28000000.0,49000000.0,52000000.0,6000000.0,193000000.0,-20000000.0,24000000.0,346000000.0,-233000000.0,438000000.0
,inventory,87000000.0,-166000000.0,14000000.0,-23000000.0,-223000000.0,-50000000.0,18000000.0,-37000000.0,36000000.0,-10000000.0,-6000000.0,62000000.0,-12000000.0,36000000.0,24000000.0,179000000.0,110000000.0,10000000.0,-266000000.0,42000000.0,-239000000.0,126000000.0
,accountsPayables,-168000000.0,406000000.0,-94000000.0,152000000.0,107000000.0,54000000.0,-171000000.0,-159000000.0,-41000000.0,139000000.0,198000000.0,-24000000.0,232000000.0,106000000.0,93000000.0,39000000.0,26000000.0,-105000000.0,162000000.0,462000000.0,530000000.0,-246000000.0
,otherWorkingCapital,3291000000.0,3848000000.0,3978000000.0,4251000000.0,3686000000.0,4362000000.0,4006000000.0,3344000000.0,3179000000.0,2862000000.0,2345000000.0,2268000000.0,2828000000.0,2802000000.0,1667000000.0,1480000000.0,2736000000.0,2083000000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,181000000.0,166000000.0,208000000.0,-8000000.0,93000000.0,125000000.0,5000000.0,151000000.0,149000000.0,118000000.0,141000000.0,-4000000.0,-903000000.0,379000000.0,335000000.0,475000000.0,-425000000.0,-1200000000.0,-709000000.0,-135000000.0,-23000000.0,-141000000.0
,netCashProvidedByOperatingActivites,4480000000.0,3428000000.0,2745000000.0,2852000000.0,2359000000.0,2184000000.0,2378000000.0,1957000000.0,2107000000.0,1942000000.0,2725000000.0,2015000000.0,1198000000.0,2743000000.0,2515000000.0,2071000000.0,1569000000.0,1039000000.0,133000000.0,960000000.0,-317000000.0,820000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-942000000.0,-763000000.0,-543000000.0,-561000000.0,-406000000.0,-326000000.0,-280000000.0,-339000000.0,-340000000.0,-319000000.0,-280000000.0,-304000000.0,-313000000.0,-295000000.0,-338000000.0,-363000000.0,-428000000.0,-458000000.0,-641000000.0,-431000000.0,-532000000.0,-509000000.0
,acquisitionsNet,0.0,0.0,-93000000.0,-57000000.0,-1954000000.0,-427000000.0,-9000000.0,-301000000.0,-645000000.0,-152000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-93000000.0,-85000000.0,-96000000.0,-99000000.0,-90000000.0,-1075000000.0,-825000000.0,-1250000000.0,-1450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,309000000.0,517000000.0,1184000000.0,1793000000.0,1523000000.0,779000000.0,505000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,26000000.0,-613000000.0,-417000000.0,-1078000000.0,-2002000000.0,112000000.0,-563000000.0,1184000000.0,1386000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1003000000.0,-521000000.0,-817000000.0,53000000.0,-1744000000.0,-1322000000.0,-473000000.0,-1523000000.0,-1051000000.0,-535000000.0,-692000000.0,-417000000.0,2507000000.0,-451000000.0,-436000000.0,-532000000.0,-243000000.0,-719000000.0,-47000000.0,-213000000.0,-400000000.0,791000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-591000000.0,0.0,0.0,0.0,0.0,-970000000.0,0.0,-678000000.0,-474000000.0,0.0,-1724000000.0,0.0,-671000000.0,-1763000000.0,-125000000.0,-1294000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000000.0,241000000.0,169000000.0,68000000.0,92000000.0,13000000.0,75000000.0,0.0,0.0,0.0,0.0
