Date,2018-03,2017-03,2016-03,2015-03,2014-03
Revenue,4235000000.0,4036000000.0,4025000000.0,4262000000.0,4515000000.0
Revenue Growth,,,,,
Cost of Revenue,600000000.0,573000000.0,583000000.0,635000000.0,656000000.0
Gross Profit,3635000000.0,3463000000.0,3442000000.0,3627000000.0,3859000000.0
R&D Expenses,642000000.0,586000000.0,560000000.0,603000000.0,587000000.0
SG&A Expense,1467000000.0,1403000000.0,1373000000.0,1437000000.0,1545000000.0
Operating Expenses,2487000000.0,2309000000.0,2295000000.0,2442000000.0,2558000000.0
Operating Income,1148000000.0,1154000000.0,1147000000.0,1185000000.0,1301000000.0
Interest Expense,98000000.0,62000000.0,51000000.0,47000000.0,54000000.0
Earnings before Tax,1021000000.0,1073000000.0,1084000000.0,1115000000.0,1039000000.0
Income Tax Expense,545000000.0,298000000.0,315000000.0,305000000.0,140000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,476000000.0,775000000.0,783000000.0,846000000.0,914000000.0
Preferred Dividends,,,,,
Net Income Com,476000000.0,775000000.0,783000000.0,846000000.0,914000000.0
EPS,1.14,1.85,1.82,1.91,2.03
EPS Diluted,1.13,1.85,1.81,1.90,2.02
Weighted Average Shs Out,414000000.0,414000000.0,426000000.0,439000000.0,446000000.0
Weighted Average Shs Out (Dil),415000000.0,415000000.0,427000000.0,441000000.0,448000000.0
Dividend per Share,,,,,
Gross Margin,0.85832349468713,0.85802775024777,0.85515527950311,0.85100891600188,0.8547065337763
EBITDA Margin,0.35348288075561,0.36050545094153,0.37192546583851,0.36696386672924,0.33643410852713
EBIT Margin,0.2642266824085,0.28121902874133,0.28546583850932,0.28108869075551,0.24540420819491
Profit Margin,0.11239669421488,0.19202180376611,0.19453416149068,0.1984983575786,0.20243632336656
Free Cash Flow margin,,,,,
EBITDA,1497000000.0,1455000000.0,1497000000.0,1564000000.0,1519000000.0
EBIT,1119000000,1135000000,1149000000,1198000000,1108000000
Consolidated Income,476000000.0,775000000.0,783000000.0,846000000.0,914000000.0
Earnings Before Tax Margin,0.24108618654073,0.26585728444004,0.26931677018634,0.261614265603,0.23012181616833
Net Profit Margin,0.11239669421488,0.19202180376611,0.19453416149068,0.1984983575786,0.20243632336656
