date,,2020-12-31_FY,2019-12-31_FY,2019-09-30_FY,2019-06-30_FY,2019-03-31_FY,2018-12-31_FY,2018-09-30_FY,2018-06-30_FY,2018-03-31_FY,2017-12-31_FY,2017-09-30_FY,2017-06-30_FY,2017-03-31_FY,2016-12-31_FY,2016-09-30_FY,2016-06-30_FY,2016-03-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-09-30_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2012-09-30_FY,2012-06-30_FY,2012-03-31_FY,2011-12-31_FY,2011-09-30_FY,2011-06-30_FY,2011-03-31_FY,2010-12-31_FY,2010-09-30_FY,2010-06-30_FY,2010-03-31_FY,2009-12-31_FY,2009-09-30_FY,2009-06-30_FY,2009-03-31_FY,2008-12-31_FY,2008-09-30_FY,2008-06-30_FY,2008-03-31_FY,2007-12-31_FY,2007-09-30_FY,2007-06-30_FY,2007-03-31_FY,2006-12-31_FY,2006-09-30_FY,2006-06-30_FY,2006-03-31_FY,2005-12-31_FY,2005-09-30_FY,2005-06-30_FY,2005-03-31_FY,2004-12-31_FY,2004-09-30_FY,2004-06-30_FY,2004-03-31_FY,2003-12-31_FY,2003-09-30_FY,2003-06-30_FY,2003-03-31_FY,2002-12-31_FY,2002-09-30_FY,2002-06-30_FY,2002-03-31_FY,2001-12-31_FY,2001-09-30_FY,2001-06-30_FY,2001-03-31_FY,2000-12-31_FY,2000-09-30_FY,2000-06-30_FY,2000-03-31_FY,1999-12-31_FY,1999-09-30_FY,1999-06-30_FY,1999-03-31_FY,1998-12-31_FY,1998-09-30_FY,1998-06-30_FY,1998-03-31_FY,1997-12-31_FY,1997-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netCashUsedForInvestingActivites,0.0,-36674000000.0,-23756000000.0,-19979000000.0,-3231000000.0,-19833000000.0,-9926000000.0,-5075000000.0,-1398000000.0,-11394000000.0,-10610000000.0,-8219000000.0,-1325000000.0,-8557000000.0,-6060000000.0,-5878000000.0,-3935000000.0,-11064000000.0,-9119000000.0,-3065000000.0,-2603000000.0,-9596000000.0,-4470000000.0,-1604000000.0,-1965000000.0,-4041000000.0,-1754000000.0,-2328000000.0,-916000000.0,-4562000000.0,-1917000000.0,-1227000000.0,-422000000.0,-2977000000.0,-2613000000.0,-1571000000.0,-708000000.0,-1904000000.0,-881000000.0,-700000000.0,-732000000.0,-2386000000.0,-391000000.0,-253000000.0,-385000000.0,-765000000.0,-1477000000.0,-1496000000.0,-639000000.0,-7398000000.0,-2958000000.0,-2176000000.0,-61000000.0,-9137000000.0,-3222000000.0,-2288000000.0,-792000000.0,-1296000000.0,-988000000.0,-1302000000.0,-105000000.0,-2581000000.0,-1755000000.0,-609000000.0,-462000000.0,-874000000.0,-773000000.0,-591000000.0,-397000000.0,-862726882.888376,-881200000.0,-626000000.0,-259100000.0,-182985024.937499,-189900000.0,84800000.0,348900000.0,194025883.294431,51000000.0,33400000.0,150800000.0,-164821054.593912,-75900000.0,60300000.0,-78700000.0,-474848999.155131,-468900000.0,-91800000.0,-93000000.0,100900663.172607,77700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-44015000000.0,0.0,0.0,0.0,-28346000000.0,0.0,0.0,0.0,-22070000000.0,0.0,0.0,0.0,-20776000000.0,0.0,0.0,0.0,-12750000000.0,0.0,0.0,0.0,-11929000000.0,0.0,0.0,0.0,-10288000000.0,0.0,0.0,0.0,-7642000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-674000000.0,0.0,0.0,0.0,-1069000000.0,0.0,0.0,0.0,-1522000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,13000000.0,0.0,0.0,0.0,11000000.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,14000000.0,0.0,0.0,0.0,1346000000.0,0.0,0.0,0.0,108000000.0,0.0,0.0,0.0,85000000.0,0.0,0.0,0.0,54000000.0,0.0,0.0,0.0,406000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181000000.0,0.0,0.0,0.0,1328000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264000000.0,0.0,0.0,0.0,533000000.0,0.0,0.0,0.0,318899044.660836,0.0,0.0,0.0,268977987.788791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998915.302452,0.0,0.0,0.0,34205224.540196,0.0,0.0,0.0,7992132.075472,0.0
,commonStockRepurchased,0.0,-283000000.0,-124000000.0,-102000000.0,-44000000.0,-406000000.0,-202000000.0,-204000000.0,-206000000.0,-131000000.0,185000000.0,-60000000.0,-57000000.0,-154000000.0,-88000000.0,-89000000.0,-86000000.0,-424000000.0,915000000.0,1036000000.0,-133000000.0,-331000000.0,206000000.0,436000000.0,152000000.0,-388000000.0,-143000000.0,-67000000.0,-223000000.0,-612000000.0,477000000.0,216000000.0,202000000.0,0.0,639000000.0,706000000.0,698000000.0,0.0,780000000.0,774000000.0,765000000.0,-4000000.0,516000000.0,268000000.0,0.0,-266000000.0,-63000000.0,93000000.0,-56000000.0,-221000000.0,-162000000.0,-105000000.0,-109000000.0,0.0,10000000.0,5000000.0,-3000000.0,-404000000.0,-12000000.0,-12000000.0,-11000000.0,-52000000.0,-19000000.0,124000000.0,-17000000.0,-224000000.0,111000000.0,127000000.0,58000000.0,-451856953.840095,19800000.0,5700000.0,-72800000.0,-172985843.415118,111900000.0,-14300000.0,-132900000.0,-61008138.712904,-55100000.0,0.0,0.0,0.0,700000.0,36900000.0,1300000.0,0.0,30100000.0,18800000.0,16100000.0,0.0,5800000.0
,dividendsPaid,0.0,-772000000.0,-572000000.0,-381000000.0,-190000000.0,-726000000.0,-545000000.0,-363000000.0,-181000000.0,-685000000.0,-536000000.0,-341000000.0,-171000000.0,-633000000.0,-475000000.0,-317000000.0,-158000000.0,-584000000.0,-436000000.0,-289000000.0,-139000000.0,-542000000.0,-406000000.0,-266000000.0,-130000000.0,-541000000.0,-380000000.0,-250000000.0,-123000000.0,-469000000.0,-348000000.0,-230000000.0,-110000000.0,-1064000000.0,-315000000.0,-210000000.0,-103000000.0,-817000000.0,-277000000.0,-184000000.0,-91000000.0,-341000000.0,-429000000.0,-145000000.0,-83000000.0,-342000000.0,0.0,-169000000.0,-81000000.0,-316000000.0,0.0,-148000000.0,-71000000.0,-258000000.0,0.0,-118000000.0,-48000000.0,0.0,0.0,-92000000.0,-44000000.0,-338000000.0,0.0,-78000000.0,-39000000.0,-184000000.0,-138000000.0,-91000000.0,-43000000.0,-155950629.799722,-113400000.0,-73100000.0,-35100000.0,-137988707.772711,-106000000.0,-71100000.0,-36000000.0,-142018945.64855,-108100000.0,-72300000.0,-36500000.0,-149837322.295333,-104700000.0,-69100000.0,-34400000.0,-138832970.039644,-103200000.0,-70200000.0,-35000000.0,-121880009.084556,-91500000.0
,otherFinancingActivites,0.0,8235000000.0,0.0,0.0,0.0,-319000000.0,0.0,0.0,0.0,2358000000.0,0.0,0.0,0.0,5318000000.0,0.0,0.0,0.0,802000000.0,0.0,0.0,0.0,1765000000.0,0.0,0.0,0.0,1629000000.0,0.0,0.0,0.0,4305000000.0,0.0,0.0,0.0,1505000000.0,0.0,0.0,0.0,327000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676000000.0,0.0,0.0,0.0,43000000.0,0.0,0.0,0.0,2271000000.0,0.0,0.0,0.0,338000000.0,0.0,0.0,0.0,242000000.0,0.0,0.0,0.0,182000000.0,0.0,0.0,0.0,205934806.359612,0.0,0.0,0.0,28997626.854609,0.0,0.0,0.0,27003603.201067,0.0,0.0,0.0,-75917576.795344,0.0,0.0,0.0,-72434593.488009,0.0,0.0,0.0,67933119.496855,0.0
,netCashUsedProvidedByFinancingActivities,0.0,28746000000.0,18773000000.0,16607000000.0,25000000.0,18136000000.0,10179000000.0,3826000000.0,1042000000.0,8185000000.0,7974000000.0,6614000000.0,2858000000.0,6993000000.0,5856000000.0,5975000000.0,4427000000.0,8222000000.0,7170000000.0,1785000000.0,1769000000.0,6633000000.0,2839000000.0,788000000.0,1653000000.0,2710000000.0,1151000000.0,1882000000.0,857000000.0,3923000000.0,2122000000.0,1616000000.0,508000000.0,2650000000.0,1894000000.0,1170000000.0,910000000.0,854000000.0,-24000000.0,-155000000.0,320000000.0,1344000000.0,421000000.0,301000000.0,287000000.0,-1121000000.0,-149000000.0,487000000.0,122000000.0,4471000000.0,2558000000.0,1589000000.0,-309000000.0,8701000000.0,2329000000.0,1370000000.0,541000000.0,1013000000.0,953000000.0,1128000000.0,-40000000.0,1693000000.0,1327000000.0,367000000.0,245000000.0,182000000.0,267000000.0,227000000.0,398000000.0,486845877.241458,494400000.0,378800000.0,18800000.0,76993699.041445,-226400000.0,-200100000.0,-530900000.0,-325043360.453484,-256300000.0,-189000000.0,-225900000.0,-144842745.092624,-159100000.0,-237300000.0,-5300000.0,148893330.083837,194800000.0,-16700000.0,70000000.0,-479527904.961565,-290600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-34000000.0,-5000000.0,-87000000.0,52000000.0,16000000.0,-210000000.0,-202000000.0,-143000000.0,6000000.0,64000000.0,68000000.0,37000000.0,56000000.0,6000000.0,83000000.0,65000000.0,78000000.0,-332000000.0,-255000000.0,-73000000.0,-132000000.0,-114000000.0,-51000000.0,58000000.0,6000000.0,-134000000.0,-114000000.0,-111000000.0,13000000.0,-41000000.0,-25000000.0,-41000000.0,26000000.0,-35000000.0,-70000000.0,41000000.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,-1612000000.0,-795000000.0,-943000000.0,-1650000000.0,3251000000.0,2700000000.0,774000000.0,905000000.0,840000000.0,239000000.0,130000000.0,2128000000.0,1525000000.0,1598000000.0,1246000000.0,789000000.0,-386000000.0,-103000000.0,-237000000.0,-517000000.0,-503000000.0,-351000000.0,254000000.0,-108000000.0,813000000.0,949000000.0,414000000.0,76000000.0,817000000.0,735000000.0,514000000.0,274000000.0,314000000.0,243000000.0,284000000.0,321000000.0,404000000.0,522000000.0,109000000.0,-30000000.0,133000000.0,892000000.0,283000000.0,-223000000.0,-319000000.0,109000000.0,-29000000.0,6000000.0,357000000.0,1134000000.0,131000000.0,17000000.0,253000000.0,-224000000.0,-275000000.0,-41000000.0,547000000.0,840000000.0,270000000.0,140000000.0,22000000.0,157000000.0,47000000.0,-9000000.0,50000000.0,-24000000.0,-68000000.0,134000000.0,-51983543.266574,1300000.0,-25400000.0,-26400000.0,162986661.892738,-154800000.0,-60000000.0,-68100000.0,164021880.626876,23100000.0,3400000.0,-4100000.0,-34962041.799866,-16800000.0,-33500000.0,-14600000.0,-63380269.058296,-73800000.0,36200000.0,49000000.0,-102898696.016771,-21800000.0
,cashAtEndOfPeriod,0.0,6778000000.0,6652000000.0,5797000000.0,6740000000.0,8390000000.0,8613000000.0,6818000000.0,6044000000.0,5139000000.0,4668000000.0,6557000000.0,6427000000.0,4299000000.0,5618000000.0,4809000000.0,3563000000.0,2774000000.0,2820000000.0,2406000000.0,2643000000.0,3160000000.0,3566000000.0,3809000000.0,3555000000.0,3663000000.0,4213000000.0,3340000000.0,2926000000.0,2844000000.0,3274000000.0,2813000000.0,2301000000.0,2027000000.0,2240000000.0,2318000000.0,2034000000.0,1713000000.0,1940000000.0,1388000000.0,1279000000.0,1375000000.0,2424000000.0,1312000000.0,948000000.0,1242000000.0,1641000000.0,1538000000.0,1567000000.0,1561000000.0,2469000000.0,1352000000.0,1221000000.0,1204000000.0,452000000.0,635000000.0,910000000.0,951000000.0,1514000000.0,814000000.0,544000000.0,404000000.0,586000000.0,420000000.0,373000000.0,382000000.0,240000000.0,398000000.0,468000000.0,333894297.819362,374300000.0,328600000.0,354600000.0,380968823.100793,16200000.0,66000000.0,163900000.0,231030819.606536,94100000.0,68400000.0,64900000.0,68925168.29728,51200000.0,51500000.0,83400000.0,97585493.598492,-73800000.0,7631200000.0,7644000000.0,205797392.732355,7573200000.0
,cashAtBeginningOfPeriod,0.0,8390000000.0,7447000000.0,6740000000.0,8390000000.0,5139000000.0,5913000000.0,6044000000.0,5139000000.0,4299000000.0,4429000000.0,6427000000.0,4299000000.0,2774000000.0,4020000000.0,3563000000.0,2774000000.0,3160000000.0,2923000000.0,2643000000.0,3160000000.0,3663000000.0,3917000000.0,3555000000.0,3663000000.0,2850000000.0,3264000000.0,2926000000.0,2850000000.0,2027000000.0,2539000000.0,2299000000.0,2027000000.0,1713000000.0,1997000000.0,2034000000.0,1713000000.0,1309000000.0,1418000000.0,1279000000.0,1309000000.0,1242000000.0,1532000000.0,1029000000.0,1171000000.0,1561000000.0,1532000000.0,1567000000.0,1561000000.0,1204000000.0,1335000000.0,1221000000.0,1204000000.0,951000000.0,676000000.0,910000000.0,951000000.0,404000000.0,674000000.0,544000000.0,404000000.0,382000000.0,429000000.0,373000000.0,382000000.0,332000000.0,264000000.0,466000000.0,334000000.0,385877841.085936,373000000.0,354000000.0,381000000.0,217982161.208055,171000000.0,126000000.0,232000000.0,67008938.97966,71000000.0,65000000.0,69000000.0,103887210.097146,68000000.0,85000000.0,98000000.0,160965762.656788,0.0,7595000000.0,7595000000.0,308696088.749126,7595000000.0
,operatingCashFlow,0.0,6328000000.0,4275000000.0,2377000000.0,1540000000.0,5159000000.0,2649000000.0,2166000000.0,1255000000.0,4005000000.0,2807000000.0,1698000000.0,539000000.0,3083000000.0,1719000000.0,1084000000.0,219000000.0,2788000000.0,2101000000.0,1116000000.0,449000000.0,2574000000.0,1331000000.0,1012000000.0,198000000.0,2278000000.0,1666000000.0,971000000.0,122000000.0,1497000000.0,555000000.0,166000000.0,162000000.0,676000000.0,1032000000.0,644000000.0,112000000.0,1454000000.0,1427000000.0,964000000.0,382000000.0,1175000000.0,862000000.0,235000000.0,-125000000.0,1567000000.0,1735000000.0,980000000.0,523000000.0,3284000000.0,1534000000.0,718000000.0,387000000.0,689000000.0,669000000.0,643000000.0,210000000.0,830000000.0,875000000.0,444000000.0,285000000.0,910000000.0,585000000.0,289000000.0,208000000.0,742000000.0,482000000.0,296000000.0,133000000.0,322897778.709403,388000000.0,221800000.0,214000000.0,268977987.788791,261500000.0,55400000.0,113900000.0,295039358.452818,228500000.0,159000000.0,70900000.0,275700673.189121,218200000.0,143500000.0,69500000.0,262575400.012998,200300000.0,144700000.0,72100000.0,275728545.073375,191100000.0
,capitalExpenditure,0.0,-1682000000.0,-1973000000.0,-1190000000.0,-538000000.0,1432000000.0,-1265000000.0,-749000000.0,-351000000.0,792000000.0,-1228000000.0,-809000000.0,-397000000.0,2045000000.0,-1007000000.0,-631000000.0,-301000000.0,-374000000.0,-760000000.0,-465000000.0,-199000000.0,222000000.0,-975000000.0,-587000000.0,-476000000.0,-2726000000.0,-1337000000.0,-832000000.0,-490000000.0,-1086000000.0,-1263000000.0,-888000000.0,-514000000.0,-2061000000.0,-1547000000.0,-1033000000.0,-330000000.0,-546000000.0,-360000000.0,-203000000.0,-91000000.0,-2386000000.0,-191000000.0,-78000000.0,-129000000.0,-1457000000.0,-884000000.0,-822000000.0,-29000000.0,-7621000000.0,-1718000000.0,-1631000000.0,-13000000.0,-9031000000.0,-1748000000.0,-3000000.0,-53000000.0,-2533000000.0,-883000000.0,-815000000.0,0.0,-1446000000.0,0.0,0.0,0.0,-459000000.0,-167000000.0,-39000000.0,-78000000.0,-875722768.70502,-406500000.0,-131600000.0,-63400000.0,-323973487.104109,-31900000.0,-19600000.0,-90300000.0,-134017877.95932,0.0,0.0,0.0,-78914322.702699,0.0,0.0,0.0,-31187116.396958,-700000.0,0.0,0.0,-72928201.956674,-42900000.0
,freeCashFlow,0.0,3275000000.0,2302000000.0,1187000000.0,1002000000.0,3197000000.0,1384000000.0,1417000000.0,904000000.0,2315000000.0,1579000000.0,889000000.0,142000000.0,1611000000.0,712000000.0,453000000.0,-82000000.0,1674000000.0,1341000000.0,651000000.0,250000000.0,1476000000.0,356000000.0,425000000.0,-278000000.0,712000000.0,329000000.0,139000000.0,-368000000.0,-2047000000.0,-708000000.0,-722000000.0,-352000000.0,-1385000000.0,-515000000.0,-389000000.0,-218000000.0,908000000.0,1067000000.0,761000000.0,291000000.0,-1211000000.0,671000000.0,157000000.0,-254000000.0,110000000.0,851000000.0,158000000.0,494000000.0,-4337000000.0,-184000000.0,-913000000.0,374000000.0,-8342000000.0,-1079000000.0,640000000.0,157000000.0,-1703000000.0,-8000000.0,-371000000.0,285000000.0,-536000000.0,585000000.0,289000000.0,208000000.0,283000000.0,315000000.0,257000000.0,55000000.0,-552824989.995617,-18500000.0,90200000.0,150600000.0,-54995499.315318,229600000.0,35800000.0,23600000.0,161021480.493498,228500000.0,159000000.0,70900000.0,196786350.486422,218200000.0,143500000.0,69500000.0,231388283.61604,199600000.0,144700000.0,72100000.0,202800343.116702,148200000.0
