date,,2020-12-31_FY,2019-12-31_FY,2019-09-30_FY,2019-06-30_FY,2019-03-31_FY,2018-12-31_FY,2018-09-30_FY,2018-06-30_FY,2018-03-31_FY,2017-12-31_FY,2017-09-30_FY,2017-06-30_FY,2017-03-31_FY,2016-12-31_FY,2016-09-30_FY,2016-06-30_FY,2016-03-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-09-30_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2012-09-30_FY,2012-06-30_FY,2012-03-31_FY,2011-12-31_FY,2011-09-30_FY,2011-06-30_FY,2011-03-31_FY,2010-12-31_FY,2010-09-30_FY,2010-06-30_FY,2010-03-31_FY,2009-12-31_FY,2009-09-30_FY,2009-06-30_FY,2009-03-31_FY,2008-12-31_FY,2008-09-30_FY,2008-06-30_FY,2008-03-31_FY,2007-12-31_FY,2007-09-30_FY,2007-06-30_FY,2007-03-31_FY,2006-12-31_FY,2006-09-30_FY,2006-06-30_FY,2006-03-31_FY,2005-12-31_FY,2005-09-30_FY,2005-06-30_FY,2005-03-31_FY,2004-12-31_FY,2004-09-30_FY,2004-06-30_FY,2004-03-31_FY,2003-12-31_FY,2003-09-30_FY,2003-06-30_FY,2003-03-31_FY,2002-12-31_FY,2002-09-30_FY,2002-06-30_FY,2002-03-31_FY,2001-12-31_FY,2001-09-30_FY,2001-06-30_FY,2001-03-31_FY,2000-12-31_FY,2000-09-30_FY,2000-06-30_FY,2000-03-31_FY,1999-12-31_FY,1999-09-30_FY,1999-06-30_FY,1999-03-31_FY,1998-12-31_FY,1998-09-30_FY,1998-06-30_FY,1998-03-31_FY,1997-12-31_FY,1997-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472000000.0,0.0,0.0,0.0,-418000000.0,0.0,0.0,0.0,105000000.0,0.0,0.0,0.0,270000000.0,0.0,0.0,0.0,168000000.0,0.0,0.0,0.0,-113963921.972166,0.0,0.0,0.0,48995990.527519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-28000000.0,-1408000000.0,-776000000.0,-444000000.0,-2702000000.0,-2233000000.0,-1619000000.0,-609000000.0,-1582000000.0,-1216000000.0,-643000000.0,-264000000.0,-595000000.0,-1532000000.0,-931000000.0,-625000000.0,-2439000000.0,-2586000000.0,-1893000000.0,-1358000000.0,-3807000000.0,-3201000000.0,-2523000000.0,-1034000000.0,-2861000000.0,-2644000000.0,-1138000000.0,-467000000.0,-2011000000.0,-2457000000.0,-1456000000.0,-1102000000.0,-543000000.0,-3225000000.0,-2232000000.0,-810000000.0,-1865000000.0,-130000000.0,-141000000.0,-133000000.0,378000000.0,2547000000.0,1674000000.0,807000000.0,157000000.0,80000000.0,-216000000.0,5000000.0,467000000.0,30000000.0,79000000.0,61000000.0,102000000.0,110000000.0,95000000.0,-27000000.0,42000000.0,-1565000000.0,-739000000.0,-115000000.0,-30000000.0,-292000000.0,-228000000.0,-109000000.0,-50000000.0,50000000.0,0.0,0.0,-30990189.352796,-29900000.0,-40000000.0,0.0,0.0,0.0,0.0,0.0,-1000133.377793,0.0,0.0,0.0,-15982647.60103,0.0,0.0,0.0,-7042251.900955,0.0,0.0,0.0,-157844602.375961,0.0
,netCashProvidedByOperatingActivites,0.0,6328000000.0,4275000000.0,2377000000.0,1540000000.0,5159000000.0,2649000000.0,2166000000.0,1255000000.0,4005000000.0,2807000000.0,1698000000.0,539000000.0,3083000000.0,1719000000.0,1084000000.0,219000000.0,2788000000.0,2101000000.0,1116000000.0,449000000.0,2574000000.0,1331000000.0,1012000000.0,198000000.0,2278000000.0,1666000000.0,971000000.0,122000000.0,1497000000.0,555000000.0,166000000.0,162000000.0,676000000.0,1032000000.0,644000000.0,112000000.0,1454000000.0,1427000000.0,964000000.0,382000000.0,1175000000.0,862000000.0,235000000.0,-125000000.0,1567000000.0,1735000000.0,980000000.0,523000000.0,3284000000.0,1534000000.0,718000000.0,387000000.0,689000000.0,669000000.0,643000000.0,210000000.0,830000000.0,875000000.0,444000000.0,285000000.0,910000000.0,585000000.0,289000000.0,208000000.0,742000000.0,482000000.0,296000000.0,133000000.0,322897778.709403,388000000.0,221800000.0,214000000.0,268977987.788791,261500000.0,55400000.0,113900000.0,295039358.452818,228500000.0,159000000.0,70900000.0,275700673.189121,218200000.0,143500000.0,69500000.0,262575400.012998,200300000.0,144700000.0,72100000.0,275728545.073375,191100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-3053000000.0,-1973000000.0,-1190000000.0,-538000000.0,-1962000000.0,-1265000000.0,-749000000.0,-351000000.0,-1690000000.0,-1228000000.0,-809000000.0,-397000000.0,-1472000000.0,-1007000000.0,-631000000.0,-301000000.0,-1114000000.0,-760000000.0,-465000000.0,-199000000.0,-1098000000.0,-975000000.0,-587000000.0,-476000000.0,-1566000000.0,-1337000000.0,-832000000.0,-490000000.0,-3544000000.0,-1263000000.0,-888000000.0,-514000000.0,-2061000000.0,-1547000000.0,-1033000000.0,-330000000.0,-546000000.0,-360000000.0,-203000000.0,-91000000.0,-2386000000.0,-191000000.0,-78000000.0,-129000000.0,-1457000000.0,-884000000.0,-822000000.0,-29000000.0,-7621000000.0,-1718000000.0,-1631000000.0,-13000000.0,-9031000000.0,-1748000000.0,-3000000.0,-53000000.0,-2533000000.0,-883000000.0,-815000000.0,0.0,-1446000000.0,0.0,0.0,0.0,-459000000.0,-167000000.0,-39000000.0,-78000000.0,-875722768.70502,-406500000.0,-131600000.0,-63400000.0,-323973487.104109,-31900000.0,-19600000.0,-90300000.0,-134017877.95932,0.0,0.0,0.0,-78914322.702699,0.0,0.0,0.0,-31187116.396958,-700000.0,0.0,0.0,-72928201.956674,-42900000.0
,acquisitionsNet,0.0,-28752000000.0,-28752000000.0,-28752000000.0,-28752000000.0,-20540000000.0,-20540000000.0,-20540000000.0,-20540000000.0,-7502000000.0,-7502000000.0,-7502000000.0,-7502000000.0,-9082000000.0,-9082000000.0,-9082000000.0,-9082000000.0,-7465000000.0,-7465000000.0,-7465000000.0,-7465000000.0,-5838000000.0,-5838000000.0,-5838000000.0,-5838000000.0,-70000000.0,-70000000.0,-70000000.0,-70000000.0,318000000.0,318000000.0,318000000.0,318000000.0,115000000.0,115000000.0,115000000.0,115000000.0,218000000.0,218000000.0,218000000.0,218000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-10830000000.0,0.0,0.0,0.0,-5288000000.0,0.0,0.0,0.0,-4623000000.0,0.0,0.0,0.0,-3747000000.0,0.0,0.0,0.0,-4589000000.0,0.0,0.0,0.0,-3877000000.0,0.0,0.0,0.0,-2745000000.0,0.0,0.0,0.0,-1327000000.0,0.0,0.0,0.0,-1390000000.0,0.0,0.0,0.0,-1063000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187000000.0,0.0,0.0,0.0,-528000000.0,0.0,0.0,0.0,-889000000.0,0.0,0.0,0.0,-223000000.0,0.0,0.0,0.0,-1305000000.0,0.0,0.0,0.0,-415000000.0,0.0,0.0,0.0,-322897778.709403,0.0,0.0,0.0,-53995580.974635,0.0,0.0,0.0,-171022814.271424,0.0,0.0,0.0,-31965295.20206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-461545608.665269,0.0
,salesMaturitiesOfInvestments,0.0,10850000000.0,0.0,0.0,0.0,4523000000.0,0.0,0.0,0.0,2843000000.0,0.0,0.0,0.0,3955000000.0,0.0,0.0,0.0,2823000000.0,0.0,0.0,0.0,3651000000.0,0.0,0.0,0.0,1502000000.0,0.0,0.0,0.0,2215000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126000000.0,0.0,0.0,0.0,115000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277000000.0,0.0,0.0,0.0,170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142954743.983078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263035089.029677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125754501.852213,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,462000000.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,549000000.0,0.0,0.0,0.0,-134000000.0,0.0,0.0,0.0,1753000000.0,0.0,0.0,0.0,-1795000000.0,0.0,0.0,0.0,1673000000.0,0.0,0.0,0.0,-32000000.0,0.0,0.0,0.0,359000000.0,0.0,0.0,0.0,-513000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319000000.0,0.0,0.0,0.0,636000000.0,0.0,0.0,0.0,783000000.0,0.0,0.0,0.0,183000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194984043.141245,0.0,0.0,0.0,236031486.495498,0.0,0.0,0.0,-53941436.689152,0.0,0.0,0.0,-569416384.610385,0.0,0.0,0.0,635374473.794549,0.0
