Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,1250000000.0,1137000000.0,6815000000.0,8216000000.0,5608000000.0
Stock-based compensation,,,,,
Operating Cash Flow,3505000000.0,7272000000.0,15556000000.0,13989000000.0,11885000000.0
Capital Expenditure,-3086000000.0,-3577000000.0,-9388000000.0,-7591000000.0,-5733000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,264000000,0,2046000000,0
Investing Cash flow,-2969000000.0,-22998000000.0,-12972000000.0,-4809000000.0,-6042000000.0
Issuance (repayment) of debt,-3068000000.0,-1980000000.0,-15614000000.0,-15039000000.0,-2334000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-436000000.0,11805000000.0,-3292000000.0,-7853000000.0,-6071000000.0
Effect of forex changes on cash,10000000.0,-23000000.0,148000000.0,-100000000.0,258000000.0
Net cash flow / Change in cash,110000000.0,-3944000000.0,-560000000.0,1227000000.0,30000000.0
Free Cash Flow,419000000.0,3695000000.0,6168000000.0,6398000000.0,6152000000.0
Net Cash/Marketcap,,,,,
