date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,21331000000.0,11588000000.0,10073000000.0,3033000000.0,2371000000.0,596000000.0,-241000000.0,274000000.0,-39000000.0,631000000.0,1152000000.0,902000000.0,645000000.0,476000000.0,190000000.0,359000000.0,588451000.0,35282000.0,-149132000.0,-567277000.0,-1411273000.0,-719968000.0,-124546000.0,-27600000.0,-5800000.0
,depreciationAndAmortization,25251000000.0,21789000000.0,15341000000.0,11478000000.0,8116000000.0,6281000000.0,4746000000.0,3253000000.0,2159000000.0,1083000000.0,568000000.0,378000000.0,287000000.0,246000000.0,205000000.0,121000000.0,75724000.0,78310000.0,87752000.0,129934000.0,322818000.0,282118000.0,12078000.0,4700000.0,300000.0
,deferredIncomeTax,-554000000.0,796000000.0,441000000.0,-29000000.0,-246000000.0,81000000.0,-316000000.0,-156000000.0,-265000000.0,136000000.0,4000000.0,81000000.0,-5000000.0,-99000000.0,22000000.0,70000000.0,-256696000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,9208000000.0,6864000000.0,5418000000.0,4215000000.0,2975000000.0,2119000000.0,1497000000.0,1134000000.0,833000000.0,557000000.0,424000000.0,341000000.0,275000000.0,185000000.0,101000000.0,87000000.0,57702000.0,87751000.0,68927000.0,4637000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,13481000000.0,1812000000.0,4396000000.0,349000000.0,-610000000.0,-663000000.0,1593000000.0,-649000000.0,-300000000.0,-781000000.0,942000000.0,1022000000.0,-39000000.0,609000000.0,-159000000.0,81004000.0,350888000.0,18390000.0,263212000.0,-99667000.0,112930000.0,10564000.0,169179000.0,91300000.0,3700000.0
,accountsReceivables,-8169000000.0,-7681000000.0,-4615000000.0,-4786000000.0,-3367000000.0,-1755000000.0,-1039000000.0,-846000000.0,-861000000.0,-866000000.0,-295000000.0,-481000000.0,-218000000.0,-255000000.0,-103000000.0,-84000000.0,-1745000.0,305000.0,-32948000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-2849000000.0,-3278000000.0,-1314000000.0,-3583000000.0,-1426000000.0,-2187000000.0,-1193000000.0,-1410000000.0,-999000000.0,-1777000000.0,-1019000000.0,-531000000.0,-232000000.0,-303000000.0,-282000000.0,-104000000.0,-168896000.0,-76786000.0,-51303000.0,30628000.0,46083000.0,-172069000.0,-20513000.0,-8400000.0,-600000.0
,accountsPayables,17480000000.0,8193000000.0,3263000000.0,7175000000.0,5030000000.0,4294000000.0,1759000000.0,1888000000.0,2070000000.0,2997000000.0,2373000000.0,1859000000.0,812000000.0,928000000.0,402000000.0,274000000.0,286091000.0,167732000.0,156542000.0,-44438000.0,-22000000.0,-350000000.0,-80000000.0,-30000000.0,-3000000.0
,otherWorkingCapital,1265000000.0,8522000000.0,6710000000.0,2314000000.0,1965000000.0,2575000000.0,3238000000.0,1645000000.0,2294000000.0,2594000000.0,3375000000.0,2433000000.0,1411000000.0,1450000000.0,841000000.0,1000000000.0,918996000.0,568108000.0,549718000.0,286506000.0,386173000.0,273243000.0,262679000.0,93500000.0,2200000.0
,otherNonCashItems,-2653000000.0,-85000000.0,493000000.0,-90000000.0,140000000.0,400000000.0,191000000.0,280000000.0,407000000.0,631000000.0,-79000000.0,-15000000.0,-34000000.0,21000000.0,4000000.0,30000000.0,55000000.0,221000000.0,196000000.0,99922000.0,167405000.0,31406000.0,23970000.0,100000.0,100000.0
,netCashProvidedByOperatingActivites,66064000000.0,38514000000.0,30723000000.0,18434000000.0,16443000000.0,11920000000.0,6842000000.0,5475000000.0,4180000000.0,3903000000.0,3495000000.0,3293000000.0,1697000000.0,1405000000.0,702000000.0,733000000.0,566560000.0,392022000.0,174291000.0,-119782000.0,-130442000.0,-90875000.0,31035000.0,3500000.0,-1700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-40140000000.0,-16861000000.0,-13427000000.0,-11955000000.0,-6737000000.0,-4589000000.0,-4893000000.0,-3444000000.0,-3785000000.0,-1811000000.0,-979000000.0,-373000000.0,-333000000.0,-224000000.0,-216000000.0,-204000000.0,-89133000.0,-45963000.0,-39163000.0,-50321000.0,-134758000.0,-287055000.0,-28333000.0,-7200000.0,-1200000.0
,acquisitionsNet,-2325000000.0,-2461000000.0,-2186000000.0,-13972000000.0,-116000000.0,-795000000.0,-979000000.0,-312000000.0,-745000000.0,-705000000.0,-352000000.0,-40000000.0,-494000000.0,-75000000.0,-32000000.0,-24000000.0,-71195000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-72479000000.0,-31812000000.0,-7100000000.0,-13777000000.0,-7756000000.0,-4091000000.0,-2542000000.0,-2826000000.0,-3302000000.0,-6257000000.0,-6279000000.0,-3890000000.0,-1677000000.0,-930000000.0,-1930000000.0,-1386000000.0,-1584089000.0,-535642000.0,-635810000.0,-567152000.0,-184455000.0,-4290173000.0,-546509000.0,-20500000.0,0.0
,salesMaturitiesOfInvestments,50237000000.0,22681000000.0,8240000000.0,9988000000.0,4733000000.0,3025000000.0,3349000000.0,2306000000.0,4237000000.0,6843000000.0,4250000000.0,1966000000.0,1305000000.0,1271000000.0,1845000000.0,836000000.0,1426786000.0,813184000.0,553289000.0,370377000.0,545724000.0,4024551000.0,332084000.0,5200000.0,0.0
,otherInvestingActivites,0.0,4172000000.0,2104000000.0,-24030000000.0,4617000000.0,2230000000.0,2370000000.0,1994000000.0,4452000000.0,6415000000.0,3898000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6198000.0,-62533000.0,0.0,0.0,0.0,0.0
