date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-3074000000.0,2300000000.0,2465000000.0,3488000000.0,2244000000.0,2181000000.0,1136000000.0,754000000.0,421000000.0,178000000.0,459000000.0,99000000.0,178000000.0,645000000.0,499000000.0,548000000.0,313000000.0,442000000.0,240969000.0,511147000.0,603093000.0,474378000.0,433431000.0,317772000.0,207337000.0,182626000.0
,depreciationAndAmortization,1255000000.0,1219000000.0,1201000000.0,1218000000.0,1221000000.0,1015000000.0,938000000.0,867000000.0,844000000.0,715000000.0,628000000.0,616000000.0,599000000.0,555000000.0,515000000.0,469000000.0,431000000.0,384000000.0,356304000.0,317831000.0,281276000.0,248660000.0,225212000.0,195568000.0,183470000.0,156771000.0
,deferredIncomeTax,-716000000.0,-55000000.0,301000000.0,-1212000000.0,455000000.0,-109000000.0,501000000.0,50000000.0,251000000.0,123000000.0,133000000.0,72000000.0,56000000.0,328000000.0,277000000.0,257000000.0,184000000.0,183000000.0,169629000.0,207922000.0,153447000.0,142940000.0,108335000.0,81711000.0,67253000.0,48147000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1669000000.0,-101000000.0,-787000000.0,256000000.0,1036000000.0,-1863000000.0,-299000000.0,-797000000.0,-235000000.0,-1162000000.0,292000000.0,595000000.0,482000000.0,-109000000.0,-58000000.0,-258000000.0,-560000000.0,-208132000.0,517098000.0,747901000.0,-137406000.0,-52963000.0,-214401000.0,-47683000.0,123071000.0,72058000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26000000.0,-26000000.0,0.0,0.0,-38000000.0,-5000000.0,-9000000.0,-75000000.0,43000000.0,-103110000.0,66787000.0,-63032000.0,15400000.0,-12300000.0,-3100000.0,6300000.0,-4100000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609000000.0,-223000000.0,855000000.0,231000000.0,129000000.0,-148850000.0,202506000.0,129438000.0,64300000.0,53200000.0,8800000.0,132100000.0,61900000.0
,otherWorkingCapital,1732000000.0,-2978000000.0,-2877000000.0,-2090000000.0,-2346000000.0,-3382000000.0,-1519000000.0,-1220000000.0,-423000000.0,-188000000.0,974000000.0,682000000.0,87000000.0,-395000000.0,-286000000.0,-228000000.0,30000000.0,590000000.0,798132000.0,281034000.0,-466867000.0,-329461000.0,-276498000.0,-62097000.0,-14414000.0,-137485000.0
,otherNonCashItems,-86000000.0,-83000000.0,-1000000.0,258000000.0,370000000.0,-1032000000.0,-510000000.0,131000000.0,354000000.0,-1000000.0,-96000000.0,121000000.0,-226000000.0,-5000000.0,4000000.0,-17000000.0,14000000.0,83000000.0,15024000.0,60405000.0,36925000.0,30654000.0,10613000.0,12594000.0,170361000.0,-3160000.0
,netCashProvidedByOperatingActivites,-1127000000.0,3987000000.0,4893000000.0,3929000000.0,4293000000.0,3238000000.0,2902000000.0,2477000000.0,2064000000.0,1385000000.0,1561000000.0,985000000.0,-1521000000.0,2845000000.0,1406000000.0,2229000000.0,1157000000.0,1336000000.0,520209000.0,1484608000.0,1298286000.0,1001710000.0,886135000.0,610588000.0,615228000.0,456442000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-515000000.0,-1027000000.0,-1976000000.0,-2249000000.0,-2147000000.0,-2143000000.0,-1828000000.0,-1447000000.0,-1348000000.0,-968000000.0,-493000000.0,-585000000.0,-923000000.0,-1331000000.0,-1399000000.0,-1210000000.0,-1775000000.0,-1238000000.0,-603060000.0,-997843000.0,-1134644000.0,-1167834000.0,-947096000.0,-688927000.0,-677431000.0,-728643000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35000000.0,0.0,0.0,0.0,0.0,20000000.0,-6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5080000000.0,-2122000000.0,-2409000000.0,-2380000000.0,-2388000000.0,-1986000000.0,-3080000000.0,-3135000000.0,-2481000000.0,-5362000000.0,-5624000000.0,-6106000000.0,-5886000000.0,-5086000000.0,-4509000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,4336000000.0,2446000000.0,2342000000.0,2221000000.0,2263000000.0,2223000000.0,3185000000.0,3198000000.0,2996000000.0,5314000000.0,4852000000.0,5120000000.0,5831000000.0,4888000000.0,4392000000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,428000000.0,400000000.0,5000000.0,0.0,0.0,-7000000.0,-4000000.0,0.0,32000000.0,0.0,0.0,2000000.0,0.0,0.0,41000000.0,0.0,-41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-16000000.0,-303000000.0,-2038000000.0,-2408000000.0,-2272000000.0,-1913000000.0,-1727000000.0,-1384000000.0,-833000000.0,-1051000000.0,-1265000000.0,-1569000000.0,-978000000.0,-1529000000.0,-1495000000.0,-1210000000.0,-1850000000.0,-1238000000.0,-603060000.0,-997843000.0,-1134644000.0,-1167834000.0,-947096000.0,-688927000.0,-677431000.0,-728643000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
