Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,487255000.0,2323000.0,7531000.0
Short-term investments,30335000.0,0.0,0.0
Cash and short-term investments,517590000.0,2323000.0,7531000.0
Receivables,16525000.0,2114000.0,423000.0
Inventories,16211000.0,7421000.0,4103000.0
Total current assets,554302000.0,12403000.0,12128000.0
Property Plant & Equipment Net,80214000.0,39985000.0,19945000.0
Goodwill and Intangible Assets,4486000.0,934000.0,822000.0
Long-term investments,0.0,0.0,0.0
Tax assets,6664000.0,0.0,0.0
Total non-current assets,102365000.0,41545000.0,20965000.0
Total assets,656667000.0,53948000.0,33093000.0
Payables,10649000.0,5563000.0,757000.0
Short-term debt,470000.0,42637000.0,20126000.0
Total current liabilities,25937000.0,50221000.0,21989000.0
Long-term debt,8286000.0,8579000.0,8576000.0
Total debt,8756000.0,51216000.0,28702000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,12710000.0,8579000.0,8576000.0
Total liabilities,459014000.0,58800000.0,30565000.0
Other comprehensive income,302065000,3866000.0,3584000.0
Retained earnings (deficit),-108177000.0,-40454000.0,-32645000.0
Total shareholders equity,197653000.0,-4852000.0,2528000.0
Investments,30335000.0,0.0,0.0
Net Debt,-478499000.0,48893000.0,21171000.0
Other Assets,0.0,545000.0,71000.0
Other Liabilities,420367000.0,2021000.0,1106000.0
