date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,634557000.0,859867000.0,328115000.0,423201000.0,184189000.0,121102000.0,86850000.0,42460000.0,21349000.0,34035000.0
,depreciationAndAmortization,44590000.0,32849000.0,27671000.0,20640000.0,19749000.0,13671000.0,10021000.0,5044000.0,1779000.0,1293000.0
,deferredIncomeTax,-9144000.0,-75741000.0,-57896000.0,8426000.0,-21720000.0,-24409000.0,-6774000.0,-8831000.0,-3722000.0,-4234000.0
,stockBasedCompensation,137042000.0,101280000.0,91202000.0,75427000.0,59032000.0,45303000.0,27619000.0,10159000.0,4703000.0,1974000.0
,changeInWorkingCapital,-85686000.0,766264000.0,371774000.0,669951000.0,327256000.0,204211000.0,458927000.0,-54629000.0,117740000.0,-22644000.0
,accountsReceivables,10673000.0,-60210000.0,-77916000.0,5773000.0,-108856000.0,-47281000.0,-19844000.0,-28289000.0,-22043000.0,-11596000.0
,inventory,-235318000.0,20927000.0,51054000.0,-69708000.0,-144361000.0,-14123000.0,-13425000.0,-49179000.0,-7153000.0,-7733000.0
,accountsPayables,41161000.0,-1937000.0,39337000.0,-30104000.0,38678000.0,9037000.0,14007000.0,3865000.0,3842000.0,1434000.0
,otherWorkingCapital,64122000.0,2874562000.0,2108298000.0,1736524000.0,1066573000.0,739317000.0,535106000.0,76179000.0,130808000.0,13068000.0
,otherNonCashItems,16970000.0,16179000.0,0.0,0.0,0.0,0.0,875000.0,1118000.0,1040000.0,836000.0
,netCashProvidedByOperatingActivites,735114000.0,963034000.0,503119000.0,631627000.0,131440000.0,200533000.0,114516000.0,34648000.0,26306000.0,12430000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-15384000.0,-15751000.0,-23830000.0,-15279000.0,-21419000.0,-19989000.0,-13134000.0,-20316000.0,-3312000.0,-2770000.0
,acquisitionsNet,-227000000.0,-1000000.0,-97000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2688064000.0,-1503893000.0,-1182259000.0,-585373000.0,-439711000.0,0.0,-210019000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,2322066000.0,1236937000.0,547797000.0,206332000.0,137855000.0,208200000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,1740000.0,-2704000.0,-4041000.0,-26209000.0,825000.0,-9040000.0,0.0
,netCashUsedForInvestingActivites,-608802000.0,-284072000.0,-755113000.0,-392580000.0,-325979000.0,184170000.0,-249362000.0,-19491000.0,-12352000.0,-2770000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-1929000.0,-1617000.0,-1336000.0,-1086000.0,-20793000.0,0.0,0.0,-55555000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,239315000.0,0.0,0.0,4203000.0
,commonStockRepurchased,-395173000.0,-266142000.0,0.0,0.0,0.0,-261000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-8722000.0,-9200000.0,-8878000.0,-4025000.0,41755000.0,37251000.0,17436000.0,882000.0,95000.0,0.0
,netCashUsedProvidedByFinancingActivities,-346339000.0,-217964000.0,42851000.0,51469000.0,75600000.0,63105000.0,261337000.0,9886000.0,3977000.0,46505000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1966000.0,353000.0,-1390000.0,753000.0,-464000.0,-513000.0,-124000.0,-34000.0,-1000.0,-18000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-218061000.0,461351000.0,-210533000.0,291269000.0,-119403000.0,447295000.0,126367000.0,25009000.0,17930000.0,56147000.0
,cashAtEndOfPeriod,897454000.0,1115515000.0,654164000.0,859192000.0,567923000.0,687326000.0,240031000.0,113664000.0,88655000.0,70725000.0
,cashAtBeginningOfPeriod,1115515000.0,654164000.0,864697000.0,567923000.0,687326000.0,240031000.0,113664000.0,88655000.0,70725000.0,14578000.0
,operatingCashFlow,735114000.0,963034000.0,503119000.0,631627000.0,131440000.0,200533000.0,114516000.0,34648000.0,26306000.0,12430000.0
,capitalExpenditure,-15384000.0,-15751000.0,-23830000.0,-15279000.0,-21419000.0,-19989000.0,-13134000.0,-20316000.0,-3312000.0,-2770000.0
,freeCashFlow,719730000.0,947283000.0,479289000.0,616348000.0,110021000.0,180544000.0,101382000.0,14332000.0,22994000.0,9660000.0
