date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1473000000.0,1372000000.0,1261000000.0,1148000000.0,1123379000.0,984485000.0,1021306000.0,948234000.0,905229000.0,841172000.0,755834000.0,680887000.0,645554000.0,577348000.0,571754000.0,512972000.0,355961000.0,622392000.0,-2217991000.0,794966000.0,526828000.0,224300000.0,282400000.0,237300000.0
,depreciationAndAmortization,1959000000.0,1904000000.0,1781000000.0,1609000000.0,1435734000.0,1249390000.0,1151057000.0,1099932000.0,1046353000.0,1009755000.0,977555000.0,915701000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-8000000.0,143000000.0,218000000.0,635000000.0,581447000.0,530591000.0,563835000.0,509309000.0,501484000.0,466567000.0,414460000.0,416581000.0,259045000.0,265277000.0,-59843000.0,205058000.0,45488000.0,113985000.0,-781531000.0,11190000.0,62716000.0,-18900000.0,-1000000.0,-5900000.0
,stockBasedCompensation,73000000.0,58000000.0,45000000.0,57000000.0,41170000.0,44928000.0,32189000.0,24613000.0,26970000.0,45006000.0,35807000.0,29672000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,491000000.0,-89000000.0,-251000000.0,-710038000.0,742890000.0,-447649000.0,-263745000.0,-124524000.0,294141000.0,-802185000.0,447956000.0,-221130000.0,803215000.0,-602836000.0,299870000.0,-766211000.0,-224927000.0,9071841000.0,-6473002000.0,-594932000.0,-751434000.0,-314100000.0,-543400000.0,65200000.0
,accountsReceivables,-154000000.0,-20000000.0,-105000000.0,-60000000.0,-83170000.0,65826000.0,-125146000.0,-108911000.0,-197236000.0,-79701000.0,-29749000.0,122785000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-80000000.0,-84000000.0,-65000000.0,-3000000.0,1349000.0,-11240000.0,-20558000.0,-43588000.0,82658000.0,-57432000.0,9239000.0,100504000.0,-135099000.0,-25464000.0,28967000.0,-94605000.0,-46185000.0,3230000.0,8620000.0,-178530000.0,21933000.0,0.0,0.0,0.0
,accountsPayables,-33000000.0,-12000000.0,90000000.0,43000000.0,117744000.0,-120002000.0,-53242000.0,132441000.0,-100327000.0,13748000.0,-188855000.0,-50015000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-964000000.0,-1455000000.0,-1366000000.0,-1115000000.0,-404962000.0,-1147852000.0,-700203000.0,-436458000.0,-311934000.0,-606075000.0,196110000.0,-251846000.0,-30716000.0,-833931000.0,-231095000.0,-530965000.0,235246000.0,460173000.0,-8611668000.0,-2138666000.0,-1543734000.0,-792300000.0,-478200000.0,65200000.0
,otherNonCashItems,0.0,-37000000.0,-179000000.0,-76000000.0,-57582000.0,77426000.0,-83717000.0,-81152000.0,-34816000.0,-51223000.0,-56152000.0,-85233000.0,57023000.0,-7873000.0,-42062000.0,0.0,0.0,-82566000.0,0.0,0.0,115361000.0,474100000.0,423200000.0,398900000.0
,netCashProvidedByOperatingActivites,2848000000.0,3263000000.0,3122000000.0,3126000000.0,3052299000.0,3025839000.0,2648192000.0,2584036000.0,2004756000.0,2405522000.0,1893942000.0,1918464000.0,1679516000.0,1553279000.0,1937067000.0,1163147000.0,803938000.0,1381507000.0,1771207000.0,1584012000.0,1407725000.0,681200000.0,702100000.0,689800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2205567000.0,-2949822000.0,0.0,-2113246000.0,-2096857000.0,-1627620000.0,-1311444000.0,-1276450000.0,-42287000.0,-2408942000.0,-5365780000.0,-3181103000.0,-462100000.0,-411100000.0,-396600000.0
,acquisitionsNet,684000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-732000000.0,0.0,0.0,39000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1398000000.0,-995000000.0,-853000000.0,-1697000000.0,-546612000.0,-1257924000.0,-595569000.0,-1481881000.0,-1102025000.0,-2098642000.0,-3781438000.0,-1644278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,975000000.0,833000000.0,1669000000.0,478866000.0,1236873000.0,588430000.0,1461291000.0,1087076000.0,2098642000.0,3788518000.0,1664957000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-98000000.0,-9000000.0,68000000.0,65845000.0,83028000.0,92055000.0,210035000.0,253196000.0,-39788000.0,56241000.0,74046000.0,-43071000.0,35116000.0,52840000.0,74581000.0,41243000.0,-883809000.0,-469623000.0,197821000.0,-165891000.0,-1851300000.0,-195900000.0,-392300000.0
,netCashUsedForInvestingActivites,-4740000000.0,-4343000000.0,-3986000000.0,-3296000000.0,-3261413000.0,-3622774000.0,-3117251000.0,-3213384000.0,-2332942000.0,-2247801000.0,-2806724000.0,-1734667000.0,-2156317000.0,-2022791000.0,-1550110000.0,-1225635000.0,-1235207000.0,-926096000.0,-2717774000.0,-5167959000.0,-3346994000.0,-2313400000.0,-607000000.0,-948500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
