Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,100853000.0,118331000.0,189121000.0
Short-term investments,943000.0,1178000.0,508000.0
Cash and short-term investments,101796000.0,119509000.0,189629000.0
Receivables,28530000.0,19417000.0,16235000.0
Inventories,15959000.0,11152000.0,7656000.0
Total current assets,153780000.0,154953000.0,211880000.0
Property Plant & Equipment Net,348740000.0,104763000.0,75301000.0
Goodwill and Intangible Assets,43057000.0,0.0,0.0
Long-term investments,95863000.0,100410000.0,95683000.0
Tax assets,185000.0,0.0,361000.0
Total non-current assets,545622000.0,226237000.0,177174000.0
Total assets,699402000.0,381190000.0,389054000.0
Payables,47658000.0,8443000.0,6480000.0
Short-term debt,272192000.0,5828000.0,5828000.0
Total current liabilities,404755000.0,32099000.0,24479000.0
Long-term debt,0.0,69425000.0,74557000.0
Total debt,272192000.0,75253000.0,80385000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,160000.0,1204000.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,12000000.0,70181000.0,75205000.0
Total liabilities,416755000.0,102280000.0,99684000.0
Other comprehensive income,-11000.0,2666000.0,1363000.0
Retained earnings (deficit),-158423000.0,-80347000.0,-48676000.0
Total shareholders equity,268307000.0,278910000.0,289370000.0
Investments,96806000.0,101588000.0,96191000.0
Net Debt,170396000.0,-44256000.0,-109244000.0
Other Assets,7495000.0,4875000.0,-1640000.0
Other Liabilities,84905000.0,17828000.0,12171000.0
