date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5590000000.0,9431000000.0,8728000000.0,5753000000.0,11872000000.0,13190000000.0,12022000000.0,16483000000.0,16604000000.0,15855000000.0,14833000000.0,13425000000.0,12334000000.0,10418000000.0,9492000000.0,7934000000.0,8430000000.0,7583000000.0,3579000000.0,7723000000.0,8093000000.0,7712000000.0,6328000000.0,6093000000.0,5429000000.0,4178000000.0,3021000000.0
,depreciationAndAmortization,6695000000.0,6059000000.0,4480000000.0,4541000000.0,4381000000.0,3855000000.0,4492000000.0,4678000000.0,4676000000.0,4815000000.0,4831000000.0,4994000000.0,5450000000.0,5201000000.0,4983000000.0,5188000000.0,4915000000.0,4701000000.0,4379000000.0,4820000000.0,4995000000.0,6585000000.0,4992000000.0,5001000000.0,5012000000.0,5602000000.0,6295000000.0
,deferredIncomeTax,-3203000000.0,-1527000000.0,853000000.0,-931000000.0,-1132000000.0,1387000000.0,-237000000.0,-1610000000.0,797000000.0,1212000000.0,1294000000.0,1773000000.0,1900000000.0,740000000.0,1724000000.0,2185000000.0,2081000000.0,1126000000.0,-67000000.0,658000000.0,29000000.0,-713000000.0,-606000000.0,358000000.0,11000000.0,1392000000.0,825000000.0
,stockBasedCompensation,937000000.0,679000000.0,510000000.0,534000000.0,544000000.0,468000000.0,512000000.0,614000000.0,688000000.0,697000000.0,629000000.0,558000000.0,659000000.0,713000000.0,846000000.0,1043000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,8249000000.0,-10200000000.0,-1453000000.0,4759000000.0,-622000000.0,-1587000000.0,-1374000000.0,5388000000.0,-2997000000.0,1251000000.0,-5379000000.0,6364000000.0,-2298000000.0,4298000000.0,-5940000000.0,3337000000.0,74000000.0,-4000000.0,-240000000.0,-132000000.0,3897000000.0,-1956000000.0,-1378000000.0,216000000.0,-2348000000.0,-3069000000.0,4435000000.0
,accountsReceivables,4349000000.0,491000000.0,-345000000.0,419000000.0,1218000000.0,200000000.0,700000000.0,-1300000000.0,-2900000000.0,0.0,734000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-209000000.0,67000000.0,-127000000.0,18000000.0,-14000000.0,133000000.0,-39000000.0,-57000000.0,280000000.0,-163000000.0,92000000.0,263000000.0,-102000000.0,182000000.0,112000000.0,202000000.0,-291000000.0,293000000.0,793000000.0,337000000.0,-55000000.0,301000000.0,73000000.0,432000000.0,196000000.0,107000000.0,1518000000.0
,accountsPayables,138000000.0,-503000000.0,126000000.0,47000000.0,197000000.0,81000000.0,-456000000.0,-529000000.0,-224000000.0,451000000.0,174000000.0,170000000.0,-860000000.0,-142000000.0,355000000.0,-536000000.0,411000000.0,0.0,0.0,0.0,2245000000.0,-3000000.0,362000000.0,699000000.0,319000000.0,659000000.0,305000000.0
,otherWorkingCapital,3023000000.0,719000000.0,10919000000.0,12372000000.0,7613000000.0,8235000000.0,9822000000.0,11196000000.0,5808000000.0,8805000000.0,7554000000.0,12933000000.0,6569000000.0,8867000000.0,4569000000.0,10509000000.0,7172000000.0,7098000000.0,7102000000.0,7342000000.0,7474000000.0,3577000000.0,5533000000.0,6911000000.0,6695000000.0,9043000000.0,12112000000.0
,otherNonCashItems,-1000000.0,-1000000.0,-1000000.0,1000000.0,0.0,-200000000.0,-1000000.0,2000000.0,-1000000.0,-1000000.0,734000000.0,0.0,0.0,1000000.0,-71000000.0,33000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,-355000000.0,-445000000.0,-1056000000.0,-618000000.0,-2783000000.0
,netCashProvidedByOperatingActivites,18197000000.0,14770000000.0,15247000000.0,16724000000.0,16958000000.0,17008000000.0,16868000000.0,17485000000.0,19586000000.0,19846000000.0,19549000000.0,20773000000.0,18812000000.0,16094000000.0,15019000000.0,14914000000.0,15406000000.0,14407000000.0,13066000000.0,14265000000.0,9274000000.0,10111000000.0,9273000000.0,8865000000.0,10275000000.0,10708000000.0,11793000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2618000000.0,-2286000000.0,-3395000000.0,-3229000000.0,-3567000000.0,-3579000000.0,-3740000000.0,-3623000000.0,-4082000000.0,-4108000000.0,-4185000000.0,-3447000000.0,-4171000000.0,-4630000000.0,-4362000000.0,-3842000000.0,-4368000000.0,-4393000000.0,-4753000000.0,-5660000000.0,-5616000000.0,-5959000000.0,-6520000000.0,-6793000000.0,-5883000000.0,-4744000000.0,-3078000000.0
,acquisitionsNet,167000000.0,-31554000000.0,-139000000.0,-701000000.0,-6150000000.0,-3750000000.0,1701000000.0,-2759000000.0,-3123000000.0,-1797000000.0,-5867000000.0,-794000000.0,-6242000000.0,-699000000.0,-3799000000.0,-550000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-6246000000.0,-3693000000.0,-7041000000.0,-4964000000.0,-5917000000.0,-3073000000.0,-2338000000.0,-4608000000.0,-4109000000.0,-1594000000.0,-6129000000.0,-5604000000.0,-4590000000.0,-30449000000.0,-28555000000.0,-4526000000.0,-8718000000.0,-6471000000.0,-1582000000.0,-778000000.0,-1079000000.0,-3949000000.0,-4211000000.0,-1617000000.0,-1613000000.0,-1315000000.0,-3866000000.0
,salesMaturitiesOfInvestments,5618000000.0,3961000000.0,6487000000.0,3910000000.0,5692000000.0,2842000000.0,2493000000.0,4873000000.0,3142000000.0,3345000000.0,7877000000.0,3599000000.0,6100000000.0,31441000000.0,25542000000.0,4180000000.0,8830000000.0,7023000000.0,1185000000.0,738000000.0,1393000000.0,2616000000.0,3945000000.0,1439000000.0,1470000000.0,3149000000.0,2476000000.0
