Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,1040552.2431,449104.1415,216184.3053
Stock-based compensation,4835153.835,0.0,590352.7718
Operating Cash Flow,26741872.2142,89072463.1197,11954873.0022
Capital Expenditure,-2082403.0391,-1411956.9226,-307296.9042
Acquisitions and disposals,836859.479,-28937444.2261,910618.7185
Investment purchases and sales,-235895899.2764,5726390.5683,-39773779.5536
Investing Cash flow,-237141442.8365,-24623010.5804,-39170457.7394
Issuance (repayment) of debt,78609043.8495,-2202614.873,27267028.6537
Issuance (buybacks) of shares,518016495.2243,105601829.5042,0.0
Dividend payments,-3916576.8452,0.0,-147300.216
Financing Cash Flow,592059337.6266,103641052.5998,26946942.2606
Effect of forex changes on cash,15987908.8278,-3839702.6904,0.0
Net cash flow / Change in cash,397647675.8321,164250802.4486,-268642.4766
Free Cash Flow,24659469.1751,87660506.1971,11647576.0979
Net Cash/Marketcap,,,
