Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,1044786000.0,384002000.0,150032000.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,1044786000.0,384002000.0,150032000.0
Receivables,104128000.0,27373000.0,22648000.0
Inventories,60954000.0,50610000.0,13591000.0
Total current assets,1199410000.0,452792000.0,180904000.0
Property Plant & Equipment Net,37528000.0,26696000.0,15795000.0
Goodwill and Intangible Assets,103345000.0,74041000.0,42943000.0
Long-term investments,652000.0,336000.0,23000.0
Tax assets,0.0,0.0,0.0
Total non-current assets,151983000.0,110266000.0,64128000.0
Total assets,1351393000.0,563058000.0,245032000.0
Payables,194158000.0,136744000.0,84388000.0
Short-term debt,0.0,0.0,2673000.0
Total current liabilities,194158000.0,155890000.0,89425000.0
Long-term debt,0.0,0.0,17340000.0
Total debt,0.0,0.0,20013000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,28804000.0,10265000.0,36691000.0
Total liabilities,222962000.0,166155000.0,126116000.0
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-483357000.0,-329177000.0,-216901000.0
Total shareholders equity,1128431000.0,396903000.0,118917000.0
Investments,652000.0,336000.0,23000.0
Net Debt,,,
Other Assets,-10868000.0,,
Other Liabilities,0.0,19146000.0,2364000.0
