date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-11-28_FY,2007-11-30_FY,2006-11-24_FY,2005-11-25_FY,2004-11-26_FY,2003-11-28_FY,2002-11-29_FY,2001-11-30_FY,2000-11-24_FY,1999-11-26_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8466000000.0,10459000000.0,4286000000.0,7398000000.0,6083000000.0,8477000000.0,8040000000.0,7475000000.0,4442000000.0,8354000000.0,13385000000.0,2322000000.0,11599000000.0,9537000000.0,5626000000.0,4553000000.0,3005000000.0,2114000000.0,2310000000.0,3067000000.0,2708000000.0
,depreciationAndAmortization,1704000000.0,1328000000.0,1152000000.0,998000000.0,991000000.0,1337000000.0,1322000000.0,1738000000.0,1869000000.0,1904000000.0,1943000000.0,1625000000.0,1167000000.0,995000000.0,854000000.0,624000000.0,881000000.0,744000000.0,873000000.0,486000000.0,337000000.0
,deferredIncomeTax,-334000000.0,-2645000000.0,5458000000.0,551000000.0,425000000.0,495000000.0,29000000.0,-356000000.0,726000000.0,1339000000.0,-431000000.0,-1763000000.0,129000000.0,-1505000000.0,-450000000.0,1040000000.0,93000000.0,230000000.0,52000000.0,-352000000.0,-1387000000.0
,stockBasedCompensation,2018000000.0,1831000000.0,1769000000.0,2111000000.0,2272000000.0,2085000000.0,2015000000.0,1319000000.0,2849000000.0,4035000000.0,2009000000.0,1611000000.0,0.0,3654000000.0,1756000000.0,1224000000.0,67000000.0,31000000.0,0.0,0.0,0.0
,changeInWorkingCapital,10969000000.0,8934000000.0,-30293000000.0,-5491000000.0,-2776000000.0,-19728000000.0,-6652000000.0,3197000000.0,11759000000.0,-21789000000.0,31969000000.0,-1901000000.0,-93519000000.0,-60298000000.0,-20199000000.0,-41053000000.0,-20345000000.0,-13804000000.0,-19200000000.0,6589000000.0,-17236000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6587000000.0,0.0,-1794000000.0,1322000000.0,-776000000.0,-12025000000.0,-6568000000.0,0.0,-4656000000.0,-15356000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,1631000000.0,-17661000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22614000000.0,-12596000000.0
,otherWorkingCapital,12427000000.0,8934000000.0,-211000000.0,10322000000.0,-16785000000.0,-30010000000.0,-2827000000.0,12879000000.0,-15878000000.0,-28470000000.0,7076000000.0,54006000000.0,0.0,33086000000.0,43433000000.0,39621000000.0,-37869000000.0,-35000000000.0,0.0,0.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611000000.0,12427000000.0,3654000000.0,1756000000.0,1224000000.0,711000000.0,639000000.0,789000000.0,1345000000.0,2989000000.0
,netCashProvidedByOperatingActivites,23868000000.0,20421000000.0,-17742000000.0,5570000000.0,6961000000.0,-7623000000.0,4543000000.0,12879000000.0,21645000000.0,-6157000000.0,48875000000.0,1894000000.0,-68197000000.0,-47617000000.0,-12413000000.0,-33612000000.0,-15655000000.0,-10077000000.0,-15176000000.0,11135000000.0,-12589000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-8443000000.0,-7982000000.0,-3185000000.0,-2876000000.0,-1833000000.0,-678000000.0,-706000000.0,-961000000.0,-1184000000.0,-1227000000.0,-1556000000.0,-2027000000.0,-2037000000.0,-1744000000.0,-1421000000.0,-608000000.0,-8000000.0,-44000000.0,-1370000000.0,-1552000000.0,-656000000.0
,acquisitionsNet,-803000000.0,-162000000.0,-2383000000.0,14922000000.0,-1808000000.0,-1732000000.0,-2274000000.0,-593000000.0,-431000000.0,-804000000.0,-221000000.0,-2613000000.0,-1900000000.0,-1661000000.0,-556000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-29773000000.0,-3790000000.0,-9853000000.0,0.0,0.0,0.0,-738000000.0,-5220000000.0,-2752000000.0,-1885000000.0,-2722000000.0,-130999000000.0,-872000000.0,-12922000000.0,62269000000.0,-12912000000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,17812000000.0,411000000.0,2887000000.0,1512000000.0,1019000000.0,1514000000.0,3320000000.0,5732000000.0,5774000000.0,3659000000.0,2856000000.0,0.0,5205000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-225000000.0,0.0,0.0
,netCashUsedForInvestingActivites,-24236000000.0,-22677000000.0,-29116000000.0,9270000000.0,-18574000000.0,-14909000000.0,-8728000000.0,-3734000000.0,1485000000.0,-185000000.0,-1561000000.0,-4337000000.0,396000000.0,-9748000000.0,-1064000000.0,-863000000.0,-2661000000.0,-1103000000.0,-1909000000.0,-3656000000.0,-654000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-51610000000.0,-46725000000.0,-35482000000.0,-43932000000.0,-36023000000.0,-37385000000.0,-34103000000.0,-48011000000.0,-38065000000.0,-27456000000.0,-55926000000.0,0.0,-22178000000.0,0.0,0.0,0.0,0.0,0.0,-144000000.0,0.0,0.0
,commonStockIssued,0.0,38000000.0,7000000.0,6000000.0,259000000.0,123000000.0,65000000.0,317000000.0,368000000.0,581000000.0,6260000000.0,6105000000.0,0.0,1613000000.0,1143000000.0,521000000.0,143000000.0,60000000.0,0.0,0.0,0.0
