date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1602148000000.0,1864405000000.0,1711902000000.0,2756230000000.0,1354807000000.0,171494000000.0,632706000000.0,1376396000000.0,2462081000000.0,3714286000000.0,4181285000000.0,3218425000000.0,4350104000000.0,3560674164852.0,3161212622351.85,3969049666595.72,3685000000000.0,2093750000000.0,1089232502595.26
,depreciationAndAmortization,3621739000000.0,3461115000000.0,3267629000000.0,3297420000000.0,3213847000000.0,3218246000000.0,3238549000000.0,2685550000000.0,2563760000000.0,2251915000000.0,2950883000000.0,2552777000000.0,2379291000000.0,2127932588780.88,1700455064471.13,1595473169329.1,1514000000000.0,1645000000000.0,1453177935448.98
,deferredIncomeTax,236934000000.0,1088369000000.0,1683630000000.0,1185740000000.0,379544000000.0,266560000000.0,823841000000.0,590997000000.0,982879000000.0,0.0,0.0,0.0,0.0,-20138576821.72,-56734675601.67,0.0,133000000000.0,0.0,-137763938268.7
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10436000000.0,36100000000.0,-55155000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2803586000000.0,-114045000000.0,-2105726000000.0,-1841633000000.0,-404570000000.0,2784452000000.0,-1853782000000.0,-116432000000.0,1933358000000.0,-4850747000000.0,-5827660000000.0,2911017000000.0,-4394703000000.0,-596316480664.94,-1650874651244.61,-680951334299.72,-859000000000.0,-527500000000.0,328259786365.26
,accountsReceivables,0.0,286121000000.0,17806000000.0,63075000000.0,273419000000.0,1586113000000.0,-97703000000.0,-612379000000.0,87830000000.0,-2402346000000.0,-2254772000000.0,713418000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,1136819000000.0,-1451009000000.0,-1435170000000.0,-889998000000.0,2456068000000.0,-1130138000000.0,582287000000.0,1450431000000.0,-2538178000000.0,-4216445000000.0,3344506000000.0,-3393710000000.0,-461486892364.12,-362597355414.36,-699043669671.17,-873000000000.0,-411250000000.0,69946619193.3
,accountsPayables,0.0,-732741000000.0,379742000000.0,-607999000000.0,769337000000.0,-894129000000.0,-385914000000.0,47323000000.0,225086000000.0,265993000000.0,0.0,-68766000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-512347000000.0,-720723000000.0,-397318000000.0,-284858000000.0,-247336000000.0,-461267000000.0,-328940000000.0,-214991000000.0,-250762000000.0,-34832000000.0,136587000000.0,-173804000000.0,-164749064019.68,-210276766858.95,-492131508113.24,0.0,-28750000000.0,22080664286.68
,otherNonCashItems,237987000000.0,343217000000.0,508425000000.0,30866000000.0,626121000000.0,665879000000.0,811187000000.0,704204000000.0,89683000000.0,467059000000.0,467524000000.0,62118000000.0,406957000000.0,936329.59,304146189087.84,0.0,1000000000.0,-162500000000.0,-16096085403.78
,netCashProvidedByOperatingActivites,8685737000000.0,6004655000000.0,5869725000000.0,5607310000000.0,5269418000000.0,7601829000000.0,3412099000000.0,4858135000000.0,7319456000000.0,1691566000000.0,2024565000000.0,8632854000000.0,3687015000000.0,5593238775902.61,3723780703673.58,5437950436560.93,4778000000000.0,3668750000000.0,3197079476967.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-726000000.0,-7287000000.0,26711000000.0,-63398000000.0,-34111000000.0,-60358000000.0,-363436000000.0,-12481000000.0,-7502757000000.0,-5905721000000.0,-6104855000000.0,-6507705000000.0,-4224420000000.0,-2975876410803.24,-3663714173207.55,-3405677027249.89,0.0,0.0,-1688754447824.4
,acquisitionsNet,0.0,-267000000.0,408000000.0,-204000000.0,23000000.0,423000000.0,-340000000.0,11000000.0,-76000000.0,-398000000.0,9000000.0,130000000.0,-221000000.0,0.0,5000000.0,34000000.0,0.0,0.0,0.0
,purchasesOfInvestments,-43645790000000.0,-36360233000000.0,-32495050000000.0,-20932340000000.0,-18915209000000.0,-13160547000000.0,-3196867000000.0,-4891742000000.0,-3923958000000.0,-5840935000000.0,-17079907000000.0,-14783600000000.0,-14002339000000.0,-12114648902087.6,-16021609993034.9,-14685449190607.2,-11678000000000.0,-14655000000000.0,-13407890861396.2
,salesMaturitiesOfInvestments,40948884000000.0,35478314000000.0,31327190000000.0,20153490000000.0,17457475000000.0,10903540000000.0,4887176000000.0,4202185000000.0,4567934000000.0,7104891000000.0,18958959000000.0,10991210000000.0,12551996000000.0,10928382045640.1,16309470366506.5,14382009598217.7,11618000000000.0,13607500000000.0,12973182676490.7
,otherInvestingActivites,-97161000000.0,85123000000.0,418865000000.0,-199739000000.0,286638000000.0,155984000000.0,-273315000000.0,-48396000000.0,965977000000.0,107214000000.0,278431000000.0,39783000000.0,97252000000.0,-138959738122.31,-253956355123.35,-59138602998.2,-1089000000000.0,97500000000.0,-113225385489.38
,netCashUsedForInvestingActivites,-6259265000000.0,-3682859000000.0,-2647970000000.0,-3817874000000.0,-3754627000000.0,-4534676000000.0,-3745182000000.0,-8751670000000.0,-6169003000000.0,-5516866000000.0,-6889927000000.0,-9716929000000.0,-5802769000000.0,-4266125477208.98,-3223495066942.26,-3702684122385.24,-3265000000000.0,-2238750000000.0,-2145455515284.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3861369000000.0,-3914272000000.0,-3136308000000.0,-3136016000000.0,-4274895000000.0,-3509970000000.0,-2802150000000.0,-2845957000000.0,-1884140000000.0,-1746487000000.0,-4163696000000.0,-7245842000000.0,-9941790000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,43188000000.0,14019000000.0,0.0,164384000000.0,0.0,249124000000.0,364753000000.0,407220974646.08,66558147584.61,921794743995.6,0.0,0.0,0.0
