date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,582191000000.0,916271000000.0,490794000000.0,73289000000.0,147791000000.0,-125980000000.0,-128369000000.0,43034000000.0,-456660000000.0,-259585000000.0,-40802000000.0,-98938000000.0,369435000000.0,126328000000.0,123587572500.0,164173508660.0,88719771050.0,115377809160.0,15284625850.0,16898709180.0,118064116200.0,179230675750.0,223901783086.65,139213373814.52,54813826062.0,-284782413741.0,15236082180.0,36258182884.0,120234913606.0,117338302620.0,102181056498.0
,depreciationAndAmortization,746451000000.0,722519000000.0,720718000000.0,624553000000.0,696678000000.0,627565000000.0,662368000000.0,538605000000.0,319594000000.0,325366000000.0,371004000000.0,405443000000.0,428010000000.0,400009000000.0,668432213550.0,649509433020.0,673686440100.0,663127469620.0,597828235420.0,598138639110.0,297163989600.0,307490767300.0,304156147957.05,266060802143.52,229676143005.0,213416170681.0,238195881408.0,274480301788.0,265449563932.0,214866242460.0,163760160414.0
,deferredIncomeTax,4799000000.0,-121650000000.0,24085000000.0,23798000000.0,211000000.0,7982000000.0,-6661000000.0,65771000000.0,206694000000.0,307421000000.0,-34740000000.0,-153262000000.0,20040000000.0,-13193000000.0,80155368450.0,-69486893280.0,-34507925050.0,-97917772600.0,-49841171250.0,-5674939650.0,-25380188600.0,18578063400.0,4794302871.15,-5480269368.24,5119384302.0,-18385879568.0,18673178160.0,-33524750028.0,17140351260.0,6236595690.0,-1037850066.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,1068000000.0,1232000000.0,1952000000.0,1952000000.0,2202000000.0,3446000000.0,4130000000.0,3838000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-157193000000.0,83737000000.0,-78342000000.0,-15369000000.0,-247422000000.0,197219000000.0,115243000000.0,119952000000.0,-56276000000.0,-131574000000.0,301664000000.0,-306011000000.0,-282513000000.0,-182465000000.0,-313794731700.0,-118599543160.0,-191201010700.0,72199610640.0,127460488610.0,-173653153290.0,123921082800.0,226390375150.0,53618121533.55,334141210389.6,-33340258017.0,-80835662236.0,49114562556.0,128448374208.0,-203212815636.0,-136824136665.0,-73467204672.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104515000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,40315000000.0,30455000000.0,-51508000000.0,11199000000.0,-57804000000.0,113485000000.0,20248000000.0,56987000000.0,29778000000.0,-112089000000.0,148584000000.0,160432000000.0,-140725000000.0,-119202000000.0,-164783430000.0,34100049480.0,-78815683800.0,35981832100.0,291338259680.0,-104040560250.0,-67714754200.0,43586994900.0,-96931879035.9,41751002786.48,-69872098716.0,-84205254826.0,12968624832.0,68726311808.0,-158342299198.0,-132788692395.0,-109288756950.0
,accountsPayables,-91435000000.0,18534000000.0,-87939000000.0,-1386000000.0,-49525000000.0,-118577000000.0,103379000000.0,-206621000000.0,0.0,-18119000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,60056000000.0,44378000000.0,46144000000.0,9390000000.0,1227000000.0,128072000000.0,47015000000.0,190750000000.0,38150000000.0,-64464000000.0,-92181000000.0,-148501000000.0,-201107000000.0,-122876000000.0,-186322978350.0,64875880300.0,0.0,0.0,-62866330670.0,71882568900.0,84669131200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,16329000000.0,-181721000000.0,83756000000.0,83351000000.0,92628000000.0,69013000000.0,61745000000.0,-227995000000.0,156667000000.0,113990000000.0,23578000000.0,0.0,0.0,0.0,-49670433900.0,0.0,39095081250.0,47897127320.0,-46385516710.0,-13998184470.0,-30004109600.0,-49898772850.0,-32629288288.35,-44952344582.36,-38898752688.0,57559553422.0,10259988.0,9188009600.0,13566122974.0,-39253866990.0,-7673800488.0
,netCashProvidedByOperatingActivites,1349745000000.0,1258738000000.0,1254972000000.0,809262000000.0,749089000000.0,754640000000.0,664116000000.0,481512000000.0,519539000000.0,616245000000.0,912907000000.0,407153000000.0,757684000000.0,561028000000.0,399835222650.0,647257542960.0,634174344650.0,852592460940.0,738845522610.0,549586377660.0,561755024600.0,663927586250.0,617406738300.75,721856466637.84,236605518828.0,176627131583.0,336496826436.0,415470309100.0,151007823310.0,168063554895.0,214583363646.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-439761000000.0,-312644000000.0,-262989000000.0,-333509000000.0,-375411000000.0,-215916000000.0,-283457000000.0,-326490000000.0,-382549000000.0,-253688000000.0,-338050000000.0,-496125000000.0,-474552000000.0,-527515000000.0,-462452926050.0,-453702230660.0,-428377836950.0,-274877602600.0,-389159865120.0,-472154978880.0,-390669947600.0,-368703104400.0,-381174960621.9,-297659802117.84,-252756212400.0,-216353764221.0,-197361129168.0,-267853449864.0,-445237232846.0,-404362803810.0,-324013645605.0
,acquisitionsNet,118000000.0,-2198000000.0,402000000.0,30000000.0,148000000.0,1000000.0,150000000.0,561000000.0,-773000000.0,1162000000.0,17616000000.0,22000000.0,0.0,388000000.0,683000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
