date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1492200000.0,1556400000.0,1199000000.0,1032500000.0,973800000.0,811800000.0,731300000.0,687300000.0,603600000.0,669500000.0,864200000.0,794800000.0,726900000.0,665400000.0,584400000.0,505600000.0,404800000.0,447100000.0,487500000.0,485100000.0,405000000.0,353900000.0,309400000.0,258800000.0,220000000.0,182200000.0
,depreciationAndAmortization,458900000.0,460900000.0,421700000.0,373300000.0,351600000.0,335700000.0,318500000.0,289400000.0,265100000.0,249500000.0,243700000.0,200100000.0,-44700000.0,38400000.0,-84200000.0,176400000.0,186300000.0,57700000.0,23800000.0,-88800000.0,34300000.0,-108400000.0,-89700000.0,-31100000.0,42200000.0,41400000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97200000.0,12100000.0,215800000.0,-60700000.0,-70300000.0,83900000.0,70900000.0,96500000.0,87900000.0,95600000.0,129500000.0,88400000.0,95300000.0,57000000.0,38000000.0,29500000.0,17700000.0,22700000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1043700000.0,-987600000.0,337700000.0,-614500000.0,837600000.0,-324000000.0,-432900000.0,-81600000.0,-118100000.0,-164800000.0,73300000.0,81300000.0,-77200000.0,-134200000.0,-117300000.0,12500000.0,-85700000.0,3100000.0,47400000.0,-40800000.0,8300000.0,-33700000.0,15900000.0,27100000.0,-32500000.0,28100000.0
,accountsReceivables,-50300000.0,-197000000.0,-119300000.0,-129200000.0,-16200000.0,20900000.0,-206200000.0,-41900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-23600000.0,28500000.0,10700000.0,-100000.0,-8200000.0,-4500000.0,-11200000.0,-10000000.0,5000000.0,7700000.0,-13800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1154000000.0,-699600000.0,486200000.0,-180400000.0,801400000.0,-359200000.0,-250600000.0,-127900000.0,172100000.0,-377800000.0,-7600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-448200000.0,729900000.0,-302100000.0,653400000.0,-318100000.0,86100000.0,209500000.0,4300000.0,461800000.0,0.0,-439000000.0,-216500000.0,346000000.0,-259200000.0,131500000.0,-141800000.0,-84600000.0,95200000.0,37300000.0,-72800000.0,-30500000.0,162400000.0,-68500000.0,-20400000.0,-105600000.0,143200000.0
,netCashProvidedByOperatingActivites,2592000000.0,1767500000.0,1720400000.0,1510000000.0,1834400000.0,936000000.0,839300000.0,814400000.0,1254300000.0,790200000.0,1014700000.0,855300000.0,880700000.0,388500000.0,585100000.0,654000000.0,511400000.0,698700000.0,725500000.0,371100000.0,510500000.0,430900000.0,201100000.0,348000000.0,141800000.0,387700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-158000000.0,-97600000.0,-91600000.0,-111300000.0,-98500000.0,-81900000.0,-91900000.0,-73300000.0,-96900000.0,-90500000.0,-132600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-11000000.0,-104000000.0,-189000000.0,-17000000.0,0.0,0.0,0.0,0.0,-173000000.0,0.0,0.0,0.0,0.0,0.0,-465000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-26965300000.0,-34060000000.0,-21735200000.0,-23315100000.0,-19565800000.0,-19806700000.0,-13883500000.0,-23344900000.0,-33449700000.0,-15145600000.0,-14359400000.0,-15518000000.0,-57656700000.0,-87145500000.0,-60394300000.0,-17127500000.0,-20502400000.0,-29211600000.0,-68400700000.0,-41158300000.0,-46166200000.0,-111039600000.0,-77663400000.0,-34595700000.0,-31868400000.0,-13594200000.0
,salesMaturitiesOfInvestments,27348100000.0,28995400000.0,20028200000.0,15343800000.0,15204400000.0,16384300000.0,14310300000.0,23404200000.0,23355800000.0,11861600000.0,12145100000.0,12077700000.0,58812200000.0,89598500000.0,54934800000.0,16891200000.0,18076100000.0,31619900000.0,66541300000.0,40958500000.0,46018200000.0,111502500000.0,76408500000.0,34724200000.0,32287200000.0,12474400000.0
,otherInvestingActivites,-453900000.0,-923300000.0,-566800000.0,1331500000.0,-817900000.0,-381500000.0,800000000.0,-1432000000.0,85800000.0,614700000.0,-148400000.0,-10598900000.0,-8371200000.0,-7597700000.0,1938600000.0,-3192300000.0,61800000.0,-1634900000.0,-1689800000.0,-6147100000.0,-885400000.0,-2170200000.0,-1688000000.0,-1679100000.0,-961100000.0,-746600000.0
,netCashUsedForInvestingActivites,-3405000000.0,4327100000.0,-14021600000.0,-10192100000.0,-6900700000.0,-8212400000.0,-5683300000.0,1627600000.0,-15388400000.0,-1768000000.0,-1678600000.0,-14347200000.0,-7469200000.0,-5383200000.0,-4071700000.0,-3482100000.0,-2579700000.0,663000000.0,-3679000000.0,-6516500000.0,-1133300000.0,-1791800000.0,-3000400000.0,-1607400000.0,-584100000.0,-1911200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
