date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-543876000.0,-113635000.0,-126966000.0,-67008000.0,-46285000.0,270939000.0,-31401000.0,-41283000.0,-53780000.0,2109000.0,-51740000.0,-250242000.0,129194000.0,30160000.0,37796000.0,9437000.0,1419207.0,-3920201.0,-3093000.0,-2906000.0
,depreciationAndAmortization,252458000.0,268746000.0,258221000.0,246493000.0,243707000.0,210243000.0,110931000.0,127990000.0,136527000.0,134273000.0,145326000.0,157107000.0,174365000.0,168586000.0,52863000.0,30291000.0,10767785.0,5797128.0,0.0,4446000.0
,deferredIncomeTax,-1058000.0,-159000.0,135000.0,2324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,10746000.0,19717000.0,26939000.0,12287000.0,9672000.0,3470000.0,19155000.0,25539000.0,17440000.0,12391000.0,7067000.0,5037000.0,6834000.0,6225000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-322201000.0,-11568000.0,-57968000.0,-23215000.0,141460000.0,-17291000.0,101132000.0,-61580000.0,94659000.0,-2250000.0,-35722000.0,-226887000.0,266947000.0,378778000.0,-1544696000.0,1407196000.0,-21100000.0,-45400000.0,0.0,0.0
,accountsReceivables,15738000.0,-6639000.0,5553000.0,2037000.0,-880000.0,5325000.0,-174000.0,633000.0,-8757000.0,-2725000.0,3065000.0,-4677000.0,13607000.0,9950000.0,24960000.0,-6227000.0,-21919290.0,1129794.0,0.0,0.0
,inventory,15738000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11130000.0,-2415000.0,10171789.0,2685334.0,0.0,0.0
,otherWorkingCapital,20294000.0,342495000.0,354063000.0,412031000.0,435246000.0,293786000.0,311077000.0,209945000.0,271525000.0,176866000.0,179116000.0,214838000.0,441725000.0,174778000.0,-204000000.0,1340696000.0,-66500000.0,-45400000.0,0.0,0.0
,otherNonCashItems,24116000.0,30676000.0,28507000.0,-709000.0,2411000.0,-368267000.0,17585000.0,9600000.0,10228000.0,-20500000.0,-12284000.0,31782000.0,-63143000.0,14382000.0,10904000.0,21486000.0,6211951.0,-357943.0,0.0,-3338000.0
,netCashProvidedByOperatingActivites,-149531000.0,177209000.0,181560000.0,207382000.0,175055000.0,208955000.0,111319000.0,145457000.0,130635000.0,74593000.0,82647000.0,65614000.0,144943000.0,155737000.0,139691000.0,56528000.0,6651442.0,5734806.0,623000.0,1108000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81403000.0,-67797000.0,-62205000.0,-72670000.0,-127293000.0,-2186426000.0,-588387000.0,-651835000.0,-240885295.0,-79188930.0,0.0,0.0
,acquisitionsNet,-430000.0,11145000.0,-667000.0,-984000.0,-2321000.0,0.0,-30919000.0,-162822000.0,0.0,-12000000.0,0.0,0.0,0.0,0.0,17445000.0,28212000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1997000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145351000.0,-15000000.0,0.0,-155916000.0,-21500000.0,-37308000.0,-55494000.0,-87824342.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,50942000.0,0.0,0.0,0.0,0.0,5216000.0,22611000.0,28284000.0,13355000.0,23165000.0,30083000.0,42777000.0,26850000.0,18085993.0,0.0,0.0,0.0
,otherInvestingActivites,-5177000.0,-264338000.0,-328967000.0,-113839000.0,-5595000.0,-853544000.0,-176326000.0,-191176000.0,7741000.0,154763000.0,1445000.0,14561000.0,428499000.0,304943000.0,0.0,0.0,0.0,-10000000.0,-1080000.0,-24899000.0
,netCashUsedForInvestingActivites,-7604000.0,-253193000.0,-329634000.0,-63881000.0,-7916000.0,-853544000.0,-207245000.0,-353998000.0,-68446000.0,-47774000.0,-47476000.0,-44754000.0,168455000.0,-1872900000.0,-565473000.0,-652267000.0,-310623644.0,-89188930.0,-1080000.0,-24899000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-137849000.0,-272357000.0,-2463100000.0,-754836000.0,-559037000.0,-1550299000.0,-514657000.0,-184815000.0,-353409000.0,-235753000.0,-365702000.0,-196772000.0,-741634000.0,-832090000.0,-271444000.0,-524588000.0,-133386016.0,-64048857.0,0.0,0.0
,commonStockIssued,31873000.0,0.0,14752000.0,0.0,0.0,110870000.0,85840000.0,140111000.0,0.0,86027000.0,70443000.0,0.0,0.0,548249000.0,290092000.0,145524000.0,0.0,206581981.0,0.0,0.0
,commonStockRepurchased,-399000.0,-1031000.0,-1598000.0,-219697000.0,-116479000.0,-52292000.0,-458000.0,-401000.0,-499000.0,-72986000.0,-50347000.0,-92445000.0,-106809000.0,-214619000.0,0.0,-582000.0,0.0,-224774569.0,0.0,0.0
,dividendsPaid,-28619000.0,-86210000.0,-97445000.0,-101592000.0,-91465000.0,-91282000.0,-85417000.0,-78829000.0,-71564000.0,-56474000.0,-24008000.0,-23839000.0,-139974000.0,-124528000.0,-66093000.0,-38178000.0,-9512175.0,-1850750.0,0.0,0.0
,otherFinancingActivites,61235000.0,393977000.0,2663205000.0,912223000.0,732831000.0,2227607000.0,696901000.0,275320000.0,381609000.0,202286000.0,386965000.0,215767000.0,824345000.0,2359010000.0,488575000.0,1024449000.0,417725298.0,245810986.0,0.0,0.0
