date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2105200000.0,2116500000.0,1962200000.0,4063400000.0,1534100000.0,1247000000.0,1127100000.0,976800000.0,896300000.0,1812300000.0,951400000.0,825800000.0,715486000.0,658533000.0,407348000.0,306857000.0,219555000.0,122132000.0,94067000.0,68302000.0,-5909000.0
,depreciationAndAmortization,464400000.0,473300000.0,248700000.0,208500000.0,225300000.0,228600000.0,233200000.0,238100000.0,253100000.0,260500000.0,258000000.0,251400000.0,238371000.0,142695000.0,75323000.0,68221000.0,56928000.0,53016000.0,48509000.0,37639000.0,33489000.0
,deferredIncomeTax,-41600000.0,-3700000.0,114300000.0,-2357800000.0,-83000000.0,63300000.0,78900000.0,-6000000.0,82200000.0,-658700000.0,22300000.0,-56900000.0,-115111000.0,-50583000.0,-24847000.0,-3245000.0,4263000.0,3310000.0,-5637000.0,-8878000.0,811000.0
,stockBasedCompensation,96000000.0,73100000.0,96500000.0,58000000.0,66200000.0,60800000.0,54800000.0,54400000.0,61400000.0,51300000.0,40900000.0,33400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,59200000.0,431200000.0,-619500000.0,147700000.0,5900000.0,65900000.0,-80500000.0,-6400000.0,-229600000.0,724300000.0,430900000.0,-293153000.0,-442439000.0,-363906000.0,321403000.0,284253000.0,233838000.0,109767000.0,181372000.0,75127000.0,-2733000.0
,accountsReceivables,28200000.0,60800000.0,-65500000.0,6000000.0,-8100000.0,-17300000.0,-38500000.0,-35500000.0,-300000.0,-13200000.0,-28700000.0,-14400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,7400000.0,-54100000.0,32300000.0,5100000.0,-2600000.0,-8200000.0,700000.0,-5500000.0,11200000.0,-21000000.0,6100000.0,-24300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,42800000.0,1045300000.0,614100000.0,1233600000.0,1085900000.0,1080000000.0,1014100000.0,1094600000.0,1101000000.0,1330600000.0,606300000.0,175400000.0,468553000.0,910992000.0,1274898000.0,953495000.0,669242000.0,435404000.0,325637000.0,144265000.0,69138000.0
,otherNonCashItems,8600000.0,11900000.0,11300000.0,600000.0,300000.0,67400000.0,6300000.0,6100000.0,4900000.0,-300000.0,4000000.0,-4300000.0,361780000.0,45708000.0,16359000.0,0.0,0.0,0.0,0.0,0.0,7311000.0
,netCashProvidedByOperatingActivites,2715600000.0,2672800000.0,2440800000.0,1840400000.0,1716000000.0,1515300000.0,1291400000.0,1280500000.0,1216800000.0,1346300000.0,1356400000.0,1083100000.0,1197197000.0,814374000.0,471696000.0,391593000.0,328806000.0,191149000.0,141138000.0,120569000.0,32969000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-197500000.0,-245600000.0,-116700000.0,-81900000.0,-91800000.0,-114200000.0,-140700000.0,-125600000.0,-141800000.0,0.0,-160000000.0,-157900000.0,-200102000.0,-163644000.0,-87810000.0,-85627000.0,-67496000.0,-63016000.0,-56341000.0,-16302000.0,0.0
,acquisitionsNet,0.0,90000000.0,-1775000000.0,268000000.0,9000000.0,0.0,0.0,0.0,-163000000.0,0.0,-20000000.0,0.0,-2864000000.0,113000000.0,-20000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-11100000.0,-15400000.0,-10000000.0,-3000000.0,-45900000.0,-35300000.0,-38300000.0,-36600000.0,-32500000.0,-10200000.0,-10200000.0,-159900000.0,-367554000.0,-129125000.0,-44772000.0,-70063000.0,-120182000.0,-256416000.0,-43956000.0,-286542000.0,-43116000.0
,salesMaturitiesOfInvestments,12300000.0,18800000.0,11800000.0,266100000.0,191700000.0,184100000.0,37500000.0,164300000.0,5100000.0,11300000.0,59100000.0,865700000.0,375201000.0,203801000.0,73668000.0,75231000.0,68329000.0,0.0,137723000.0,240004000.0,59518000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,-6200000.0,0.0,0.0,17500000.0,39700000.0,-3100000.0,-80578000.0,-105680000.0,-6715000.0,-1874000.0,-6487000.0,-7619000.0,-3071000.0,-15381000.0,-18184000.0
,netCashUsedForInvestingActivites,-175500000.0,-152600000.0,-1889600000.0,179900000.0,53700000.0,17900000.0,-199100000.0,190500000.0,-206000000.0,-153600000.0,-108400000.0,544800000.0,-3749068000.0,-78638000.0,-85860000.0,-82333000.0,-125836000.0,-327051000.0,34355000.0,-78221000.0,-12952000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-661700000.0,-452500000.0,0.0,0.0,-673000000.0,-750000000.0,-750000000.0,0.0,-420500000.0,-399900000.0,-1643600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3611000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21980000.0,40408000.0,16432000.0,0.0,6049000.0,7878000.0,117462000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220400000.0,-575300000.0,-27000000.0,-224029000.0,-949340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
