Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,8751595.7447,134141417.0507,466000000.0,9732866.0436,90000000.0,13309591.1545,000000.0,24170310.1169,95000000.0,34691333.1414,311000000.0,8209271.1683,157791983.2329
Short-term investments,2448670.2128,3022753.4562,,0.0,,0.0,,197508.8968,,3340915.6349,,11952840.3001,107240764.9987
Cash and short-term investments,11200265.9575,137164170.5069,,9732866.0436,,13309591.1545,,24367819.0137,,38032248.7763,,20162111.4684,265032748.2316
Receivables,759840.4255,2080069.1244,5000000.0,1388629.2835,43000000.0,1683723.3222,000000.0,436197.2547,2000000.0,2683270.9473,62000000.0,2793944.2658,45484673.8276
Inventories,0.0,0.0,,827102.8037,,1363589.6117,,0.0,,0.0,,0.0,12586586.3243
Total current assets,11960106.383,139244239.6313,,11948598.1308,,16356904.0885,,33303507.88,,40715519.7236,,22956055.7342,329637673.5656
Property, Plant & Equipment Net,20212.766,239055.2995,,220664.5898,,191051.6842,,498729.029,,1595738.5546,,1852625.9378,305906733.0364
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19495677.2334
Long-term investments,44865159.5745,143493951.6129,,0.0,,0.0,,231656837.8241,,485188021.8831,,787722400.8574,1996285040.6078
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current assets,56104787.234,153777361.7512,,1045430.945,,1116225.2507,,232155566.8531,,486810826.3749,,789993837.0847,2387435158.5014
Total assets,68064893.617,293021601.3825,1017000000.0,12994029.0758,2261000000.0,17473129.3392,2704000000.0,265459074.7331,1044000000.0,527526346.0985,4564000000.0,812949892.8189,2717072832.0671
Payables,4929521.2766,18229550.6912,,928348.9097,,729493.443,,7445094.0519,,2168442.2689,,12931939.9786,68573225.0458
Short-term debt,36177659.5745,224902361.7512,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current liabilities,41107180.8511,243915322.5806,,4697819.3146,,3554127.0249,,7445094.0519,,2168442.2689,,215866291.5327,583434896.5156
Long-term debt,42717553.1915,70078052.9954,243000000.0,0.0,853000000.0,0.0,000000.0,192053380.7829,756000000.0,55938957.6735,000000.0,510098338.6924,1678479172.1247
Total debt,78895212.766,294980414.7465,243000000.0,0.0,853000000.0,0.0,000000.0,192053380.7829,756000000.0,55938957.6735,000000.0,510098338.6924,1678479172.1247
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,28462667.016
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,42948936.1702,91958813.3641,,141744.5483,,224222.1651,,199026944.5857,,57970054.7077,,519673633.4405,1730475766.3086
Total liabilities,84056117.0213,335874135.9447,1166000000.0,4839563.8629,2213000000.0,3778349.19,2399000000.0,206472038.6375,812000000.0,60138496.9767,4973000000.0,735539924.9732,2313910662.8242
Other comprehensive income,0.0,0.0,-870000000.0,0.0,305000000.0,0.0,19000000.0,0.0,-756000000.0,0.0,-687000000.0,0.0,0.0
Retained earnings (deficit),-251487234.0426,-123953341.0138,-430000000.0,-77508047.7674,-407000000.0,-70034970.4294,000000.0,-17063802.7453,-67000000.0,-4970342.6432,-1087000000.0,15900589.4962,60364946.2929
Total shareholders equity,-10557180.8511,-56000864.0553,-194000000.0,8154465.2129,-88000000.0,13694780.1491,19000000.0,58987036.0956,232000000.0,17180823.4955,-1033000000.0,77409967.8457,94217972.2295
Investments,47313829.7872,146516705.0691,,0.0,,0.0,,231854346.7209,,488528937.518,,799675241.1576,2103525805.6065
Net Debt,,,-223000000,,763000000,,0,,661000000,,-311000000,,
Other Assets,,,0,,0,,0,,0,,0,,
Other Liabilities,0.0,783410.1382,0,3769470.4049,0,2824633.5819,0,0.0,0,0.0,0,202934351.5541,514861671.4698
