date,,2019-12-31_FY,2018-12-31_FY,2018-02-05_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,990000000.0,1067000000.0,1428000000.0,1355000000.0,1257000000.0,1450000000.0,1351000000.0,1212000000.0,1077000000.0,1145000000.0,631000000.0,9344000000.0
,depreciationAndAmortization,717000000.0,676000000.0,429000000.0,546000000.0,704000000.0,540000000.0,587000000.0,540000000.0,486000000.0,475000000.0,421000000.0,679000000.0
,deferredIncomeTax,-33000000.0,-14000000.0,-26000000.0,-26000000.0,-125000000.0,-21000000.0,-6000000.0,-50000000.0,-63000000.0,-36000000.0,-14000000.0,-473000000.0
,stockBasedCompensation,66000000.0,58000000.0,62000000.0,62000000.0,68000000.0,74000000.0,76000000.0,47000000.0,21000000.0,14000000.0,0.0,0.0
,changeInWorkingCapital,-175000000.0,-142000000.0,830000000.0,-538000000.0,123000000.0,-289000000.0,48000000.0,-66000000.0,-200000000.0,-137000000.0,175000000.0,337000000.0
,accountsReceivables,-74000000.0,55000000.0,-287000000.0,-287000000.0,-199000000.0,-207000000.0,48000000.0,-237000000.0,198000000.0,-149000000.0,-184000000.0,37000000.0
,inventory,8000000.0,-120000000.0,-224000000.0,-224000000.0,-53000000.0,-38000000.0,9000000.0,-27000000.0,49000000.0,-64000000.0,-130000000.0,189000000.0
,accountsPayables,133000000.0,62000000.0,268000000.0,268000000.0,31000000.0,194000000.0,-3000000.0,254000000.0,-153000000.0,98000000.0,354000000.0,154000000.0
,otherWorkingCapital,-31000000.0,-47000000.0,2101000000.0,-36000000.0,-99000000.0,-67000000.0,-32000000.0,-67000000.0,29000000.0,9000000.0,-19000000.0,112000000.0
,otherNonCashItems,-3000000.0,-67000000.0,0.0,-31000000.0,-13000000.0,-36000000.0,-126000000.0,-123000000.0,10000000.0,0.0,-66000000.0,-10180000000.0
,netCashProvidedByOperatingActivites,1624000000.0,1628000000.0,1106000000.0,1468000000.0,1941000000.0,1703000000.0,2135000000.0,1750000000.0,1478000000.0,1377000000.0,1142000000.0,-98000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-781000000.0,-846000000.0,0.0,-698000000.0,-828000000.0,-704000000.0,-855000000.0,-682000000.0,-705000000.0,-630000000.0,-500000000.0,-409000000.0
,acquisitionsNet,-334000000.0,-1197000000.0,-1197000000.0,-324000000.0,230000000.0,-930000000.0,-345000000.0,-10000000.0,-996000000.0,-17000000.0,0.0,0.0
,purchasesOfInvestments,-10000000.0,-18000000.0,-0.0,-78000000.0,-4000000.0,-23000000.0,0.0,0.0,0.0,0.0,-750000000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72000000.0,200000000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,4000000.0,13000000.0,565000000.0,46000000.0,168000000.0
,netCashUsedForInvestingActivites,-1111000000.0,-2048000000.0,-1093000000.0,-1093000000.0,-574000000.0,-1630000000.0,-1186000000.0,-655000000.0,-1631000000.0,-10000000.0,-911000000.0,-131000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-679000000.0,0.0,-17000000.0,-17000000.0,-896000000.0,-760000000.0,-690000000.0,-1433000000.0,-13000000.0,-1672000000.0,-99000000.0,-509000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042000000.0
,commonStockRepurchased,-420000000.0,-499000000.0,-0.0,-383000000.0,-634000000.0,-1159000000.0,-1024000000.0,-457000000.0,-403000000.0,0.0,0.0,0.0
,dividendsPaid,-226000000.0,-233000000.0,-18000000.0,-310000000.0,-317000000.0,-286000000.0,-301000000.0,-211000000.0,0.0,-93000000.0,0.0,0.0
,otherFinancingActivites,-45000000.0,-78000000.0,0.0,370000000.0,-86000000.0,-122000000.0,-81000000.0,-69000000.0,-47000000.0,-4790000000.0,-27000000.0,-53000000.0
,netCashUsedProvidedByFinancingActivities,-649000000.0,-555000000.0,456000000.0,456000000.0,-1081000000.0,-284000000.0,-1398000000.0,-822000000.0,-105000000.0,-3194000000.0,-126000000.0,2377000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-3000000.0,-54000000.0,0.0,86000000.0,-23000000.0,-45000000.0,-36000000.0,11000000.0,0.0,-29000000.0,7000000.0,36000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-139000000.0,-1029000000.0,758000000.0,758000000.0,259000000.0,-325000000.0,-485000000.0,284000000.0,-258000000.0,-1856000000.0,112000000.0,2148000000.0
,cashAtEndOfPeriod,429000000.0,568000000.0,1596000000.0,1596000000.0,838000000.0,579000000.0,904000000.0,1389000000.0,1105000000.0,1363000000.0,3219000000.0,3107000000.0
,cashAtBeginningOfPeriod,568000000.0,1597000000.0,838000000.0,838000000.0,579000000.0,904000000.0,1389000000.0,1105000000.0,1363000000.0,3219000000.0,3107000000.0,959000000.0
,operatingCashFlow,1624000000.0,1628000000.0,1106000000.0,1468000000.0,1941000000.0,1703000000.0,2135000000.0,1750000000.0,1478000000.0,1377000000.0,1142000000.0,-98000000.0
