Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,47659000.0,76320000.0,43160000.0,59887000.0,77787000.0,92691000.0,32554000.0,31750000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8652000.0
Cash and short-term investments,47659000.0,76320000.0,43160000.0,59887000.0,77787000.0,92691000.0,32554000.0,40402000.0
Receivables,104387000.0,59288000.0,29429000.0,70778000.0,46765000.0,41458000.0,36011000.0,33839000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,155427000.0,138107000.0,124592000.0,134386000.0,126317000.0,136061000.0,69518000.0,74980000.0
Property, Plant & Equipment Net,2789000.0,3194000.0,7141000.0,10094000.0,5574000.0,3388000.0,1995000.0,1943000.0
Goodwill and Intangible Assets,13857000.0,7627000.0,7772000.0,22250000.0,45271000.0,50106000.0,55104000.0,58007000.0
Long-term investments,0.0,0.0,770000.0,600000.0,600000.0,600000.0,1200000.0,1221000.0
Tax assets,193000.0,332000.0,0.0,0.0,194000.0,189000.0,1695000.0,1752000.0
Total non-current assets,19279000.0,12321000.0,29633000.0,33738000.0,51688000.0,54499000.0,60205000.0,63000000.0
Total assets,174706000.0,150428000.0,154225000.0,168124000.0,178005000.0,190560000.0,129723000.0,137980000.0
Payables,109991000.0,59419000.0,32998000.0,58742000.0,37258000.0,32312000.0,21075000.0,16288000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,113174000.0,60954000.0,68424000.0,60238000.0,37293000.0,32786000.0,29106000.0,25379000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,674000.0,0.0,108000.0,15000.0,271000.0,210000.0,35000.0
Tax Liabilities,1153000.0,338000.0,447000.0,510000.0,194000.0,189000.0,1695000.0,1752000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7137000.0,6335000.0,7279000.0,6454000.0,939000.0,742000.0,1623000.0,1127000.0
Total liabilities,120311000.0,67289000.0,75703000.0,66692000.0,38232000.0,33528000.0,30729000.0,26506000.0
Other comprehensive income,-949000.0,-232000.0,-331000.0,-55000.0,98000.0,195000.0,345000.0,396000.0
Retained earnings (deficit),-205834000.0,-196468000.0,-198601000.0,-177654000.0,-134424000.0,-110935000.0,-81570000.0,-64926000.0
Total shareholders equity,54395000.0,83139000.0,78522000.0,101432000.0,139773000.0,157032000.0,-63472000.0,-50608000.0
Investments,0.0,0.0,770000.0,600000.0,600000.0,600000.0,1200000.0,9873000.0
Net Debt,-47659000.0,-76320000.0,-43160000.0,-59887000.0,-77787000.0,-92691000.0,-32554000.0,-40402000.0
Other Assets,3381000.0,2499000.0,52003000.0,3721000.0,1765000.0,1912000.0,953000.0,739000.0
Other Liabilities,3183000.0,1535000.0,35426000.0,1496000.0,35000.0,474000.0,8031000.0,9091000.0
