date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,317000000.0,493000000.0,290000000.0,358000000.0,-277000000.0,699900000.0,1390300000.0,1464600000.0,1848700000.0,1539200000.0,349200000.0,365600000.0,684600000.0,372700000.0,33300000.0,-39000000.0,67732000.0,-18400000.0
,depreciationAndAmortization,892000000.0,875000000.0,888000000.0,883000000.0,678000000.0,479600000.0,392500000.0,410600000.0,419800000.0,0.0,0.0,0.0,100800000.0,84500000.0,94600000.0,97500000.0,108642000.0,0.0
,deferredIncomeTax,-74000000.0,149000000.0,78000000.0,-601000000.0,739000000.0,77900000.0,18500000.0,-34300000.0,-138400000.0,-32900000.0,88600000.0,45700000.0,26400000.0,48000000.0,9400000.0,121500000.0,33800000.0,0.0
,stockBasedCompensation,25000000.0,28000000.0,22000000.0,17000000.0,19000000.0,16800000.0,16600000.0,12600000.0,11900000.0,10600000.0,8300000.0,6600000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,12000000.0,-260000000.0,-316000000.0,-1084000000.0,2057100000.0,-1722900000.0,-167000000.0,-55600000.0,1090000000.0,372600000.0,-408500000.0,188200000.0,-34700000.0,370100000.0,44700000.0,-128994000.0,363994000.0,0.0
,accountsReceivables,-19000000.0,-6000000.0,68000000.0,-57000000.0,18000000.0,-4800000.0,36100000.0,400000.0,53200000.0,-35500000.0,70600000.0,21300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,27000000.0,-26000000.0,-52000000.0,40000000.0,-7000000.0,-71000000.0,63800000.0,-80300000.0,34800000.0,-38500000.0,79800000.0,440300000.0,-416700000.0,-53600000.0,51600000.0,-8900000.0,-26429000.0,0.0
,accountsPayables,0.0,-72000000.0,44000000.0,-1000000.0,-18000000.0,41700000.0,-53200000.0,49500000.0,25500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,19000000.0,309000000.0,569000000.0,885000000.0,1969000000.0,-88100000.0,1634800000.0,1801800000.0,1857400000.0,767400000.0,394800000.0,803300000.0,615100000.0,649800000.0,279700000.0,235000000.0,363994000.0,0.0
,otherNonCashItems,-67000000.0,-82000000.0,-37000000.0,-67000000.0,59000000.0,51400000.0,-3100000.0,67500000.0,-13100000.0,38700000.0,-58600000.0,-95300000.0,264200000.0,-20600000.0,38800000.0,0.0,10579000.0,0.0
,netCashProvidedByOperatingActivites,1231000000.0,1505000000.0,1497000000.0,1631000000.0,617000000.0,1203700000.0,1408600000.0,1466800000.0,2375600000.0,2078900000.0,1194400000.0,681800000.0,638600000.0,690100000.0,203600000.0,137200000.0,344263000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-309000000.0,-404000000.0,-422000000.0,-473000000.0,-2211000000.0,-2469300000.0,-1808500000.0,-823800000.0,-523500000.0,-247200000.0,-258100000.0,-235700000.0,-141800000.0,-105100000.0,-59300000.0,-69400000.0,-33709000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-552000000.0,1372000000.0,-73000000.0,0.0,0.0,-3178000000.0,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28600000.0,-559600000.0,-638200000.0,-1167300000.0,-885700000.0,-684800000.0,-818797000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,9000000.0,0.0,0.0,5000000.0,13500000.0,48400000.0,37900000.0,405300000.0,300800000.0,934100000.0,946200000.0,764800000.0,874900000.0,541232000.0,0.0
,otherInvestingActivites,2000000.0,15000000.0,11000000.0,6000000.0,20000000.0,19800000.0,77000000.0,-149100000.0,-55400000.0,-19200000.0,-27500000.0,-2500000.0,-5000000.0,-21000000.0,-11100000.0,0.0,1963000.0,0.0
,netCashUsedForInvestingActivites,-299000000.0,-319000000.0,-375000000.0,-408000000.0,-2177000000.0,-2975900000.0,-343500000.0,-1019300000.0,-513500000.0,-173800000.0,-3070200000.0,-487700000.0,159500000.0,-343100000.0,-191300000.0,139300000.0,-309311000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-500000000.0,-769000000.0,0.0,-1148000000.0,-1320000000.0,-367000000.0,0.0,0.0,-13000000.0,-346000000.0,-4008700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150000000.0,3200000.0,10100000.0,16600000.0,100000.0,715400000.0,0.0,0.0
,commonStockRepurchased,-100000000.0,-370000000.0,-467000000.0,0.0,0.0,-556300000.0,-1934900000.0,-1409100000.0,-500000000.0,-1000200000.0,0.0,0.0,-500200000.0,0.0,0.0,-715400000.0,0.0,0.0
,dividendsPaid,-258000000.0,-265000000.0,-280000000.0,-280000000.0,-280000000.0,-282300000.0,-255700000.0,-129100000.0,-102700000.0,-68700000.0,-143200000.0,-131700000.0,-22000000.0,-4500000.0,-4400000.0,-1100000.0,-26325000.0,0.0
,otherFinancingActivites,-189000000.0,-198000000.0,-535000000.0,-137000000.0,2645000000.0,-89900000.0,-96300000.0,-950400000.0,-195700000.0,-100000000.0,-223300000.0,0.0,-28400000.0,-17000000.0,-19000000.0,-8400000.0,-50000.0,0.0
,netCashUsedProvidedByFinancingActivities,-542000000.0,-1583000000.0,-1270000000.0,-1564000000.0,2439000000.0,79900000.0,-775100000.0,-980300000.0,-796800000.0,-1499400000.0,1977000000.0,-123900000.0,-540500000.0,-4900000.0,-23300000.0,-290700000.0,-61292000.0,0.0
