date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-12-13_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,843193000.0,-10376000.0,629104000.0,402850000.0,134497000.0,168229000.0,659391000.0,310957000.0,3047795000.0,-468826000.0,94617000.0,-155176000.0,-2890173000.0,-569651000.0,372979000.0
,depreciationAndAmortization,15758000.0,15233000.0,18379000.0,18735000.0,44474000.0,45069000.0,54241000.0,53236000.0,10226000.0,26260000.0,24249000.0,24299000.0,22099000.0,7869000.0,3288000.0
,deferredIncomeTax,-145432000.0,79188000.0,314127000.0,81880000.0,26431000.0,80356000.0,62701000.0,55309000.0,55309000.0,10580000.0,71241000.0,19059000.0,-44047000.0,-866000.0,360000.0
,stockBasedCompensation,189648000.0,173228000.0,91450000.0,102983000.0,97676000.0,126653000.0,126605000.0,598654000.0,598654000.0,1149753000.0,1118412000.0,1100106000.0,1125184000.0,989849000.0,0.0
,changeInWorkingCapital,188674000.0,-405921000.0,-515709000.0,-383537000.0,350583000.0,572306000.0,144923000.0,-699353000.0,-1095357000.0,660564000.0,-989748000.0,-782622000.0,564441000.0,87540000.0,-23187000.0
,accountsReceivables,4378000.0,660000.0,0.0,0.0,0.0,0.0,0.0,0.0,-973578000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,23486000.0,2005000.0,11408000.0,-34360000.0,49403000.0,33986000.0,34034000.0,0.0,559000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-62255000.0,-69438000.0,-62884000.0,-760000.0,242331000.0,-95472000.0,598032000.0,2047000.0,655731000.0,-23175000.0,-85402000.0,-508097000.0,208147000.0,-58444000.0,-27474000.0
,otherNonCashItems,63813000.0,-118091000.0,-348070000.0,30578000.0,-164022000.0,-1940374000.0,-1265968000.0,28761000.0,0.0,1639454000.0,-892620000.0,-584000.0,-3450000.0,342292000.0,-4223527000.0
,netCashProvidedByOperatingActivites,1082694000.0,814259000.0,808258000.0,615260000.0,582673000.0,-372917000.0,1025382000.0,265551000.0,265551000.0,743821000.0,-218051000.0,107993000.0,153071000.0,855741000.0,-1825504000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-39495000.0,-14741000.0,-8529000.0,-6356000.0,-6203000.0,-5949000.0,-7577000.0,-11259000.0,-11259000.0,-21285000.0,-5601000.0,-15849000.0,-57302000.0,-6856000.0,-7039000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99000000.0,-99000000.0,-30000000.0,20000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-556578000.0,-823584000.0,-376523000.0,-46880000.0,-25000000.0,0.0,0.0,-126917000.0,-7525473000.0,-142368000.0,-63459000.0,-42522000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,394078000.0,472581000.0,0.0,0.0,25000000.0,50000000.0,0.0,152645000.0,0.0,64844000.0,38868000.0,42475000.0,0.0,0.0,0.0
,otherInvestingActivites,-2021000.0,-3071000.0,3770000.0,-7347000.0,-23927000.0,2846000.0,-840000.0,-70000.0,0.0,-1726000.0,255000.0,-974000.0,-167493000.0,-22257000.0,-2716000.0
,netCashUsedForInvestingActivites,-263972000.0,-247260000.0,-417014000.0,-182761000.0,-202936000.0,13432000.0,111727000.0,-84791000.0,-84791000.0,-129536000.0,-9667000.0,-16870000.0,-186458000.0,-29113000.0,-9411000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-388871000.0,-392153000.0,-443082000.0,-597275000.0,0.0,-2621499000.0,-2955878000.0,-516595000.0,0.0,-417808000.0,-182309000.0,-55783000.0,-58611000.0,-21376000.0,-1781000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381518000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-110726000.0,-90908000.0,-18463000.0,-13377000.0,0.0,-312000.0,-62326000.0,-128064000.0,0.0,0.0,-43000.0,-3485000.0,0.0,0.0,0.0
,dividendsPaid,-471930000.0,-438525000.0,-380238000.0,-239109000.0,-433304000.0,-1209487000.0,-1004538000.0,-467340000.0,0.0,-102598000.0,-74560000.0,-16866000.0,-72777000.0,0.0,-190503000.0
,otherFinancingActivites,-534954000.0,-380018000.0,-397543000.0,-274716000.0,-534774000.0,-442498000.0,-479314000.0,-279375000.0,0.0,-567291000.0,500673000.0,-30130000.0,-243766000.0,-1251546000.0,1921324000.0
,netCashUsedProvidedByFinancingActivities,139713000.0,-752184000.0,-453635000.0,-236157000.0,-968078000.0,485611000.0,-1005023000.0,21960000.0,0.0,-251823000.0,243761000.0,-106264000.0,-348299000.0,-272922000.0,1804040000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
