Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,961436.1702,1009504.6083,8100467.2897,16977629.2106,9174123.03,5979556.5793,1146302.2508,3830757.1391
Short-term investments,72606.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1034042.5532,1009504.6083,8100467.2897,16977629.2106,9174123.03,5979556.5793,1146302.2508,3830757.1391
Receivables,0.0,0.0,0.0,0.0,868581.5963,622228.6208,439442.6581,985066.8064
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,2101861.7021,1919354.8387,10090083.0737,17599640.0103,10042704.6263,6601785.2001,1585744.9089,4815823.9455
Property, Plant & Equipment Net,12500.0,8064.5161,53219.107,60683.9805,33807.8292,41174.7768,42604.5016,72832.0671
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,264112.9032,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,13031.9149,273617.5115,62824.5067,67626.6392,40416.8785,50964.5839,51178.9925,72832.0671
Total assets,2114893.617,2192972.3502,10152907.5805,17667266.6495,10083121.5048,6652749.784,1636923.9014,4888656.0126
Payables,583244.6809,410138.2488,2178608.5151,1563898.1743,1467717.336,2111143.1039,1984726.6881,1209326.6964
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,829521.2766,505184.3318,2499740.3946,1784263.3068,1467717.336,2145407.4287,2327438.3708,1349227.1417
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,729787.234,338709.6774,1491952.2326,1156595.5258,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,483510.6383,243663.5945,3784527.5182,5398817.1767,1828418.912,37143.6798,18220.7931,257532.0933
Total liabilities,1313031.9149,748847.9263,6284267.9128,7183080.4834,3296136.2481,2182551.1086,2345659.164,1606759.235
Other comprehensive income,299734.0426,324596.7742,-229231.568,-360246.8501,-258007.1174,-43478.2609,17952.8403,19648.939
Retained earnings (deficit),-26761436.1702,-26987903.2258,-90849688.4735,-83022885.0604,-77313167.2598,-80734523.4667,-67347802.7867,-60397956.5103
Total shareholders equity,801861.7021,1444124.424,3860072.6895,10354589.8689,6415861.7184,3808234.9554,-708735.2626,2700026.1986
Investments,72606.383,264112.9032,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-961436.1702,,,,,,,
Other Assets,6868957.4468,,,,,,,
Other Liabilities,246276.5957,95046.083,321131.8795,220365.1325,0.0,34264.3248,342711.6827,139900.4453
