Date,2018-03,2017-03,2016-03,2015-03,2014-03
Cash and cash equivalents,163000000.0,228000000.0,702000000.0,979000000.0,955000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,290000000.0,266000000.0,308000000.0,363000000.0,314000000.0
Inventories,661000000.0,549000000.0,547000000.0,520000000.0,427000000.0
Total current assets,2797000000.0,1245000000.0,897000000.0,674000000.0,440000000.0
Property, Plant & Equipment Net,583000000.0,592000000.0,758000000.0,563000000.0,351000000.0
Goodwill and Intangible Assets,2084000000,538000000,90000000,76000000,62000000
Long-term investments,,,,,
Tax assets,000000.0,000000.0,000000.0,4000000.0,000000.0
Total non-current assets,1081000000.0,251000000.0,136000000.0,121000000.0,102000000.0
Total assets,4059000000.0,2410000000.0,2567000000.0,2692000000.0,2217000000.0
Payables,294000000.0,176000000.0,131000000.0,143000000.0,132000000.0
Short-term debt,200000000.0,133000000.0,000000.0,000000.0,000000.0
Total current liabilities,960000000.0,566000000.0,436000000.0,330000000.0,308000000.0
Long-term debt,674000000.0,000000.0,2000000.0,000000.0,000000.0
Total debt,674000000.0,000000.0,2000000.0,000000.0,000000.0
Deferred revenue,24000000.0,18000000.0,43000000.0,5000000.0,000000.0
Tax Liabilities,186000000.0,80000000.0,4000000.0,10000000.0,6000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,1081000000.0,251000000.0,136000000.0,121000000.0,102000000.0
Total liabilities,2041000000.0,817000000.0,571000000.0,451000000.0,411000000.0
Other comprehensive income,50000000.0,-81000000.0,-81000000.0,-67000000.0,-6000000.0
Retained earnings (deficit),4152000000.0,3560000000.0,3008000000.0,2169000000.0,1288000000.0
Total shareholders equity,2018000000.0,1593000000.0,1996000000.0,2241000000.0,1806000000.0
Investments,,,,,
Net Debt,711000000,-95000000,-700000000,-979000000,-955000000
Other Assets,121000000,86000000,52000000,88000000,23000000
Other Liabilities,327000000,197000000,159000000,133000000,97000000
