Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,10380493.0,7217469.0,3027962.0,3715895.0,8500718.0,6342161.0,1725197.0,2910821.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,10380493.0,7217469.0,3027962.0,3715895.0,8500718.0,6342161.0,1725197.0,2910821.0
Receivables,0.0,0.0,0.0,0.0,297958.0,139072.0,141665.0,1224.0
Inventories,0.0,0.0,0.0,0.0,39788.0,0.0,0.0,0.0
Total current assets,11549366.0,7898034.0,3254563.0,4294851.0,9085671.0,7413821.0,1989495.0,2945429.0
Property Plant & Equipment Net,54487.0,11467.0,55119.0,171568.0,357532.0,163147.0,159967.0,80467.0
Goodwill and Intangible Assets,99375.0,75686.0,640440.0,1700565.0,1920645.0,4395633.0,4640224.0,40841.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,32850.0,358277.0,37489.0,33137.0,3200.0,0.0,40082.0,0.0
Total non-current assets,171080.0,266060.0,889809.0,1948470.0,2678331.0,4595226.0,4836638.0,126465.0
Total assets,11720446.0,8164094.0,4144372.0,6243321.0,11764002.0,12009047.0,6826133.0,3071894.0
Payables,353328.0,334901.0,254320.0,814448.0,594357.0,9634.0,68217.0,64766.0
Short-term debt,39939.0,15534.0,6083.0,64128.0,42228.0,23649.0,0.0,1005078.0
Total current liabilities,2915436.0,1225407.0,1047266.0,2501587.0,2214176.0,1407396.0,1650598.0,1512173.0
Long-term debt,0.0,0.0,0.0,0.0,49216.0,0.0,0.0,0.0
Total debt,39939.0,15534.0,6083.0,64128.0,91444.0,23649.0,0.0,1005078.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0,51699.0,0.0,0.0,0.0
Total liabilities,2915436.0,1225407.0,1047266.0,2501587.0,2265875.0,1407396.0,1650598.0,1512173.0
Other comprehensive income,84583901,71887674,60344050,54643940,44648103,31099691,14894522,0.0
Retained earnings (deficit),-76831263.0,-65426329.0,-57303748.0,-50934863.0,-35174540.0,-20516614.0,-9731906.0,-4652056.0
Total shareholders equity,8805010.0,6938687.0,3097106.0,3741734.0,9498127.0,10601651.0,5175535.0,1559721.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-10340554.0,-7201935.0,-3021879.0,-3651767.0,-8409274.0,-6318512.0,-1725197.0,-1905743.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33384.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442329.0
