date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,92377000.0,96720000.0,93139000.0,100618000.0,93847000.0,79533000.0,63558000.0,59274000.0,70569000.0,71378000.0,59019000.0,38822000.0,27314000.0,12666000.0,5965000.0,4322000.0,2240000.0,1669000.0,502000.0,118000.0,-11374000.0,-19060000.0,500000.0,-3400000.0,-5900000.0,-11800000.0,-1700000.0,-8900000.0,500000.0,-8700000.0,1100000.0,100000.0,-700000.0,-1400000.0,700000.0
,depreciationAndAmortization,13738000.0,24308000.0,13525000.0,13298000.0,11862000.0,10634000.0,9681000.0,10107000.0,9155000.0,7514000.0,6038000.0,3955000.0,3306000.0,2599000.0,1795000.0,1321000.0,1185000.0,442000.0,385000.0,418000.0,1646000.0,1135000.0,2300000.0,3300000.0,4000000.0,4700000.0,4700000.0,3600000.0,3100000.0,700000.0,500000.0,500000.0,600000.0,600000.0,400000.0
,deferredIncomeTax,5114000.0,-15525000.0,-13043000.0,-13667000.0,-6410000.0,-10143000.0,-1966000.0,-10368000.0,-4760000.0,-5083000.0,-1752000.0,-2615000.0,-1846000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,100000.0,-100000.0,0.0,0.0,0.0
,stockBasedCompensation,4792000.0,3397000.0,2811000.0,2818000.0,2794000.0,1821000.0,1792000.0,1941000.0,2083000.0,2205000.0,1850000.0,1369000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,0.0,19097000.0,3952000.0,-14157000.0,54593000.0,31489000.0,-1599000.0,10695000.0,10941000.0,-7659000.0,50279000.0,-252000.0,-62033000.0,39812000.0,-9613000.0,1587000.0,-2870000.0,1759000.0,343000.0,6718000.0,-5009000.0,3276000.0,700000.0,-900000.0,9200000.0,-5500000.0,-800000.0,-2600000.0,-2700000.0,-1000000.0,1400000.0,-2000000.0,-400000.0,400000.0,0.0
,accountsReceivables,3258000.0,-22977000.0,-10810000.0,-34245000.0,-12659000.0,-7320000.0,-1530000.0,-3347000.0,-2023000.0,-2903000.0,-3018000.0,-8619000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,400000.0,0.0,700000.0,1000000.0,600000.0,400000.0,-100000.0,0.0,0.0,0.0
,accountsPayables,-14569000.0,-19624000.0,6539000.0,8906000.0,-3703000.0,-19895000.0,14670000.0,1135000.0,730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,129049000.0,109952000.0,106000000.0,120157000.0,65564000.0,34075000.0,35674000.0,24979000.0,14038000.0,21697000.0,-28582000.0,-28330000.0,33703000.0,-6109000.0,3504000.0,1917000.0,4787000.0,3028000.0,2685000.0,-4033000.0,976000.0,-2300000.0,-3000000.0,-2100000.0,-11300000.0,-5800000.0,-5000000.0,-2400000.0,300000.0,1300000.0,-100000.0,1900000.0,2300000.0,1900000.0
,otherNonCashItems,0.0,-16543000.0,-1391000.0,-1112000.0,-1344000.0,-1516000.0,-10202000.0,-10211000.0,-660000.0,65082000.0,-2259000.0,-179000.0,996000.0,-17000.0,306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,-100000.0,200000.0,-100000.0,0.0,2200000.0,1200000.0,-1100000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,100356000.0,60793000.0,89869000.0,76807000.0,83748000.0,48686000.0,58510000.0,57062000.0,72295000.0,71286000.0,52779000.0,33877000.0,26825000.0,14471000.0,4150000.0,5483000.0,2810000.0,3343000.0,-742000.0,-3239000.0,-7663000.0,-13333000.0,200000.0,-3200000.0,-4900000.0,1100000.0,2700000.0,300000.0,500000.0,200000.0,200000.0,3200000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-615000.0,-1754000.0,-537000.0,-484000.0,-366000.0,-555000.0,-538000.0,-193000.0,-138000.0,-894000.0,-500000.0,-3600000.0,-600000.0,-600000.0,-700000.0,-1400000.0,-1400000.0,-500000.0,-400000.0,-400000.0,0.0,0.0,0.0
,acquisitionsNet,5114000.0,-111000000.0,-231000000.0,-194000000.0,-1000000.0,-18000000.0,-62000000.0,-8000000.0,-62000000.0,-15000000.0,-18000000.0,-44000000.0,-73000000.0,-14000000.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-20964000.0,0.0,-4087000.0,0.0,-2115000.0,-1435000.0,0.0,0.0,-785000.0,-3098000.0,-11507000.0,-39734000.0,-507000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
