date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-344615000.0,233799000.0,312577000.0,238450000.0,1275530000.0,-2913142000.0,-558353000.0,-641832000.0,-683955000.0,141683000.0,158857000.0,42169000.0,354330000.0,174929000.0,260931000.0,38123000.0,113706000.0,16686000.0,-2562000.0,7209000.0,-12736000.0,-346300000.0,30000000.0,30300000.0,16500000.0,41400000.0,32200000.0,26600000.0,35700000.0,38600000.0,26400000.0,24200000.0
,depreciationAndAmortization,121552000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501429000.0,399671000.0,331354000.0,0.0,242062000.0,208354000.0,212301000.0,166322000.0,158464000.0,174752000.0,177504000.0,201512000.0,235700000.0,204300000.0,143600000.0,70200000.0,70900000.0,71800000.0,71200000.0,67000000.0,37200000.0,29400000.0,23600000.0
,deferredIncomeTax,14430000.0,13501000.0,18701000.0,-21965000.0,-416000.0,-367210000.0,25152000.0,-263099000.0,-336036000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000000.0,-7500000.0,-11200000.0,-69200000.0,-11100000.0,-8000000.0,-3300000.0,-1500000.0
,stockBasedCompensation,17435000.0,21989000.0,17519000.0,10437000.0,3128000.0,5760000.0,9847000.0,11790000.0,11822000.0,10882000.0,11717000.0,13394000.0,12618000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-97723000.0,-153681000.0,52535000.0,-69478000.0,4927400000.0,-5384366000.0,-270492000.0,-43186000.0,1174929000.0,-45462000.0,152513000.0,8424000.0,82001000.0,-81841000.0,-169905000.0,-139427000.0,118796000.0,199208000.0,-12014000.0,87369000.0,17344000.0,-75000000.0,-20800000.0,23700000.0,-7500000.0,12700000.0,9700000.0,-35200000.0,14600000.0,-200000.0,-2400000.0,5400000.0
,accountsReceivables,63657000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-9126000.0,-15251000.0,3490000.0,-19626000.0,59310000.0,-6534000.0,41548000.0,44635000.0,9468000.0,-50900000.0,5160000.0,-28518000.0,-13783000.0,-55471000.0,-39783000.0,-38368000.0,-12422000.0,0.0,-6666000.0,-12203000.0,14452000.0,5200000.0,6700000.0,0.0,-15400000.0,4200000.0,-7900000.0,2200000.0,5200000.0,3800000.0,-14300000.0,2200000.0
,accountsPayables,-46066000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,298044000.0,395767000.0,549448000.0,496913000.0,566391000.0,-4361009000.0,1023357000.0,1293849000.0,1337035000.0,162106000.0,207568000.0,55055000.0,46631000.0,-35370000.0,46471000.0,216376000.0,355803000.0,237007000.0,37799000.0,49813000.0,-37556000.0,-54900000.0,20100000.0,40900000.0,17200000.0,24700000.0,12000000.0,2300000.0,37500000.0,22900000.0,23100000.0,25500000.0
,otherNonCashItems,43301000.0,6221000.0,-9906000.0,92747000.0,-1773967000.0,113336000.0,9041000.0,45764000.0,6340000.0,60735000.0,7220000.0,-15964000.0,27265000.0,20012000.0,16527000.0,32458000.0,-9344000.0,0.0,-4373000.0,-9133000.0,-21522000.0,20500000.0,-11700000.0,8700000.0,200000.0,-100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0
,netCashProvidedByOperatingActivites,61106000.0,419714000.0,417963000.0,396473000.0,-144026000.0,-44367000.0,-33582000.0,55742000.0,332804000.0,642242000.0,697147000.0,382980000.0,679137000.0,330810000.0,308102000.0,254607000.0,146728000.0,162361000.0,176417000.0,145661000.0,135772000.0,280000000.0,188000000.0,190300000.0,118000000.0,121900000.0,104100000.0,74200000.0,78800000.0,88200000.0,58900000.0,56500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1248000.0,-1249000.0,-584000.0,-5296000.0,-368000.0,-5871000.0,-7317000.0,-14947000.0,-13269000.0,0.0,0.0,0.0,0.0,-488363000.0,-623187000.0,-357142000.0,-292605000.0,-132427000.0,-137089000.0,-123414000.0,-115080000.0,-98700000.0,-1268400000.0,-77300000.0,-52600000.0,-58200000.0,-42800000.0,-20600000.0,-97100000.0,-102900000.0,-38500000.0,-21000000.0
,acquisitionsNet,1000000.0,6000000.0,1000000.0,13000000.0,-2000000.0,2000000.0,62000000.0,433000000.0,23000000.0,-2895000000.0,-1000000.0,-774000000.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-120624000.0,-205216000.0,-143328000.0,-258948000.0,-98750000.0,-246735000.0,-211929000.0,-213726000.0,-236862000.0,-61909000.0,-46185000.0,-10925000.0,-7466000.0,-5540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,158708000.0,233074000.0,136630000.0,190064000.0,208859000.0,292464000.0,215075000.0,194537000.0,1754000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,0.0
