date,,2020-10-03_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-10-01_FY,2015-10-03_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-10-01_FY,2010-10-02_FY,2009-10-03_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-10-01_FY,2004-10-02_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-10-02_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,139713000.0,141515000.0,-95533000.0,138833000.0,187838000.0,377261000.0,197000000.0,79000000.0,180000000.0,69000000.0,122000000.0,-136000000.0,-486000000.0,-1135000000.0,-141557000.0,-1006000000.0,-11000000.0,-137000000.0,-2697000000.0,40000000.0,192334000.0,94000000.0,68200000.0,40900000.0,28100000.0,17000000.0,-3100000.0,5100000.0,-1500000.0,-2000000.0
,depreciationAndAmortization,114218000.0,116949000.0,118820000.0,118751000.0,111910000.0,100567000.0,97700000.0,96000000.0,99500000.0,104600000.0,89600000.0,89900000.0,96800000.0,117200000.0,138597000.0,178300000.0,190900000.0,222600000.0,249600000.0,180800000.0,157256000.0,45500000.0,27300000.0,12900000.0,8100000.0,4700000.0,5100000.0,4100000.0,4300000.0,4300000.0
,deferredIncomeTax,13567000.0,54668000.0,173591000.0,37892000.0,-16829000.0,-242274000.0,-69000000.0,-8400000.0,-155800000.0,-2200000.0,3500000.0,800000.0,-1500000.0,-3600000.0,7949000.0,367200000.0,-57400000.0,-46500000.0,27700000.0,-73700000.0,-48337000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,26235000.0,30844000.0,32825000.0,37920000.0,26907000.0,20653000.0,18789000.0,17524000.0,17999000.0,18896000.0,15167000.0,15994000.0,14337000.0,17479000.0,0.0,9257000.0,12312000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1348000.0,625375000.0,-387675000.0,25818000.0,31966000.0,25523000.0,-81000000.0,-108900000.0,-256500000.0,24600000.0,58600000.0,-294300000.0,-44000000.0,101646000.0,-156246000.0,196500000.0,-655900000.0,27400000.0,14000000.0,218230000.0,1204970000.0,440300000.0,53500000.0,28700000.0,16400000.0,90800000.0,29700000.0,1400000.0,-2000000.0,0.0
,accountsReceivables,83623000.0,54947000.0,-69076000.0,-136072000.0,-36913000.0,40207000.0,-35769000.0,56840000.0,12896000.0,6061000.0,-332179000.0,319754000.0,859953000.0,1830236000.0,0.0,407705000.0,-71640000.0,-150286000.0,114747000.0,234400000.0,0.0,-94200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,39564000.0,121383000.0,-324168000.0,-104468000.0,5614000.0,-13726000.0,-81238000.0,44334000.0,63365000.0,-46803000.0,-60129000.0,80325000.0,197792000.0,260085000.0,-283885000.0,57889000.0,-61107000.0,214048000.0,777186000.0,68300000.0,-221036000.0,-137300000.0,-3800000.0,-11900000.0,-9000000.0,-4300000.0,-600000.0,-3900000.0,2100000.0,-400000.0
,accountsPayables,-106640000.0,-182521000.0,268421000.0,130648000.0,95193000.0,-116899000.0,174336000.0,22307000.0,-48412000.0,71248000.0,93801000.0,-119110000.0,-554096000.0,-96593000.0,0.0,-72532000.0,63006000.0,144972000.0,-161147000.0,156300000.0,0.0,-86000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,1237907000.0,612532000.0,1000207000.0,974389000.0,942423000.0,916900000.0,997900000.0,1106800000.0,1363300000.0,1338700000.0,1280100000.0,1574400000.0,1618400000.0,1516754000.0,1673000000.0,1476500000.0,2132400000.0,2105000000.0,2091000000.0,1872770000.0,667800000.0,227500000.0,174000000.0,145300000.0,128900000.0,38100000.0,8400000.0,7000000.0,9000000.0
,otherNonCashItems,-239000.0,33063000.0,65212000.0,4188000.0,28494000.0,20933000.0,26600000.0,13300000.0,39400000.0,30600000.0,5300000.0,25700000.0,1372700000.0,2947400000.0,1652078000.0,1027800000.0,52100000.0,135800000.0,2748200000.0,273200000.0,0.0,38700000.0,-200000.0,0.0,100000.0,-100000.0,-600000.0,-800000.0,700000.0,700000.0
,netCashProvidedByOperatingActivites,300555000.0,382965000.0,156424000.0,250961000.0,390116000.0,174896000.0,307400000.0,317900000.0,215400000.0,234900000.0,-78300000.0,197200000.0,39300000.0,485900000.0,-334304000.0,416000000.0,193800000.0,551500000.0,823300000.0,401500000.0,87382000.0,115100000.0,83200000.0,48400000.0,26800000.0,23200000.0,11800000.0,9700000.0,7800000.0,4800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-65982000.0,-134674000.0,-118881000.0,-111833000.0,-120400000.0,-119097000.0,-69507000.0,-75950000.0,-78631000.0,-107574000.0,-81416000.0,-1804000.0,-311000.0,-88358000.0,-139195000.0,-74549000.0,-87198000.0,-70747000.0,-92991000.0,-187500000.0,-198667000.0,-65300000.0,-29000000.0,-30200000.0,-21800000.0,-9900000.0,-11200000.0,-3100000.0,-2100000.0,-3300000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-58878000.0,-13887000.0,-79508000.0,0.0,-5023000.0,-15000000.0,-15000000.0,-30000000.0,-4000000.0,-4000000.0,-45000000.0,-95000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-30000000.0,-499000.0,-157625000.0,0.0,-142246000.0,-122762000.0,-76237000.0,-1525000.0,-305000.0,-21000.0,1182000.0,-200000.0,-576000.0,-3910000.0,-19578000.0,-77789000.0,-57593000.0,-90982000.0,-488652000.0,0.0,-313523000.0,0.0,-103000000.0,-123400000.0,-169700000.0,-13700000.0,-4100000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74796000.0,0.0,0.0,0.0,0.0,0.0,366672000.0,0.0,106600000.0,128000000.0,91200000.0,18000000.0,0.0,0.0,0.0,0.0
