date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,719000000.0,1071000000.0,316000000.0,684000000.0,462000000.0,401000000.0,504000000.0,724000000.0,1153000000.0,1012000000.0,684000000.0,-31000000.0,693000000.0,638000000.0,3307000000.0,327000000.0,349000000.0,-2058000000.0,-1032000000.0,168000000.0,757000000.0,512000000.0,257000000.0
,depreciationAndAmortization,308000000.0,238000000.0,210000000.0,212000000.0,246000000.0,253000000.0,384000000.0,372000000.0,301000000.0,253000000.0,202000000.0,162000000.0,201000000.0,191000000.0,170000000.0,186000000.0,292000000.0,362000000.0,735000000.0,734000000.0,495000000.0,475000000.0,477000000.0
,deferredIncomeTax,29000000.0,-255000000.0,-16000000.0,102000000.0,3000000.0,70000000.0,-132000000.0,31000000.0,-158000000.0,38000000.0,-109000000.0,28000000.0,-53000000.0,-134000000.0,-19000000.0,-12000000.0,-33000000.0,1071000000.0,-664000000.0,-94000000.0,-59000000.0,-12000000.0,-140000000.0
,stockBasedCompensation,83000000.0,72000000.0,70000000.0,60000000.0,58000000.0,54000000.0,96000000.0,85000000.0,74000000.0,72000000.0,66000000.0,71000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,839000000.0,-1568000000.0,-229000000.0,216000000.0,-20000000.0,-1088000000.0,417000000.0,645000000.0,-996000000.0,646000000.0,248000000.0,955000000.0,-125000000.0,-412000000.0,-91000000.0,-195000000.0,723000000.0,-716000000.0,-98000000.0,-100000000.0,1040000000.0,381000000.0,35000000.0
,accountsReceivables,-107000000.0,-106000000.0,-65000000.0,-81000000.0,-33000000.0,-24000000.0,-119000000.0,14000000.0,19000000.0,11000000.0,-166000000.0,193000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-68000000.0,-36000000.0,-83000000.0,-61000000.0,-7000000.0,-24000000.0,-99000000.0,-100000000.0,-52000000.0,-208000000.0,-51000000.0,47000000.0,-14000000.0,-21000000.0,-55000000.0,2000000.0,-79000000.0,169000000.0,278000000.0,-373000000.0,-345000000.0,-40000000.0,-67000000.0
,accountsPayables,2000000.0,29000000.0,40000000.0,2000000.0,-15000000.0,-26000000.0,50000000.0,-27000000.0,-31000000.0,-35000000.0,113000000.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1948000000.0,1109000000.0,2677000000.0,2906000000.0,2690000000.0,2710000000.0,3798000000.0,3381000000.0,2736000000.0,3732000000.0,3086000000.0,2838000000.0,1883000000.0,2008000000.0,2420000000.0,2511000000.0,2706000000.0,1983000000.0,2699000000.0,2797000000.0,2897000000.0,1857000000.0,1476000000.0
,otherNonCashItems,8000000.0,19000000.0,-11000000.0,7000000.0,11000000.0,16000000.0,33000000.0,6000000.0,36000000.0,49000000.0,56000000.0,95000000.0,89000000.0,168000000.0,149000000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,921000000.0,1021000000.0,1087000000.0,889000000.0,793000000.0,491000000.0,711000000.0,1152000000.0,1228000000.0,1260000000.0,718000000.0,408000000.0,756000000.0,969000000.0,634000000.0,899000000.0,663000000.0,-144000000.0,-498000000.0,1502000000.0,838000000.0,461000000.0,751000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-119000000.0,-155000000.0,-177000000.0,-176000000.0,-139000000.0,-98000000.0,-205000000.0,-195000000.0,-194000000.0,-188000000.0,-121000000.0,-128000000.0,-154000000.0,-154000000.0,-185000000.0,-139000000.0,-118000000.0,-205000000.0,-301000000.0,-881000000.0,-824000000.0,-434000000.0,-410000000.0
,acquisitionsNet,0.0,-1408000000.0,-516000000.0,-126000000.0,-261000000.0,-71000000.0,-11000000.0,-21000000.0,-2257000000.0,-97000000.0,-1108000000.0,43000000.0,-172000000.0,-330000000.0,3434000000.0,-42000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-20000000.0,-23000000.0,-11000000.0,-1000000.0,-80000000.0,0.0,0.0,-25000000.0,0.0,0.0,0.0,-30000000.0,-256000000.0,0.0,-5000000.0,-38000000.0,0.0,-4000000.0,-23000000.0,-27000000.0,-32000000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,12000000.0,5000000.0,16000000.0,38000000.0,94000000.0,150000000.0,0.0,999000000.0,30000000.0,0.0,0.0,0.0,74000000.0,60000000.0,0.0,0.0
,otherInvestingActivites,-9000000.0,-3000000.0,-1000000.0,-2000000.0,244000000.0,-242000000.0,-4000000.0,0.0,80000000.0,1545000000.0,215000000.0,51000000.0,19000000.0,3000000.0,-1638000000.0,-16000000.0,-14000000.0,0.0,268000000.0,14000000.0,14000000.0,51000000.0,60000000.0
,netCashUsedForInvestingActivites,-147000000.0,-1590000000.0,-704000000.0,-305000000.0,-238000000.0,-400000000.0,-230000000.0,-248000000.0,-2372000000.0,1294000000.0,-1174000000.0,-14000000.0,-399000000.0,-456000000.0,1796000000.0,-200000000.0,-114000000.0,-203000000.0,-71000000.0,-1365000000.0,-1117000000.0,-309000000.0,-272000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1762000000.0,-702000000.0,-693000000.0,-290000000.0,-292000000.0,0.0,-1087000000.0,-250000000.0,-251000000.0,-1500000000.0,-29000000.0,-325000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
