Date,2018-09,2017-09,2016-09,2015-09,2014-09
Cash and cash equivalents,738000000.0,703000000.0,340000000.0,252000000.0,323000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,1513000000.0,965000000.0,655000000.0,635000000.0,548000000.0
Inventories,2649000000.0,2451000000.0,1939000000.0,1824000000.0,1709000000.0
Total current assets,13248000000.0,13237000000.0,4217000000.0,4156000000.0,3859000000.0
Property, Plant & Equipment Net,1429000000.0,1398000000.0,1035000000.0,964000000.0,919000000.0
Goodwill and Intangible Assets,11299000000,11287000000,2586000000,2607000000,2551000000
Long-term investments,5000000.0,7000000.0,10000000.0,13000000.0,8000000.0
Tax assets,000000.0,000000.0,000000.0,84000000.0,000000.0
Total non-current assets,7233000000.0,8885000000.0,3283000000.0,3370000000.0,2981000000.0
Total assets,19026000000.0,17997000000.0,7707000000.0,7389000000.0,7063000000.0
Payables,821000000.0,927000000.0,527000000.0,487000000.0,535000000.0
Short-term debt,2248000000.0,479000000.0,740000000.0,448000000.0,504000000.0
Total current liabilities,4686000000.0,3069000000.0,2346000000.0,2144000000.0,2198000000.0
Long-term debt,5681000000.0,6676000000.0,1382000000.0,1680000000.0,1663000000.0
Total debt,5681000000.0,6676000000.0,1382000000.0,1680000000.0,1663000000.0
Deferred revenue,377000000.0,361000000.0,283000000.0,365000000.0,359000000.0
Tax Liabilities,346000000.0,331000000.0,000000.0,000000.0,000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,7233000000.0,8885000000.0,3283000000.0,3370000000.0,2981000000.0
Total liabilities,11919000000.0,11954000000.0,5629000000.0,5514000000.0,5179000000.0
Other comprehensive income,-1471000000.0,-1575000000.0,-1898000000.0,-1699000000.0,-1366000000.0
Retained earnings (deficit),4654000000.0,3838000000.0,3327000000.0,5124000000.0,4605000000.0
Total shareholders equity,7107000000.0,6043000000.0,2078000000.0,1875000000.0,1884000000.0
Investments,5000000.0,7000000.0,10000000.0,13000000.0,8000000.0
Net Debt,7191000000,6452000000,1782000000,1876000000,1844000000
Other Assets,1377000000,1165000000,923000000,844000000,895000000
Other Liabilities,1440000000,1492000000,698000000,658000000,711000000
