date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1772000000.0,1379000000.0,1810000000.0,1595000000.0,1279000000.0,1849000000.0,2248000000.0,1342000000.0,692000000.0,1223000000.0,2036000000.0,1930000000.0,1707000000.0,1802000000.0,2162000000.0,1312070000.0,1044385000.0,494710000.0,451145000.0,511093000.0,383284000.0,300903000.0,266000000.0,403600000.0,377300000.0,695900000.0,795900000.0,484100000.0,567500000.0,503800000.0,466700000.0,483500000.0,424700000.0
,depreciationAndAmortization,976000000.0,993000000.0,941000000.0,924000000.0,900000000.0,882000000.0,894000000.0,909000000.0,435000000.0,848000000.0,877000000.0,912000000.0,730000000.0,721000000.0,701000000.0,656714000.0,664652000.0,689858000.0,648726000.0,614070000.0,621974000.0,647639000.0,622200000.0,560100000.0,475500000.0,419200000.0,406800000.0,354500000.0,328500000.0,293700000.0,261400000.0,248100000.0,220500000.0
,deferredIncomeTax,75000000.0,21000000.0,-47000000.0,-714000000.0,56000000.0,-7000000.0,-59000000.0,161000000.0,118000000.0,45000000.0,521000000.0,30000000.0,34000000.0,-128000000.0,109000000.0,-105646000.0,241671000.0,-67505000.0,105086000.0,-4972000.0,3919000.0,-23812000.0,49700000.0,28700000.0,-12200000.0,72700000.0,25400000.0,22000000.0,16200000.0,30400000.0,23900000.0,21000000.0,20500000.0
,stockBasedCompensation,151000000.0,89000000.0,109000000.0,66000000.0,74000000.0,79000000.0,55000000.0,43000000.0,30000000.0,48000000.0,47000000.0,45000000.0,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-5515000000.0,-1199000000.0,1457000000.0,-517000000.0,-452000000.0,-2102000000.0,-2446000000.0,103000000.0,441000000.0,-1958000000.0,4725000000.0,-962000000.0,-311000000.0,3580000000.0,1592490000.0,1317673000.0,755078000.0,314374000.0,630451000.0,360614000.0,453898000.0,-119878000.0,214900000.0,-301100000.0,-715600000.0,210900000.0,-243600000.0,-177700000.0,684900000.0,601900000.0,47200000.0,140300000.0,126400000.0
,accountsReceivables,-149000000.0,287000000.0,-376000000.0,73000000.0,-160000000.0,913000000.0,425000000.0,296000000.0,38000000.0,974000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-2426000000.0,-21000000.0,226000000.0,-137000000.0,-654000000.0,872000000.0,1274000000.0,2541000000.0,-1512000000.0,-272000000.0,-3412000000.0,-144000000.0,1899000000.0,-4580000000.0,-1215000000.0,-600588000.0,825486000.0,-950792000.0,-200392000.0,-72508000.0,229289000.0,-160422000.0,-79800000.0,-150500000.0,23000000.0,-320500000.0,-41600000.0,-172600000.0,-69900000.0,-92400000.0,-75300000.0,63200000.0,80400000.0
,accountsPayables,694000000.0,-64000000.0,-300000000.0,181000000.0,161000000.0,-774000000.0,-94000000.0,-291000000.0,0.0,-117000000.0,0.0,0.0,-2223000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-4195000000.0,7613000000.0,8812000000.0,7355000000.0,7872000000.0,8324000000.0,10426000000.0,12872000000.0,12769000000.0,12328000000.0,14286000000.0,9561000000.0,10523000000.0,10834000000.0,7254000000.0,5661510000.0,4343837000.0,3588759000.0,3274385000.0,2643934000.0,2283320000.0,1829422000.0,1949300000.0,1734400000.0,2035500000.0,2751100000.0,2540200000.0,2783800000.0,2961500000.0,2276600000.0,1674700000.0,1627500000.0,1487200000.0
,otherNonCashItems,-113000000.0,-148000000.0,-67000000.0,179000000.0,34000000.0,-152000000.0,71000000.0,-158000000.0,25000000.0,211000000.0,-122000000.0,118000000.0,1403000000.0,-186000000.0,109000000.0,96353000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,-40700000.0,-33200000.0,36100000.0,-3700000.0,-22800000.0,12400000.0,-50600000.0,-13900000.0,-12300000.0
,netCashProvidedByOperatingActivites,-2386000000.0,-5452000000.0,-4784000000.0,2211000000.0,1475000000.0,2481000000.0,4962000000.0,5226000000.0,2478000000.0,2895000000.0,-2340000000.0,2684000000.0,5341000000.0,-3204000000.0,303000000.0,1376041000.0,2126179000.0,33339000.0,1081037000.0,1516588000.0,864179000.0,815396000.0,1219800000.0,613400000.0,610700000.0,853900000.0,1191200000.0,630400000.0,673800000.0,868900000.0,678400000.0,710800000.0,779800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-823000000.0,-828000000.0,-842000000.0,-1049000000.0,-882000000.0,-1125000000.0,-894000000.0,-913000000.0,-615000000.0,-1477000000.0,-1247000000.0,-1607000000.0,-1898000000.0,-1779000000.0,-1198000000.0,-762009000.0,-623819000.0,-509237000.0,-419876000.0,-349637000.0,-273168000.0,-428737000.0,-807500000.0,-1073300000.0,-779500000.0,-754300000.0,-558600000.0,-514400000.0,-394400000.0,-479500000.0,-467700000.0,-327400000.0,-296600000.0
,acquisitionsNet,713000000.0,-1653000000.0,-273000000.0,8000000.0,65000000.0,1286000000.0,-2356000000.0,42000000.0,-61000000.0,-61000000.0,-218000000.0,-62000000.0,60000000.0,-2000000.0,282000000.0,-182000000.0,-24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
