date,,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,121520000.0,92647000.0,124120000.0,79730000.0,45585000.0,33015000.0,9821000.0,-900000.0,22113000.0,28382000.0,47796000.0,65948000.0,-267335000.0,32304000.0,65534000.0,53787000.0,41350000.0,34641000.0,-83692000.0,-7143000.0,-11813000.0,24500000.0,33700000.0,17600000.0,8400000.0,1100000.0,1400000.0,4000000.0,2100000.0
,depreciationAndAmortization,55359000.0,50828000.0,47199000.0,42719000.0,40001000.0,33703000.0,35781000.0,32968000.0,30425000.0,28566000.0,28869000.0,29155000.0,32517000.0,30717000.0,23957000.0,20436000.0,18516000.0,17878000.0,17616000.0,28362000.0,26035000.0,20500000.0,16100000.0,5400000.0,3100000.0,1800000.0,2500000.0,2600000.0,1700000.0
,deferredIncomeTax,-6615000.0,6659000.0,-4833000.0,10789000.0,3189000.0,15566000.0,5548000.0,-3233000.0,14411000.0,25289000.0,17420000.0,25713000.0,-109717000.0,16606000.0,5288000.0,4057000.0,7165000.0,9037000.0,-26065000.0,10251000.0,-6338000.0,-1100000.0,5900000.0,1000000.0,600000.0,600000.0,-1000000.0,0.0,-700000.0
,stockBasedCompensation,18982000.0,14662000.0,11602000.0,11115000.0,8356000.0,8315000.0,7678000.0,15892000.0,7510000.0,7447000.0,5556000.0,10646000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,28717000.0,38186000.0,-67837000.0,-13473000.0,37350000.0,-11434000.0,64099000.0,-81247000.0,16411000.0,-37841000.0,20396000.0,83261000.0,21640000.0,-45593000.0,-1560000.0,-19905000.0,-2315000.0,-10558000.0,14314000.0,7032000.0,15570000.0,19600000.0,-24800000.0,-13600000.0,-44300000.0,7000000.0,4200000.0,-900000.0,-4100000.0
,accountsReceivables,0.0,1485000.0,-28741000.0,-32419000.0,27444000.0,-9093000.0,2655000.0,8185000.0,-6841000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,27351000.0,-3696000.0,-15087000.0,-15885000.0,-6519000.0,4403000.0,69698000.0,-61697000.0,-164000.0,-31683000.0,-1227000.0,62886000.0,29832000.0,-51525000.0,-10704000.0,-21515000.0,9421000.0,-23997000.0,24743000.0,25444000.0,12519000.0,-20000000.0,16600000.0,-20800000.0,-89500000.0,38200000.0,-1300000.0,600000.0,-6900000.0
,accountsPayables,52047000.0,30473000.0,-1163000.0,-2143000.0,-2793000.0,-4757000.0,-16321000.0,-23866000.0,9805000.0,7404000.0,2918000.0,-24517000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-83000.0,306000.0,1053000.0,-889000.0,1083000.0,853000.0,-2306000.0,-886000.0,1190000.0,-361000.0,-85000.0,-2511000.0,1049000.0,-951000.0,2648000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,46310000.0,1992000.0,3861000.0,-16571000.0,16945000.0,8284000.0,3540000.0,8238000.0,-1701000.0,-835000.0,15192000.0,6915000.0,437923000.0,4501000.0,1947000.0,-716000.0,-302000.0,204000.0,150640000.0,312000.0,16622000.0,100000.0,-100000.0,-200000.0,-200000.0,-100000.0,0.0,0.0,300000.0
,netCashProvidedByOperatingActivites,264273000.0,204974000.0,114112000.0,114309000.0,151426000.0,87449000.0,126467000.0,-28282000.0,89169000.0,51008000.0,135229000.0,221638000.0,115028000.0,38535000.0,95166000.0,57659000.0,64414000.0,51202000.0,72813000.0,38814000.0,40076000.0,63600000.0,30800000.0,10200000.0,-32400000.0,10400000.0,7100000.0,5700000.0,-700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-43055000.0,-31577000.0,-37845000.0,-44659000.0,-27622000.0,-22030000.0,-17173000.0,-25172000.0,-39592000.0,-31563000.0,-24190000.0,0.0,-22349000.0,-60038000.0,-47589000.0,-18676000.0,-18264000.0,-17958000.0,-10907000.0,-13888000.0,-16663000.0,-32700000.0,-238800000.0,-4600000.0,-3000000.0,-2800000.0,-800000.0,-1800000.0,-1200000.0
,acquisitionsNet,0.0,-41161000.0,-91244000.0,-116375000.0,-69001000.0,-38384000.0,-20282000.0,-4835000.0,0.0,-25307000.0,-1756000.0,-6549000.0,-5010000.0,-34004000.0,-380690000.0,-62194000.0,-158947000.0,-4614000.0,0.0,-18277000.0,-34406000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-4439000.0,-2010000.0,-9048000.0,0.0,0.0,-17000.0,-10000000.0,0.0,-4885000.0,-2500000.0,-15320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,9997000.0,17820000.0,4885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-612000.0,-1515000.0,-999000.0,-3543000.0,5428000.0,580000.0,-5546000.0,0.0,0.0,3133000.0,0.0,-13993000.0,11953000.0,1582000.0,558000.0,15062000.0,-14936000.0,0.0,0.0,0.0,0.0,0.0,0.0,-96800000.0,-31300000.0,-1300000.0,-13500000.0,-6400000.0,0.0
