Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,15399000.0,7848000.0,89736000.0
Short-term investments,155736000.0,79212000.0,0.0
Cash and short-term investments,171135000.0,87060000.0,89736000.0
Receivables,0.0,0.0,0.0
Inventories,0.0,0.0,0.0
Total current assets,172965000.0,88880000.0,93409000.0
Property Plant & Equipment Net,6238000.0,6958000.0,2248000.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,0.0,5118000.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,8410000.0,13144000.0,3239000.0
Total assets,181375000.0,102024000.0,96648000.0
Payables,4847000.0,2378000.0,964000.0
Short-term debt,0.0,0.0,0.0
Total current liabilities,16582000.0,7897000.0,3691000.0
Long-term debt,2467000.0,0.0,0.0
Total debt,2467000.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,3714000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,4979000.0,3284000.0,3404000.0
Total liabilities,20682000.0,11181000.0,7095000.0
Other comprehensive income,324062000,-104000.0,0.0
Retained earnings (deficit),-163278000.0,-86880000.0,-42224000.0
Total shareholders equity,160693000.0,-83113000.0,-41536000.0
Investments,155736000.0,84330000.0,0.0
Net Debt,-12932000.0,-87060000.0,-89736000.0
Other Assets,0.0,1820000.0,3673000.0
Other Liabilities,0.0,5519000.0,2727000.0
