Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,27584000.0,102891000.0,131259000.0,31657000.0,7271000.0,32792000.0,88050000.0,0.0
Short-term investments,1243299000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1270883000.0,102891000.0,131259000.0,31657000.0,7271000.0,32792000.0,88050000.0,0.0
Receivables,250111000.0,235247000.0,231585000.0,243428000.0,248308000.0,264805000.0,207563000.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,394991000.0,393620000.0,439927000.0,359275000.0,370826000.0,377055000.0,353119000.0,0.0
Property Plant & Equipment Net,235898000.0,191604000.0,162063000.0,169437000.0,221497000.0,254702000.0,255903000.0,0.0
Goodwill and Intangible Assets,193535000.0,218208000.0,251713000.0,877884000.0,1497463000.0,1572231000.0,1454355000.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,17300000.0,0.0,0.0,0.0
Tax assets,17718000.0,31996000.0,127599000.0,174019000.0,148624000.0,160171000.0,163348000.0,0.0
Total non-current assets,1380161000.0,1633699000.0,1972764000.0,2665512000.0,3374615000.0,3493380000.0,3390456000.0,0.0
Total assets,1775152000.0,2027319000.0,2412691000.0,3024787000.0,3745441000.0,3870435000.0,3743575000.0,0.0
Payables,101320000.0,36157000.0,96241000.0,118396000.0,151658000.0,146537000.0,102586000.0,0.0
Short-term debt,13000000.0,0.0,0.0,0.0,0.0,5937000.0,76468000.0,0.0
Total current liabilities,116898000.0,36157000.0,100791000.0,122770000.0,155622000.0,156320000.0,195243000.0,0.0
Long-term debt,1230299000.0,0.0,1780357000.0,1815300000.0,1875127000.0,1985956000.0,2014599000.0,0.0
Total debt,1243299000.0,0.0,1780357000.0,1815300000.0,1875127000.0,1991893000.0,2091067000.0,0.0
Deferred revenue,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,5787000.0,8587000.0,0.0,294000.0,7605000.0,4749000.0,3408000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,6000000.0,6000000.0,0.0,0.0,0.0
Total non-current liabilities,1268425000.0,54000.0,2199838000.0,2275985000.0,2438239000.0,2566375000.0,2619830000.0,0.0
Total liabilities,1385323000.0,2723434000.0,2904429000.0,3008755000.0,3203861000.0,3357695000.0,3496942000.0,0.0
Other comprehensive income,328404000,1397119000,1395506000,1390318000,1369381000,1354705000,1264681000,0.0
Retained earnings (deficit),61425000.0,-2093554000.0,-1887564000.0,-1376844000.0,-830350000.0,-842119000.0,-1018202000.0,0.0
Total shareholders equity,389829000.0,-696115000.0,-491738000.0,16032000.0,541580000.0,512740000.0,246633000.0,0.0
Investments,1243299000.0,0.0,0.0,0.0,17300000.0,0.0,0.0,0.0
Net Debt,1215715000.0,-102891000.0,1649098000.0,1783643000.0,1867856000.0,1959101000.0,2003017000.0,0.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,2687223000.0,603800000.0,610000000.0,610000000.0,635000000.0,681869000.0,0.0
