date,,2020-09-27_FY,2019-09-30_FY,2019-09-29_FY,2018-09-30_FY,2017-10-01_FY,2017-09-30_FY,2016-10-02_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-10-02_FY,2011-09-30_FY,2010-10-03_FY,2010-09-30_FY,2009-09-30_FY,2009-09-27_FY,2008-09-30_FY,2008-09-28_FY,2007-09-30_FY,2006-09-30_FY,2005-10-02_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-29_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,249000000.0,291000000.0,291000000.0,117000000.0,324000000.0,324000000.0,573000000.0,573000000.0,64000000.0,249000000.0,-22000000.0,52000000.0,63000000.0,63000000.0,-1188000000.0,12000000.0,-1212000000.0,-101000000.0,-101000000.0,-101000000.0,-219000000.0,-175000000.0,12000000.0,12000000.0,-42000000.0,136000000.0,107000000.0,35000000.0,218000000.0,194000000.0
,depreciationAndAmortization,101000000.0,87000000.0,87000000.0,84000000.0,75000000.0,75000000.0,67000000.0,67000000.0,65000000.0,67000000.0,67000000.0,63000000.0,66000000.0,66000000.0,70000000.0,70000000.0,81000000.0,81000000.0,145000000.0,145000000.0,129000000.0,172000000.0,0.0,182000000.0,183000000.0,214000000.0,196000000.0,217000000.0,162000000.0,131000000.0
,deferredIncomeTax,38000000.0,40000000.0,40000000.0,74000000.0,38000000.0,38000000.0,-415000000.0,-415000000.0,-24000000.0,-2000000.0,-4000000.0,13000000.0,25000000.0,25000000.0,-16000000.0,-16000000.0,671000000.0,671000000.0,109000000.0,109000000.0,-36000000.0,-87000000.0,0.0,-119000000.0,19000000.0,-21000000.0,-33000000.0,-57000000.0,32000000.0,17000000.0
,stockBasedCompensation,0.0,18000000.0,0.0,20000000.0,0.0,19000000.0,0.0,9000000.0,10000000.0,8000000.0,5000000.0,6000000.0,0.0,7000000.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,277000000.0,0.0,138000000.0,26000000.0,0.0,-32000000.0,0.0,-26000000.0,-80000000.0,-84000000.0,68000000.0,64000000.0,0.0,-125000000.0,0.0,304000000.0,0.0,-288000000.0,0.0,5000000.0,-234000000.0,-103000000.0,0.0,-66000000.0,352000000.0,128000000.0,150000000.0,-381000000.0,-83000000.0,-50000000.0
,accountsReceivables,-77000000.0,0.0,-18000000.0,0.0,26000000.0,0.0,-31000000.0,0.0,0.0,0.0,0.0,0.0,144000000.0,0.0,19000000.0,0.0,0.0,-275000000.0,0.0,125000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-286000000.0,0.0,0.0,0.0
,inventory,0.0,9000000.0,0.0,-112000000.0,0.0,-43000000.0,0.0,28000000.0,4000000.0,-9000000.0,19000000.0,5000000.0,0.0,-96000000.0,0.0,-62000000.0,0.0,0.0,-68000000.0,0.0,-13000000.0,-32000000.0,0.0,-21000000.0,-59000000.0,-12000000.0,-1000000.0,107000000.0,-10000000.0,0.0
,accountsPayables,0.0,-103000000.0,0.0,97000000.0,0.0,133000000.0,0.0,-89000000.0,-70000000.0,-5000000.0,-31000000.0,-118000000.0,0.0,0.0,0.0,187000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96000000.0,0.0,0.0,0.0
,otherWorkingCapital,557000000.0,280000000.0,280000000.0,142000000.0,116000000.0,116000000.0,148000000.0,148000000.0,174000000.0,254000000.0,338000000.0,270000000.0,206000000.0,206000000.0,331000000.0,331000000.0,27000000.0,27000000.0,315000000.0,315000000.0,310000000.0,544000000.0,647000000.0,647000000.0,713000000.0,361000000.0,233000000.0,83000000.0,464000000.0,0.0
,otherNonCashItems,0.0,-94000000.0,0.0,9000000.0,0.0,17000000.0,0.0,-26000000.0,39000000.0,-46000000.0,43000000.0,-7000000.0,0.0,144000000.0,0.0,60000000.0,-229000000.0,0.0,174000000.0,0.0,128000000.0,457000000.0,0.0,0.0,0.0,0.0,-165000000.0,0.0,0.0,-30000000.0
,netCashProvidedByOperatingActivites,265000000.0,256000000.0,256000000.0,251000000.0,176000000.0,176000000.0,204000000.0,204000000.0,97000000.0,215000000.0,-96000000.0,77000000.0,41000000.0,41000000.0,211000000.0,211000000.0,-295000000.0,-295000000.0,163000000.0,163000000.0,36000000.0,440000000.0,171000000.0,-32000000.0,219000000.0,255000000.0,184000000.0,605000000.0,228000000.0,262000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-103000000.0,0.0,-95000000.0,0.0,-93000000.0,0.0,0.0,0.0,0.0,0.0,-105000000.0,0.0,0.0,0.0,0.0,0.0,-172000000.0,0.0,-120000000.0,-150000000.0,0.0,-146000000.0,-152000000.0,-193000000.0,-184000000.0,-206000000.0,-225000000.0,0.0
,acquisitionsNet,0.0,0.0,-168000000.0,-35000000.0,-34000000.0,-34000000.0,0.0,0.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60000000.0,-60000000.0,-2000000.0,1000000.0,-28000000.0,-28000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182000000.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,5000000.0,0.0,5000000.0,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,6000000.0,-3000000.0,2000000.0,-32000000.0,-34000000.0,7000000.0,-1000000.0,0.0,0.0,3000000.0,3000000.0,-67000000.0,2000000.0,0.0,5000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34000000.0,-49000000.0,-522000000.0
