date,,2021-01-03_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2017-01-01_FY,2016-01-03_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2012-01-01_FY,2011-01-02_FY,2010-01-03_FY,2008-12-28_FY,2007-12-30_FY,2006-12-31_FY,2006-01-01_FY,2005-01-02_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,491296000.0,400709000.0,361972000.0,277905000.0,214678000.0,192789000.0,162587000.0,143000000.0,112400000.0,105400000.0,87900000.0,79700000.0,54000000.0,37900000.0,106227000.0,108300000.0,62300000.0
,depreciationAndAmortization,65038000.0,59930000.0,53665000.0,44369000.0,38140000.0,32434000.0,35788000.0,25800000.0,23200000.0,24000000.0,24100000.0,24100000.0,28400000.0,31200000.0,35646000.0,32400000.0,31700000.0
,deferredIncomeTax,14424000.0,-3297000.0,-872000.0,6160000.0,-3059000.0,1713000.0,-132000.0,6100000.0,4200000.0,8200000.0,6000000.0,19500000.0,2000000.0,-5600000.0,-615000.0,300000.0,8800000.0
,stockBasedCompensation,24244000.0,20265000.0,22792000.0,20713000.0,18564000.0,17623000.0,17587000.0,21987000.0,17621000.0,13954000.0,13370000.0,17254000.0,9059000.0,8405000.0,0.0,3796000.0,51000.0
,changeInWorkingCapital,64779000.0,146578000.0,5713000.0,89320000.0,-134479000.0,63901000.0,65853000.0,20100000.0,-52800000.0,10700000.0,59600000.0,-45400000.0,53300000.0,40296000.0,7204000.0,4100000.0,1100000.0
,accountsReceivables,2134000.0,1195000.0,-899000.0,-22649000.0,224000.0,1084000.0,-570000.0,-1257000.0,1428000.0,1428000.0,64000.0,1542000.0,7714000.0,2358000.0,0.0,1254000.0,1440000.0
,inventory,-24959000.0,-6741000.0,-12455000.0,1527000.0,-2947000.0,-2262000.0,-11827000.0,-242000.0,-4904000.0,-4904000.0,-2357000.0,-1050000.0,1245000.0,-1503000.0,1039000.0,-1181000.0,913000.0
,accountsPayables,68954000.0,66137000.0,10010000.0,0.0,78929000.0,69032000.0,22776000.0,21867000.0,24914000.0,21419000.0,-1582000.0,16286000.0,-15293000.0,-20983000.0,0.0,14810000.0,5682000.0
,otherWorkingCapital,398565000.0,333786000.0,187208000.0,181495000.0,92175000.0,226654000.0,162753000.0,96900000.0,76800000.0,129600000.0,118900000.0,59300000.0,104700000.0,51400000.0,11104000.0,3900000.0,-200000.0
,otherNonCashItems,0.0,2496000.0,3201000.0,10976000.0,-22508000.0,11473000.0,-5927000.0,7700000.0,16500000.0,3500000.0,13900000.0,-26000000.0,14100000.0,48600000.0,4490000.0,-10900000.0,10500000.0
,netCashProvidedByOperatingActivites,592794000.0,496950000.0,394171000.0,339036000.0,292460000.0,291786000.0,192339000.0,194000000.0,176300000.0,153100000.0,128300000.0,101300000.0,75300000.0,84200000.0,133003000.0,141200000.0,113500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-85565000.0,-119888000.0,0.0,-58555000.0,-63282000.0,-70093000.0,-40387000.0,-29267000.0,-24349000.0,-25400000.0,-22900000.0,-19400000.0,-42400000.0,-20204000.0,3899000.0,834000.0
,acquisitionsNet,0.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-40000000.0,-699000000.0,-591212000.0,0.0,-300250000.0,-738557000.0,-82407000.0,-97132000.0,-88238000.0,-165007000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,50152000.0,94007000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,706559000.0,528836000.0,-58993000.0,357969000.0,692547000.0,95531000.0,37904000.0,124853000.0,162415000.0,0.0,0.0,0.0,0.0,-97000.0,0.0,0.0
,netCashUsedForInvestingActivites,-128927000.0,-27854000.0,-88257000.0,-149004000.0,-55280000.0,-109292000.0,-57443000.0,-99700000.0,7300000.0,-26900000.0,-18400000.0,-32900000.0,12100000.0,-109500000.0,-5932000.0,100000.0,-36300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-202058000.0,-8098000.0,-8207000.0,-928193000.0,-122334000.0,-17367000.0,-12332000.0,-24349000.0,-32538000.0,-3760000.0,-116760000.0,-136679000.0,-18312000.0,-1547201000.0,0.0,-80343000.0,-180708000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563000.0,563000.0,4548000.0,4376000.0,4452000.0,5724000.0,9543000.0,1084000.0,119779000.0
,commonStockRepurchased,0.0,-685943000.0,-581380000.0,-1064253000.0,-285016000.0,-733743000.0,-73379000.0,-87700000.0,-79300000.0,-130900000.0,8600000.0,5100000.0,-37500000.0,-44200000.0,-145000000.0,-68400000.0,119300000.0
,dividendsPaid,-121925000.0,-105715000.0,-92166000.0,-84298000.0,-73925000.0,-80329000.0,-52843000.0,-34200000.0,-185500000.0,0.0,0.0,0.0,0.0,-897000000.0,-29841000.0,-26900000.0,-4500000.0
,otherFinancingActivites,0.0,590021000.0,368782000.0,-26500000.0,120717000.0,755317000.0,28684000.0,20918000.0,128811000.0,44719000.0,0.0,0.0,0.0,0.0,4825000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-446406000.0,-222792000.0,-322803000.0,-197145000.0,-375792000.0,-80936000.0,-118898000.0,-134800000.0,-177400000.0,-123500000.0,-104300000.0,-70800000.0,-53500000.0,-1600000.0,-155757000.0,-114600000.0,-83900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
