date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,423475000.0,249663000.0,227332000.0,143255000.0,149541000.0,128738000.0,142241000.0,124464000.0,105163000.0,-21106000.0,7150000.0,-66456000.0,-291935000.0,-288851000.0,225354000.0,255665000.0,138968000.0,94406000.0,69937000.0,50659000.0,35762000.0,18945353.0,24002787.0,14237442.0,200000.0,1100000.0,-4500000.0,-32000000.0,-19100000.0,8000000.0,10800000.0
,depreciationAndAmortization,31052000.0,27923000.0,26966000.0,16704000.0,15978000.0,14241000.0,11614000.0,9934000.0,8196000.0,7178000.0,7974000.0,8843000.0,15669000.0,17818000.0,23729000.0,17207000.0,13233000.0,8536000.0,6780000.0,5741000.0,3407000.0,2528346.0,1637474.0,432081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,-2741000.0,19687000.0,0.0,0.0,0.0,-8666000.0,-77974000.0,0.0,0.0,0.0,118563000.0,-112295000.0,-48984000.0,-5965000.0,609000.0,1497000.0,-89000.0,-2069000.0,156000.0,6236366.0,4969000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,19995000.0,19607000.0,17170000.0,12056000.0,13741000.0,15781000.0,12211000.0,9483000.0,8319000.0,7410000.0,5358000.0,6204000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-2398464000.0,-105248000.0,164501000.0,357014000.0,157389000.0,359526000.0,354316000.0,287095000.0,965774000.0,-91157000.0,-51212000.0,165524000.0,295327000.0,151274000.0,64703000.0,-154000000.0,-14906000.0,-56665000.0,-2240000.0,-16128000.0,-610442.0,-28844152.0,-8435638.0,-21709768.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
,accountsReceivables,2130000.0,0.0,3042000.0,-17775000.0,-17513000.0,-7083000.0,-25032000.0,-18429000.0,-6301000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-40089000.0,3621000.0,-19426000.0,-301477000.0,-311426000.0,-209407000.0,-338594000.0,-281944000.0,-299185000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,88942000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21725000.0,-24213000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,372823000.0,2771287000.0,2876535000.0,2712034000.0,2355020000.0,2197631000.0,1838105000.0,1483789000.0,1196694000.0,230920000.0,322077000.0,373289000.0,207765000.0,-87562000.0,-238836000.0,-303539000.0,-149539000.0,-134633000.0,-77968000.0,-75728000.0,-59600000.0,-58989558.0,-30145406.0,-21709768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,14406000.0,9273000.0,15847000.0,5849000.0,9539000.0,11530000.0,10149000.0,14864000.0,371000.0,509000.0,-37000.0,-9390000.0,271165000.0,490334000.0,80875000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,3700000.0,22700000.0,37700000.0,6700000.0,1200000.0
,netCashProvidedByOperatingActivites,530360000.0,346820000.0,262200000.0,-87132000.0,-103402000.0,-3335000.0,-211248000.0,-86276000.0,-220487000.0,-74136000.0,32551000.0,184074000.0,199829000.0,-20613000.0,-21964000.0,72243000.0,60171000.0,-56894000.0,-5836000.0,-19847000.0,6252000.0,-36387187.0,-5195880.0,6676216.0,2400000.0,1300000.0,-1000000.0,-3500000.0,18700000.0,12700000.0,12600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-19932000.0,-24385000.0,-33415000.0,-18096000.0,-16662000.0,-16092000.0,-20788000.0,-15783000.0,-10863000.0,-7082000.0,-6389000.0,-3609000.0,-9693000.0,-13349000.0,-25850000.0,-25279000.0,-15113000.0,-17133000.0,-8285000.0,-7270000.0,-3017000.0,-2935205.0,-1568642.0,-174257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-131000000.0,-19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2489000.0,-754000.0,-1181000.0,-1402000.0,-746000.0,-1555000.0,-35813000.0,-166619000.0,-136823000.0,-197103000.0,-425673000.0,-126983000.0,0.0,-28624000.0,-51909000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9000000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,2489000.0,754000.0,1181000.0,1402000.0,746000.0,1555000.0,124599000.0,163012000.0,198201000.0,348105000.0,250190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696495.0,4300000.0,9100000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39045000.0,-26792000.0,-2802000.0,7236000.0,-16348000.0,-14343000.0,31475000.0,18959000.0,-70215000.0,-42698000.0,-12184000.0,-4938000.0,0.0,0.0,0.0,7385403.0,8503270.0,13700000.0,-600000.0,-100000.0,16700000.0,226300000.0,109400000.0,18200000.0
