date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3008200000.0,2650900000.0,2492100000.0,2553700000.0,3357400000.0,2598400000.0,2695000000.0,2392200000.0,2172264000.0,1793000000.0,1151704000.0,1317631000.0,1369904000.0,1122029000.0,897800000.0,746000000.0,536834000.0,290391000.0,297665000.0,324213000.0,261600000.0,182900000.0,154800000.0,207800000.0,108400000.0,81700000.0,17700000.0,31600000.0,13300000.0,35700000.0
,depreciationAndAmortization,1189500000.0,1307700000.0,1238300000.0,1128100000.0,1051300000.0,938500000.0,895000000.0,839800000.0,634934000.0,397082000.0,341587000.0,339287000.0,268492000.0,217190000.0,176972000.0,156128000.0,133436000.0,129565000.0,178390000.0,149721000.0,126400000.0,108700000.0,76100000.0,68600000.0,58500000.0,44600000.0,40900000.0,37100000.0,33200000.0,25600000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29870000.0,24154000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,158800000.0,151400000.0,139400000.0,129800000.0,139000000.0,121100000.0,117700000.0,109900000.0,95603000.0,88122000.0,87350000.0,86000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-123200000.0,-90100000.0,-353000000.0,-279200000.0,51400000.0,256900000.0,242300000.0,278500000.0,84625000.0,119952000.0,304942000.0,116111000.0,113601000.0,116687000.0,129029000.0,131088000.0,191274000.0,146641000.0,132416000.0,38311000.0,31100000.0,2300000.0,-11900000.0,37500000.0,-35100000.0,-12600000.0,41200000.0,4200000.0,-4800000.0,8700000.0
,accountsReceivables,-156400000.0,-58300000.0,-161400000.0,-183100000.0,-52100000.0,-142200000.0,-48700000.0,-79700000.0,-135279000.0,-262123000.0,106132000.0,71403000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-21900000.0,-143300000.0,-27400000.0,9400000.0,119700000.0,50600000.0,62900000.0,69800000.0,162019000.0,-166454000.0,211595000.0,33119000.0,38094000.0,3368000.0,-22478000.0,65528000.0,21061000.0,77544000.0,66833000.0,-38451000.0,11100000.0,12500000.0,14700000.0,38900000.0,-15600000.0,-1300000.0,5300000.0,9200000.0,15000000.0,-500000.0
,accountsPayables,18100000.0,225800000.0,-54400000.0,78100000.0,103900000.0,118400000.0,182600000.0,57000000.0,36602000.0,224711000.0,-89853000.0,3713000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-415200000.0,-195100000.0,-426900000.0,-383900000.0,-151300000.0,177300000.0,254600000.0,184900000.0,271395000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38587000.0,92769000.0,34400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,2100000.0,56100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1793000000.0,-84749000.0,27691000.0,73347000.0,67191000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37400000.0,59400000.0,-17000000.0,42400000.0,30700000.0,0.0,0.0,100000.0,0.0
,netCashProvidedByOperatingActivites,3951600000.0,4022000000.0,3477800000.0,3521800000.0,3801800000.0,3758400000.0,3585300000.0,3415000000.0,2626267000.0,2084351000.0,1800834000.0,1859029000.0,1645775000.0,1547251000.0,1203801000.0,1033216000.0,861544000.0,710347000.0,608471000.0,512245000.0,419100000.0,331300000.0,278400000.0,217100000.0,174200000.0,144400000.0,135800000.0,72900000.0,41800000.0,70000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-635500000.0,-655700000.0,-619600000.0,-589600000.0,-633000000.0,-597500000.0,-551500000.0,-458300000.0,-334471000.0,-217328000.0,-188547000.0,-193783000.0,-162071000.0,-137706000.0,-121206000.0,-115906000.0,-80343000.0,-65430000.0,-80585000.0,-88503000.0,-153700000.0,-616000000.0,-62800000.0,-51300000.0,-59200000.0,-54500000.0,-40300000.0,-33900000.0,-41800000.0,-33000000.0
,acquisitionsNet,-331000000.0,-2173000000.0,-386000000.0,-4615000000.0,-14205000000.0,-2672000000.0,76000000.0,-1797000000.0,-6211000000.0,-2130000000.0,-694000000.0,-375000000.0,-3600000000.0,-2642000000.0,-863000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-241000000.0,-148900000.0,0.0,0.0,-87100000.0,0.0,0.0,0.0,0.0,0.0,-66768000.0,0.0,-23219000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,22200000.0,137900000.0,264800000.0,43000000.0,253800000.0,251200000.0,0.0,0.0,0.0,0.0,48504000.0,301278000.0,98485000.0,0.0,43100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,28900000.0,0.0,-8500000.0,31700000.0,69900000.0,30300000.0,-2400000.0,0.0,0.0,56542000.0,9795000.0,48504000.0,0.0,-84102000.0,22100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147200000.0,-91400000.0,-207900000.0,-158100000.0,-54000000.0,-22500000.0,0.0,0.0
